Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;10;0;+9;+9;
3;h;16;14;-14;-3;-3;
4;h;21;16;-9;KND;CS;
f+1;h;7;10;+1;+8;+8;
f+2;m;14;17~18;-8~-7;+3~+4;+3~+4;
f+3;h;30;21~23;-4~-2;KND;KND;Tail spin
f+4;m;10;15~16;-12~-11;-1~0;-1~0;
d/f+1;m;11;13;-3;+8;+8;
d/f+2;m;15;15~16;-7~-6;+4~+5;Launch (JG?);
d/f+3;m;10;16~17;-9~-8;+2~+3;+2~+3;
d/f+4;m;10;13~14;-9~-8;+2~+3;+2~+3;
d+1;m?;25;18~19 pc8~17;-14;KND;KND;Power crush
d+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d+3;l;14;18~19;-12~-11;-1~0;+7~+8s;
d/b or d+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;l (TC);15;22~23s cs6~;-13~-12;+3~+4s;+3~+4s;
d/b+3;l (TC);12;16s cs4~;-17;-3;-3;
d/b or d+4 ;l (TC);7;12s cs4~;-13;-2;-2;
b+1;h;10;12;-6;+5;+5;
b+2;h;11;15~17;-13~-11;-2~0;-2~0;
b+3;m;24;30~31;-16~-15;KND;KND;
b+4;m;20;17~18;-8~-7;+6~+7;uKZD;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h;25;20~23;-4~-1;KND;KND;Homing, Tail spin
u/b or u+3 or u/f+3+4;m (TJ);25;21 js9~;-17;KND;KND;
u/f+3;m (TJ);21;28~29 js9~;+3~+4s;+7~+8s;KND;
u/b+4;m (TJ);11;15~17 js9~;-12~-10;-1~+1;-1~+1;
u+4;m (TJ);22;20~21 js9~;-36~-35;Launch (JG?);Launch (JG?);
u/f+4;m (TJ);21;18 js8~;-8;KND;KND;
WS+1;m;12;13~14;-6~-5;+5~+6;+5~+6;
WS+2;m;20;15~16;-12~-11;KND;KND;Tail spin
WS+3;h;28;16;-16;KND;KND;
WS+4;m;13;11~12;-3~-2;+8~+9;+8~+9;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;m;25;17~18 (26~);-22~-21;Launch;Launch;
SS+3;h;16;14(15~);-14;-3;-3;
SS+4;h;21;16(17~);-9;KND;CS;
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
