Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;8;10;-3;+5;+5;
3;h;15;16;-11;0;0;
4;h;17;11;-8;+3;KND;
f+1;h;7;10;+1;+8;+8;
f+2;m;12;16~17;-8~-7;+3~+4;FS (+10~+11g) 23~24;
f+3;m;10;21;-3;+9;+9;
f+4;h (TJ);15;18~19;-9~-8;CS;CS;
d/f+1;m;12;14;0;+6;+36g(m);
d/f+2;m;15;20;-9;+4;+4;
d/f+3;m;21;18~19;-7~-6;Launch;Launch;
d/f+4;m;14;15;-6;+5;+5;
d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;l (TC);17;20~21s cs6~;-12~-11;-1~0;KND;
d+3;l (TC);12;16s cs4~;-17;-3;-3;
d+4;l;7;14~15;-11~-10;0~+1;0~+1;
d+3+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;m;12;16;-12;+4;+4;
d/b+2;l (TC);10;20~21 cs6~;-11~-10;0~+1;0~+1;
d/b+3;l (TC);14;16~17s cs6~;-15~-14;+4~+5s;+4~+5s;
d/b+4;l (TC);20;30~32s cs6~;-26;KND;KND;Homing
b+1;h;17;10~11;-10~-9;+1~+2;KND;
b+2;m?;15;17;-11;0s;0s;
b+3;m;12;23~24;-8~-7;+3~+4;+3~+4;
b+4;m;14;12;-9;+2;+2;
u/b or u or u/f+1;m (TJ);12;18~19 js6~;-7~-6;+4~+5 (+12~+13);+4~+5 (+12~+13);
u/b+2;mh;13,21;16,32~33;-10~-9;+9~+10;+9~+10;
u+2;m (TJ);30;38~40 js9~;+2~+4;KND;KND;
u/f+2;m;18;18;-10;+3;CS;
u/b or u or u/f+3;m (TJ);22;21~23 js9~;-2~0;KND;KND;
u/b+4;m (TJ);11;15~17 js9~;-20~-18;-8~-6;-8~-6;
u+4;m (TJ);15;15~17 js9~;-13~-11;KND;Launch (JG?);
u/f+4;m (TJ);13;15~17 js9~;-13~-11;Launch (JG?);Launch (JG?);
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;13;14;-1;+5;+5;
WS+2;m;17;15~16;-9~-8;KND;KND;
WS+3;m;16;15~16a;-12~-11;Launch (JG?);Launch (JG?);
WS+4;m;18;11~12;-7~-6;+7~+8;+29g(m);
FC+d/b or d+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+d/b or d+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;18;15b(24~);+3;+9;+9;Homing
SS+3;h;12;18~19 (27~);-13~-12;-2~-1;-2~-1;
SS+4 (Close);l;21;20~22 (29~) cs10~;-31;KND;KND;
SS+4;l;14;20~22 (29~) cs10~;-31;-3~-1;KND;
SS+3+4;h;15;16(17~);-11;0;0;
BT 1;h;12;12;-3;+14;+14;
BT 2;m;12;16b;-6;+5;+5;
BT 3;m;30;32~33;+8~+9s;+8~+9s;JG;
BT 4;h;18;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 (Close);l (TC);21;18~20s cs6~;-26;KND;KND;
BT d+3;l (TC);14;18~20s cs6~;-26;-4~-2;KND;
BT d+4;l;12;10s cs1~;-11;+3;+3;
