Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;12;-3;+8;+8;
3;m;14;15~16;-8~-7;+8~+9;+8~+9;
4;h;18;11~12;-9~-8;+5~+6;Launch (JG?);
f+1;h;7;10;+1;+8;+8;
f+2;h;25;17~18 pc8~16;-9~-8;KND;KND;Power crush
f+3;m;13;18;-8;0;0;
f+4;h;20;16~17;-8~-7;+11~+12kg;+11~+12kg;Tail spin, Homing
d/f+1;m;10;13~14;-3~-2;+6~+7;+6~+7;
d/f+2;m?(, Sm);20(,9);18a(,38);-24;Launch;Launch;
d/f+3;m;14;14;-9;+2;+2;
d/f+4;m;16;15;-5;+6;+6;
d+1;m;15;16~17;-9~-8;+2~+3;+5~+6s;
d+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d+3;l (TC);12;16s cs4~;-17;-3;-3;
d+4;l;10;16~17s cs4~;-13~-12;-2~-1;-2~-1;
d+3+4;l;7;12 cs4~;-13;-2;-2;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;l (TC);18;23s cs6~;-14s;-3;+6s;
d/b+3;l;14;17;-14;+2s;+2s;
d/b+4;l;17;20;-12;+4;KND;
b+1;h;13;20;-16;-5;-5;
b+2;m;12;15~16;-9~-8;+12~+13kg;+12~+13kg;Tail spin, Homing
b+3;m;16;16;-8;+3;+3;
b+4;m?;20;19;-13;+9;CS;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h(, Sm);12(,20);14(,37);-14;KND;KND;
u/b+3;m (TJ);16;15~16 js9~;-20~-19;-9~-8;-9~-8;
u+3;m (TJ);16;15~16 js9~;-20~-19;KND;KND;
u/f+3;m (TJ);20;28~29a js9~;-12~-11;KND;KND;
u/b+4;m;11;15~16 js9~;-15~-14;-4~-3;-4~-3;
u+4;m;15;15~16 js9~;-13~-12;KND;Launch (JG?);
u/f+4;m;13;15~16 js9~;-13~-12;Launch (JG?);Launch (JG?);
u/f, n+4;m (TJ);25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;12;12~13;-4~-3;+7~+8;+7~+8;
WS+2;m?;20;18~19;-12~-11;Launch (JG?);Launch (JG?);
WS+3;m;20;15~16;-11~-10;-8;-8;
WS+3f;m;20;15~16;-11~-10;+9;+9;
WS+4;m;13;11~12;-3~-2;+8~+9;+8~+9;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);18;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+d/b or d+4;l;10;16~17s cs1~;-15~-14;-4~-3;-4~-3;
FC+d/f+4;l;10;12 cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;10;12(13~);-3;+8;+8;
SS+3;m;14;15~16 (15~);-8~-7;+8~+9;+8~+9;
SS+4;h;18;11~12 (12~);-7~-6;+5~+6;Launch (JG?);
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
