Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;12;12;-3;+8;+8;Rage art
3;h;14;14;-8;+4;+4;
4;h;18;12;-9;+2;CS;
f+1;h;7;10;+1;+8;+8;
f+2;m(h or m punch parry);25;20 pc8~19;-12;KND;KND;Power crush
f+3;m;22;19~20;-13~-12;+5~+6;+23g(KND);
f+4;m;20;19~20;+4~+5s;+7~+8s;KND;
d/f+1;m;11;15~16;-7~-6;+9~+10;+9~+10;
d/f+2;m;22;14;-12;+5;CS(13);Homing
d/f+3;m;13;18~19;-7~-6;+9~+10;+9~+10;
d/f+4;m;10;13~14;-9~-8;+2~+3;+2~+3;
d/b or d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d+3;l (TC);12;16s cs4~;-17;-3;-3;
d+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b or d+1 ;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;m;20;20s;-9s;KND;KND;
d/b+3;l (TC);14;19~20s;-12~-11;-1~0;+7~+8s;
d/b+4;l;18;20~21;-12~-11;+4~+5;+17g;
b+1;h;13;11~12;-10~-9;+1~+2;+1~+2;
b+2;m;12;14~15;-8~-7;+4~+5;+4~+5;
b+3;h;20;18~19;-8~-7;+3~+4;+3~+4;
b+4;h;20;19~20;-5~-4;+16~+17kg;KND;Tail spin, Homing
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b+3;m (TJ);25;21 js9~;-17;KND;KND;
u or u/f+3;m (TJ);25;19~20 js9~;-9~-8;KND;KND;
u/b+4;m (TJ);;15;-19;-8;-8;
u or u/f+4;m (TJ);16;25~27 js9~;-12~-10;-1~+1;-1~+1;
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;10;13~14;-5~-4;+5~+6;+5~+6;
WS+2;m;25;16~17;-18~-17;CS;CS;Homing
WS+3;m;24;21~23;-5~-3;KND;KND;Homing, Tail spin
WS+4;m;13;11~12;-3~-2;+8~+9;+8~+9;
WS+1+2;m;12;12~13;-2~-1;+9~+10;+9~+10;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);18;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;12;12(13~);-3;+8;+8;
SS+3;m;23;23(32~);-7;CS;CS;
SS+4;h;18;12(13~);-9;+2;CS;
SS+3+4;h;14;14(15~);-8;+4;+4;
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
