Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;9;10;+1;+8;+8;
2;h;13;10;+1;+7;+7;
3;h;33;17;-14;KND;KND;
4;h;27;13;-5;+6;Launch (JG?);
b+1;h;17;12;-8;+3;CS;
b+2;h;16;14;-5;+1;+1;
b+3;h;31;16~17;-10~-9;KND;KF?KND;
b+4;h;25;17;+2;KND;KND;Wall bounce
f+1;h;9;10;+1;+8;+8;
f+2;m;16;15;-11;+2;+2;
f+3;m;24;15;-9;+1;+9;
f+4;m (TJ);31;18;-9;KND;KND;Homing
f, F+1;m;33;22(23~);-5;+14~kg;KND;Homing, Tail spin
f, F+2;m;25;31(32~);+2s;+4;+4 OC;
f, F+3;m;24;15(16~);-9;+1;+9;
f, F+4;m;33;15(16~);-15;KND;Throw(KND);
d/b or d+1;Sm (TC);6;10 RC;-5;+6;+6;
d+2;Sm (TC);10;11 RC;-4;+7;+7;
d+3;l;16;17;-12;+1;+1;
d+4;l (TC);9;14 RC;-13;-2;-2;
d/b or d+1 ;Sm (TC);6;10 RC;-5;+6;+6;
d/b+2;m;28;25;-5 OC;KND;KND;
d/b+3;l (TC);22;23 RC;-16;+2 OC;KND;
d/b+4;l (TJ);27;27~29?s;-17~-15a;KND;KND;
FC+d/b or d+1;Sm (TC);6;10 RC;-5;+6;+6;
FC+d/b or d+2;Sm (TC);10;11 RC;-4;+7;+7;
FC+3;l (TC);16;18 RC;-16;-2;-2;
FC+d/b or d+4;l (TC);13;14 RC;-13;-2;-2;
WS+1;m;16;10~11;-4~-3;+3~+4;+3~+4;
WS+2;m;14;14;-9;+1;+1;Homing
WS+3;h;37;16;0;KND;KND;
WS+4;m;27;11;-6;+5;+5;
d/f+1;m;20;14~16;-1~+1;+3~+5;+3~+5;
d/f+2;m;16;13;-6;+3;+3;
d/f+3;m;22;14;-9;+2;+2;
d/f+4;l;13;14;-14;-3;-3;
u/b+1;h;40;20~21;-3~-2;KND;KND;Homing
u or u/f+1;m (TJ);16;18;-8;+3;+3;
u/b+2;m(?);47;48~52 RG;-18~-14 OC;KND;KND;
u+2;m (TJ)(?);47;48~52 RG;-18~-14 OC;KND;KND;
u/f+2;m (TJ)(?);47;48~52 RG;-18~-14 OC;KND;KND;
u/b or u+3;m (TJ);33;23;-19;KND;KND;
u/f+3 (First part);m (TJ);33;22~23 RG;-10~-9;KND;KND;
u/f+3 (Second part);m;24;24~28 RG;-5~-1;KND;KND;
u/b+4;m (TJ);14;15;-20;-8;-8;
u+4;m (TJ);20;15;-13;KND;Launch (JG?);
u/f+4;m (TJ);17;15~16;-13~-12;Launch (JG?);Launch (JG?);
SS+1;h;9;10(11~);+1;+8;+8;
SS+2;h;25;19~21 (28~);-5~-3;KND;KND;Tail spin
SS+3;h;33;17(18~);-14;KND;KND;
SS+4;h;27;13(14~);-5;+6;Launch (JG?);
BT 1 or 2;h;20;8;-8;+3;+3;
BT 3;m;18;13;-13;+9;CS;
BT 4;h;33;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s;-2;+9;+9;
BT d+3;l;12;10s;-11;+3;+3;
BT d+4;l (TJ);27;22~24 RC;-17~-15;KND;KND;
