Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;10;11;0;+6;+6;
2;h;10;10;-1;+6;+6;
3;h;25;18;-5;KND;KND;
4;h;20;14;-6;+5;Launch (JG?);
f+1;h;7;10;+1;+8;+8;
f+2;h;11;13;-13;+3;+3;
f+3;h;30;20;-5;KND;KND;
f+4;h;22;15;-6;+5;Launch (JG?);
d/f+1;m;6;15~16;-9~-8;+2~+3;+2~+3;
d/f+2;m;10;15~16;-9~-8;+2~+3;+2~+3;
d/f+3;m;13;16;-9;+2;+2;
d/f+4;m;15;12;-4;+7;+7;
d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d+3;l (TC);12;20s cs4~;-15;-1;-1;
d+4;l (TC);10;16s cs4~;-9;+2;+2;
d/b+1;h;14;12~13;-7~-6;0~+1;0~+1;
d/b+2;l (TC);14;18s cs6~;-13;+1;+1;
d/b+3;l;15;18;-8;+3;+3;
d/b+4;l (TC);20;28~29s cs12~;-23~-22;KND;KND;
b+1;m;27;22~23 pc8~21;-13~-12;KND;KND;Power crush
b+2;m;12;15;-9;+2;+2;
b+3;h;25;18;-5;KND;KND;
b+4;h;20;14;-6;+5;Launch (JG?);
u/b or u+1;m (TJ);20;26~28s js9~;-6~-4;+4~+6;+4~+6;
u/f+1;m (TJ);20;26~28s js9~;-6~-4;KND;KND;
u/b or u or u/f+2;m;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b+3;m (TJ);20;25~26;-16~-15;KND;KND;
u or u/f+3;m (TJ);13;16~17 js9~;-13~-12;Launch (JG?);Launch (JG?);
u/b+4;m (TJ);11;15~17;-19~-17;-8~-6;-8~-6;
u+4;m (TJ);15;15~17;-13~-11;KND;Launch (JG?);
u/f+4;m (TJ);20;29~30 js9~;-6~-5;KND;KND;
WS+1;m;14;13;-7;+4;+4;
WS+2;m;20;15~16;-12~-11;Launch (JG?);Launch (JG?);
WS+3;m;21;18~20;-9~-7;KND;KND;Homing, Tail spin
WS+4;m;20;11~12;-6~-5;+5~+6;+5~+6;
FC+d/b or d+1;l (TC);12;19~21s cs1~;-8~-6;+2~+4;+2~+4;
FC+d/b or d+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;20s cs1~;-15;-1;-1;
FC+4;l (TC);10;16s cs1~;-9;+2;+2;
SS+1;h;10;11(12~);0;+6;+6;
SS+2;h;10;10(11~);-1;+6;+6;
SS+3;h;25;18(19~);-5;KND;KND;
SS+4;h;20;14(15~);-6;+5;Launch (JG?);
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
