Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;8;10;0;+6;+6;
3;h;12;12;-9;+2;+2;
4;h;14;11;-9;+7;Launch (JG?);
f+1;h;9;10;+1;+8;+8;
f+2;h;13;12;0;+7;+7;
f+3;h;16;15;-13;-2;SH;
f+4;h;16;13;-9;+7;Launch (JG?);
d/f+1;m;10;13;-1;+5;+5;
d/f+2;m;12;15~16;-7~-6;Launch (JG?)(+4a);Launch (JG?);
d/f+3;m;18;17;-12;-1;-1;
d/f+4;m;15;13;-8;+3;+3;
d+1;l (TC);15;21~22s cs6~;-13~-12;+1~+2s;+1~+2s;
d+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d+3;l;8;16;-14;-3;-3;
d+4;l;7;15;-11;0;0;
d+3+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;m;15;14b;-4;+7;+7;
d/b+3;l;20;17~19;-12~-10;+4~+6s;KND;
d/b+4;l (TC);20;26~27 cs6~;-37;KND;KND;Homing
b+1;m;12;14;-9;+2;+2;
b+2;m;12;16;-8;+4;+4;
b+3;m;27;23~26;-12~-9;KND;KND;Homing, Tail spin
b+4;m;13;14;-7;+3;+3;Homing
u/b or u+1 or 1*, u/f+2;m (TJ);12;18 js9~;-8;+3;+3;
u/f+1;h;10;12;-5;+6;+6;
u/b or u or u/f+2(j);h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b or U/F+2;m (TJ);18;42~44 js9~;-23~-21;-12~-10s;-12~-10s;
U+2;m (TJ);18;42~44 js9~;-23~-21;-12~-10s;-12~-10s;
u/b or u or u/f+3;m (TJ);25;21 js9~;-17;KND;KND;
u/b+4;m (TJ);10;15~17;-20~-18;-8~-6;-8~-6;
u+4;m (TJ);12;15~17;-133~-11;KND;Launch (JG?);
u/f+4;m (TJ);14;15~17;-13~-11;Launch (JG?);Launch (JG?);
u/f, n+4;m (TJ);25;19~22 (29,35);-15~-12 (-13);Launch (JG?);Launch (JG?);
WS+1;m;13;13~14;-7~-6;-1~0;+4~+5;
WS+2;m;20;15~16;-18~-17;Launch(JG?);Launch(JG?);
WS+1+2;m;12;10~11;-4~-3;+7~+8;+7~+8;
WS+3;h, (TFS);16;16;+1;+5;+5;
WS+4;m;14(12);11~12;-4~-3;+7~+8;+7~+8;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-14;-3;-3;
FC+d/b or d+4;l (TC);7;12s cs1~;-15;-4;-4;
FC+d/f+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;m, (DSS);5;17(26~);-5;+5;+5;
SS+3;h;12;12(13~);-9;+2;+2;
SS+4;h;14;11(12~);-9;+7;Launch (JG?);
BT 1;h;7;10;+1;+8;+8;
BT 2;m;17;15~19;-14~-10;-1~+3;CS;
BT 3;h;25;10;-8;KND;KND;
BT 4;h;14;11;-9;+2;+2;
BT d/b or d or d/f+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d/b or d or d/f+3;l;12;10s cs1~;-11;+3;+3;
BT d+4 or BT FC+4;l;16;23~26;-15~-12;KND;KND;
BT u/b or u or u/f+3;m (TJ);25;17 js2~;-12;KND;KND;
BT u/b+4;m (TJ);18;17;-12;-1;-1;
BT u+4;m (TJ);20;17;-12;Launch (JG?);Launch (JG?);
BT u/f+4;m (TJ);21;17;-12;Launch (JG?);Launch (JG?);
