Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;10;+1;+7;+7;
3;m;16;14;-8;+7;+7;
4;h;16;11;-9;+7;Launch (JG?);
f+1;h;7;10;+1;+8;+8;
f+2;m;12;14~15;-9~-8;+2~+3;+2~+3;
f+3;m;6;15;-18;-7;-7;
f+4;h;13;11;-7;+4;+4;
d/f+1;m;13;13~14;-1~0;+5~+6;+5~+6;
d/f+2;m;12;15~16;-7~-6;Launch (JG?)(+4a);Launch (JG?);
d/f+3;m;14;15~16;-8~-7;+3~+4;+3~+4;
d/f+4;m;16;13~14;-9~-8;+2~+3;+2~+3;
d/b or d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;m;18;18~19;-6~-5;+8~+9;+8~+9;
d+3;l (TC);17;16s cs6~;-17;-3;KND;Rage art
d+4;l;7;12;-13;-14;-2;
d/b or d+1 ;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d/b+3;l;13;20~21;-12~-11;+2~+3;+2~+3;
d/b+4;l (TC);7;12s cs4~;-13;-2;-2;
b+1;h;8;15;0;+6;+6;
b+2;h;13;14;-5;+1;+1;
b+3;l;9;15;-14;-3;-3;
b+4;m;22;20~22;-3~-1;+7~+9s (KND);KND;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b+3;m;20;18~22 js17~;-13~-9;KND;Launch;
u+3;(Special) (TJ);;a;;;;
u/f+3;m (TJ);12;25~26 js12~;-9~-8;+2~+3;+2~+3;
u/b+4;m (TJ);11;15~17;-19~-17;-8~-6;-8~-6;
u+4;m (TJ);15;15~17;-13~-11;KND;Launch (JG?);
u/f+4;m (TJ);13;15~16 js9~;-13~-12;Launch (JG?);Launch (JG?);
u/b or u+3+4;m (TJ);25;21;-17;KND;KND;
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;12;12~13;-2~-1;+9~+10;+9~+10;
WS+2;m;12;14~16;-8~-6;+3~+5;+3~+5;
WS+3;m;16;10~12;-21~-19;-10~-8;-10~-8;
WS+4;m;16;11~12;-6~-5;+5~+6;+5~+6;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+d/b or d+3;l (TC);12;13s cs1~;-17;-3;-3;
FC+d/f+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+d/b or d+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;10;10(11~);+1;+7;+7;
SS+3;m;16;14(15~);-8;+3;+3;
SS+4;h;16;11(12~);-9;+7;Launch (JG?);
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
