Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;8;10;0;+8;+8;
3;m;12;15~16b;-11~-10;-3~-2;-3~-2;
4;h;16;12;-4;+7;+7;
f+1;h;7;10;+1;+8;+8;
f+2;h;12;12~13;-9~-8;-1~0;-1~0;
f+3;m;26;20~22;-6~-4;KND;KND;Homing, Tail spin
f+4;m;23;17;-9;KND;KND;
d/f+1;m;12;13;-1;+7;+7;
d/f+2;m;16;16~17;-11~-10;Launch (JG?);Launch (JG?);
d/f+3;m;23;20~22;+3~+5s;+8~+10g;KND;
d/f+4;m;14;15~16;-8~-7;-2~-1;+5~+6;
d+1;l (TC);10;18~19 cs11~;-11~-10;0~+1;0~+1;
d+2;m;16;16~17;-7~-6;-1~0;-1~0;
d+3;l;14;19~20;-12~-11;+1~+2;+1~+2;
d+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d/b+3;h;20;19~22 cs6~16;-9~-6;KND;KND;Tail spin, Homing
d/b+4;l (TC);20;30~31 cs5~;-24;YKU;YKU;Homing
b+1;m?;16;17~18;-6~-5;+2~+3;+2~+3;
b+2;h;15;13;-11;0;0;
b+3;(Special) (TJ);;13;;;;
b+4;(Special) (TJ);;13;;;;
u/b+1;m;21;16;-4;+7s;KND;
u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;m;21;20~21;-12~-11;KND;KND;
u/b or u+3;m (TJ);26;22~23 js16~;-16~-15;Launch (JG?);Launch (JG?);
u/f+3;m (TJ);13;15~17 js9~;-13~-11;Launch (JG?);Launch (JG?);
u/b+4;m (TJ);11;15~17 js9~;-20~-18;-8~-6;-8~-6;
u+4;m (TJ);15;15~17 js9~;-13~-11;KND;Launch (JG?);
u/f+4;m (TJ);12;25~29 js9~;-12~-8;+1~+5s;+1~+5s;
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;15;13~14;-11~-10;0~+1;0~+1;
WS+2;m?;17;16~18;-12~-10;Launch (JG?);Launch (JG?);
WS+3;m;20;16~17 ar13~;-21~-20;Launch (JG?);Launch (JG?);
WS+4;m;18;11~12;-8~-7;KND;KND;
FC+d/b or d+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+d/b or d+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;8;10(11~);0;+8;+8;
SS+3;m;20;18~19 (27~);-9~-8;KND;KND;
SS+4;h;16;12(13~);-4;+7;+7;
BT 1;h;8;8;-8;+3;+3;
BT 2;m;17;14~16;-5~-3;KND;KND;Tail spin
BT 3;h;25;10;-8;KND;KND;
BT 4;mm (TC);10,20;26~28, 55~56b 1js13~ 2js1~14;-11~-10;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3;l (TC);16;17~19 cs4~;-17~-15;-1~+1;+2~+4s;
BT d+4;l;12;10s cs1~;-11;+3;+3;
