Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;10;-1;+8;+8;
3;m;12;14~15;-8~-7;+3~+4;+3~+4;
4;h;17;12;-8;+3;JG;
f+1;h;7;10;+1;+8;+8;
f+2;m;12;15~16;-10~-9;+1~+2;+1~+2;
f+3;m;18;17;-10;+1;+1;Homing
f+4;h;25;15~16;-9~-8;KND;KND;
d/f+1;m;15;14~15;-1~0;+7~+8;+7~+8;
d/f+2;m;16;16~18b;-11~-9;Launch (JG?) +3(SH);Launch (JG?);
d/f+3;h (TC);21;16~17 cs8~;-9~-8;+7~+8(SH);Launch;
d/f+4;m;13;15~16;-15~-14;-1~0 (Launch (JG?));-1~0 (Launch (JG?));
d/b or d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d+3;l;12;14~15;-12~-11;0~+1;0~+1;
d+4;l (TC);18;21s cs6~;-13;-2;-2;
d/b or d+1 ;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;m;13;13~14b;-4~-3;+5~+6;+5~+6;
d/b+3;l (TJ);19;29~30s js8~27 cs28~;-12~-11;+5~+6;KND;
d/b+4;l (TC);21;24~25s cs6~;-14~-13;+4~+5s;KND;
b+1;h;25;16~17;+5~+6s;+5~+6s;KND;
b+2;h;12;15~17;-14~-12;-3~-1;-3~-1;
b+3;m;23;27~29;+1~+3;KND;KND;
b+4;m;11;14~15;-11~-10;0~+1;0~+1;
u/b+1;m?;11;16;-6;+5;+5;
u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b or u+3;h (TJ);25;26~28b js8~;-2~0;+5~+7;+5~+7;Homing
u/f+3;m (TJ);20;29~30 js9~;-4~-3;0~+1s;KND;
u/b or u+4;m (TJ);13;19~23 js8~;-5~-1;KND;KND;
u/f+4;m (TJ);16;19~23 js8~;-5~-1;KND;KND;
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;14;14~15;-14~-13;Launch (JG?);Launch (JG?);
WS+2;m;17;13~14;-8~-7;+8~+9 (SH);Launch (JG?);
WS+3;m;21;16;-8;KND;KND;
WS+4;m;18;11~12;-7~-6;+4~+5;+4~+5;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-15;-4;-4;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;10;10(11~);-1;+8;+8;
SS+3;m;12;14~15 (15~);-8~-7;+3~+4;+3~+4;
SS+4;h;17;12(13~);-8;+3;Launch (JG?);
BT 1;h;10;8~9;-1~0;+5~+6;+5~+6;
BT 2;h;13;10b;+1;+8g;+8;
BT 3;h;10;10;-11;0;0;
BT 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 (Close);l (TC);21;25 cs4~;-26;KND;KND;
BT d+3;l (TC);14;25~27 cs4~;-26;0~+2;0~+2;
BT d+4;l;12;10s cs1~;-11;+3;+3;
