Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage b+1+2 in rage SAV b+1+2;m;55;20 pc8~17;-22;KND;KND;Rage art
in rage d/b+1+2;mm;10,10;17~18, 37~38;+3~+4;KND;KND;Rage drive, Tail spin
in rage d/b+1+2 (Second hit miss);m;10;17~18;-?;KND;KND;Rage drive
1;h;7;10;+1;+8;+8;
1, 2;h, h;7,12;10;-1;+5;+5;
1, 2, 4;h, h, h;7,12,20;10;+3~+4;KND;KND;
1, 2, 4, F;h, h, h, (SAV);7,12,20;10;+3;KND;KND;
1, 2, 1+2;h, h, m;7,12,30;10;+4~+5s;KND;KND;
1, 3;h, l;7,12;s cs12~;-12;+1;+1;
2;h;12;11;-8;+3;+8;
2, 1;h, h;12,15;11;-4~-3;+7~+8;+7~+8;
2, 1, f;h, h, (SAV);12,15;11;-4~-3;+7~+8;+7~+8;
3;h;16;13;-7;+2;+2;
3, 4;h, m;14,20;13;-12~-11;KND;CS;Tail spin
4;h;14;12;-9;+5;Launch (JG?);
1+2;m;20;19~20;-7~-6;+4~+5s;+4~+5s;
1+2, d;m;20;19~20s;-7~-6;+4~+5s;+4~+5s;
1+2, 1+2;m, m;20,20;19~20;-14~-13;KND;KND;
f+2;h?;17;15;-3;+6;CS;
f+3;m;13;20~21;-5~-4;+7~+8s;+7~+8s;
f+3, 4;m, m;13,12;20~21;-15;KND;KND;
f+4;m;15;17~18;-7~-6;+6~+7;+6~+7;Homing
f+4, 2;m, m?;15,20;17~18;-12~-11;KND;KND;Tail spin
f+1+2;h;20;14~15;-5~-4;KND;KND;
f+3+4;(Special);;(g);;;;
f+3+4, F;!;178;47(191);KND;KND;KND;
f+2+3;m;28;24~33;-7~+2;KND;KND;
d/f+1;m;12;13;-2;+5;+5;
d/f+1, F;m, (SAV);12;13;-2;+5;+5;
d/f+1, 1;m, h;12,13;13;-3~-2;+5~+6;+5~+6;
d/f+1, 1, F;m, h, (SAV);12,13;13;-3~-2;+5~+6;+5~+6;
d/f+1, 1, 2;m, h, m;12,13,18;13;-12;+2;KND;
