Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;10;0;+6;+6;
3;h;20;14;-8;+3;+3;
4;h;16;11;-10;+1;KND;
f+1;h;7;10;+1;+8;+8;
f+2;h;12;12;-8;-2;-2;
f+3;m (TJ);17;21 js13~;-5~-4;+6~+7;KND;Homing
f+4;h;17;15;-2;+15k;KND;Tail spin, Homing
d/f+1;m;12;13~14;-1~-2;+5~+6;+5~+6;
d/f+2;m;13;15~16;-7~-6;Launch (JG?)(+4a);Launch (JG?);
d/f+3;m;20;17;-9;+12kg;+12kg;Tail spin, Homing
d/f+4;m;16;14;-9;+2;+2;
d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;m?;18;18~19;-6~-5;+8~+9;+8~+9;
d+3;l (TC);14;16~17s cs6~;-14~-13;0~+1;0~+1;
d+4;l;13;19;-12;+1;+1;
d+3+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;m;11;14;-10;+1;+1;
d/b+3;l;15;20~21;-17~-16;-6~-5;-6~-5;
d/b+4;h;30;20 cs6~;-13;KND;KND;
b+1;m;18;19~20;+1~+2;+8~+9;+8~+9;
b+2;h;10;10;+1;+7;+7;
b+3;m;20;18~19;0~+1s;+3~+4s;KND;
b+4;m;20;17;-15;+2;KND;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b+3;m (TJ);16;25~26 js9~;-7~-6;+4~+5;+4~+5;
u+3;m (TJ);21;25~26 js9~;-7~-6;KND;KND;
u/f+3;m (TJ);22;25~26 js9~;-7~-6;KND;KND;
u/b or u or u/f+4;m (TJ);13;15~17 js9~;-13~-11;Launch (JG?);Launch (JG?);
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;17;14;-2;+4;+12;
WS+2;m;21;16;-17;CS;CS;
WS+3;m;16;13;-11;0;0;
WS+4;m;16;11~12;-6~-5;+5~+6;+5~+6;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;10;10(11~);+1;+7;+7;
SS+3;h;20;14(15~);-8;+13g;+13g;
SS+4;h;16;11(12~);-9;+2;KND;
BT 1;h;15;8;-8;+3;+3;
BT 2;m;15;14;-3;KND;KND;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
