Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;12;12;-1;+5;+5;
3 (to LWV);(LWV);;12;;;;
4 (to RWV);(RWV);;12;;;;
f+1;h;7;10;+1;+8;+8;
f+2;m?;11;21~22;-6~-5;+5~+6;+5~+6;
f+3 (to DCK);(Special) (TC)(DCK);;s;;;;
f+4 (to DCK);(Special) (TC)(DCK);;s;;;;
d/f+1;m;12;13~14;-2~-1;+5~+6;+5~+6;
d/f+2;m;18;16~17;-11~-10;+6~+7;KND (JG?);Homing
d/f+3 (to DCK);(Special) (TC)(DCK);;s;;;;
d/f+4 (to DCK);(Special) (TC)(DCK);;s;;;;
d+1;l (TC);14;16s cs6~;-13;0;0;
d+2;l (TC);13;17 cs6~;-18;-5;-5;
d+3 (to LWV);(LWV);;17 6~;;;;
d+4 (to RWV);(RWV);;17 6~;;;;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;l (TC);21;26~27 cs6~;-12~-11;+1~+2s;KND;
d/b+3;l;10;16;-15;+1;+1;
d/b+4 (to SWY);(Special) (TC)(SWY);;s;;;;
b+1;h;17;13~14;-14~-13;+2~+3;CS;
b+2;m?;20;17~18;-14;CS;CS;
b+3 (to SWY);(Special) (TC)(SWY);;s;;;;
b+4 (to SWY);(Special) (TC)(SWY);;s;;;;
u/b or u+1;m (TJ);12;18 js9~;-8;+3;+3;
u/f+1;m (TJ);18;19~21 js9~;-6~-4;+5~+7;+5~+7;
u/b+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u or u/f+2;m (TJ);20;22~25 js9~;-14~-11;KND;KND;
u/b+3 (Cancel);(Special);;22~25 9~;;;;
u or u/f+3;l (TJ);20;36~37 js9~35;-12~-11;+9~+10;+9~+10;
u/b+4 (Cancel);(Special);;36~37 9~35;;;;
u or u/f+4;m (TJ);27;23~24;-14~-13;Launch (JG?);Launch (JG?);
WS+1;m;12;11~12;-3~-2;+3~+4;+8~+9;
WS+2;m;17;14~16;-7~-5;+4~+6a;Launch (JG?);
WS+3 (to LWV);(LWV);;14~16;;;;
WS+4 (to RWV);(RWV);;14~16;;;;
FC+d/b or d+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+d/b+2;l (TC);21;26~27 cs1~;-12~-11;+1~+2s;KND;
FC+d+2;Sm;8;11s cs1~;-4;+7;+7;
FC+d/b or d+3 (to LWV);(LWV);;11 1~;;;;
FC+d/b or d+4 (to RWV);(RWV);;11 1~;;;;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;12;12(13~);-1;+5;+5;
SS+3 (to LWV);(LWV);;12(13~);;;;
SS+4 (to RWV);(RWV);;12(13~);;;;
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;(Special);;8;;;;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;(Special);;10 1~;;;;
