Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;8;10;-2;+6;+6;
3;h;17;14~15;-11~-10;KND;KND;Tail spin
4;h;15;11;-9;+8;Launch (JG?);
f+1;h;7;10;+1;+8;+8;
f+2;m;12;16~17;-7~-6;+4~+5;+4~+5;
f+3;m;14;16~18;-9~-7;+2~+4;+2~+4;
f+4;h;23;19~20;+1~+2;KND;KND;Tail spin, Homing
d/f+1;m (TC)(RDS);11;14b cs6~13;-4;+7;+7;
d/f+2;m;15;15;-6;+5a;+5a;
d/f+3;h;23;23~24 pc8~22;-8~-7;KND;KND;Power crush
d/f+4;m;12;12;-4;+7;+7;
d+1;mmm;7,7,7;17~19, 21~23, 26~32s;-9~-3;+2~+8s;+2~+8s;
d/b or d+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d+3;l (TC);12;14s cs6~;-12;-3;+1;
d+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;m;30;18;-9;KND;KND;
d/b or d+2 ;Sm (TC);9;11s cs4~;-4;+7;+7;
d/b+3;l(!);0;15;+2;+2s;+12s;
d/b+4;l;12;18;-12;+7s;KND;
b+1;m(RDS);10;8~13(b);;+1;+1;
b+2;m;13;15~16b;-6~-5;+5~+6;+5~+6;Homing
b+3;h;22;18~19b;-4~-3;+7~+8s;KND;
b+4;m;14;13~15;-11~-9;0~+2;0~+2;
u/b+1;m (TJ);12;18 js9~;-8;+3;+3;
u or u/f+1;l (TJ), (AOP);15;33~35 js9~23;-7~-5;+10~+12s;+10~+12s;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b+3;m;11;16~17 js9~;-13~-12;-1~0;-1~0;
u+3;m;15;16~17 js9~;-13~-12;KND;Launch (JG?);
u/f+3;m;13;16~17 js9~;-13~-12;Launch (JG?);Launch (JG?);
u/b+4;m (TJ);15;15~17 js9~;-19~-17;-8~-6;-8~-6;
u+4;m (TJ);20;23~26 js9~;-7~-4;+4~+7s;KND (+4~+7s);
u/f+4;m (TJ);23;23~26 js9~;-3~0;+8~+11s;KND;
u/f, n+4;m;25;23(30,36) js9~33;-18(-17);Launch (JG?);Launch (JG?);
WS+1;m;10;13~14;-4~-3;+7~+8;+7~+8;
WS+2;m;17;13~15b;-4~-2;+7~+9;Launch (JG?);
WS+3;m;22;22~23;+3~+4s;+6~+7s (KND);Launch;
WS+4;m;20;11~13;-10~-8;KND;KND;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+d/b or d+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);11;15~17s cs1~;-15~-13;-4~-2;-4~-2;
FC+d/b or d+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;8;10(11~);-2;+6;+6;
SS+3;l (TC);23;27~28 (36~) cs6~;-23;KND;KND;Homing
SS+4;l (TC);19;18~19s (27~) cs6~;-13~-12;-2~-1;KND;
RDS 1;m;17;16~18;-5~-3;+4~+6;CS;
RDS 2;h;9;12b;0;+6;+6;
RDS 3;m (TJ);25;18~19b js9~;-19~-18;KND;KND;Wall bounce
RDS 4;m;17;13~15;-18~-16;Launch (JG?);Launch (JG?);
RDS b+3;h;25;10;-8;KND;KND;
RDS d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
RDS d+3;l;10;16;-12;+7s;+7s;
RDS d+4;l;19;24~26s cs8~;-26;+5~+7s;KND;
RDS d/b or d/f+4;l;0;15;+2;+2s;+12s;
