Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage b+1+2;m;;20?;-;KND;KND;
in rage u/b+1+4;Attack returned;20;6~;-;KND;KND;Rage drive
1;h;9;10;+1;+8;+8;
1, 1;h, m;9,21;10;-8~-7;+4~+5s;KND;
1, 2;h, m;9,16;10;-9;-3;-3;
1, 2, 1;h, m, h;9,16,20;10;-9;-2;KND;
2;h;13;10;-1;+5;+8;
2, 1;h, m;13,31;10;-9;KND;KND;Tail spin
2, 1, B (Cancel);h, (Special);13;10;-13;-7;-4;
2, 2;h, h;13,10;10;-1;+5;+5;
2, 2, 1+2;h, h, (KIN);13,10;10;-;+;+;
2, 3;h, h;13,28;10;-10;KND;KND;Tail spin
2, d+3;h, l (TC);13,14;10 RC;-12;-1;-1;
3~4;mm (TJ);16,21;17,28~29 (18~);-6~-5;+3~+4?;+3~+4?;
3~4, u/b or u or u/f;mm (TJ), (Special) (TJ)(DGF);16,21;17,28~29 a(18~);+5~+6;+9~+10?;+9~+10?;
3~4 (Second hit miss);m;16;17(18~);-19? (Stance-9?);;;
4~3;m (TC);33;25a(26~);-12;Launch;Launch;
4;h;22;15;-11;0;KND;
4, 4;h, h;22,22;15;-4;-2;-2;
4, 4, 4;h, h, h;22,22,27;15;-4;KND;KND;Tail spin
1+4 or WS+1+4;m;28;6;-15;CS;CS;
4~1;m;28;6(7~);-15;CS;CS;
1+2+3;m(!);0;22~25;-8~-5;0~+3;+16~+19;
f+2;h;24;17;-4;+13kg;SCD;Tail spin
f+2, d/b+2;h, m;24,10;17 RC;-5~-4;+6~+7;+6~+7;
f+2, D/B+2, 2;h, m, m;24,10,9;17 RC;-9~-8;+2~+3;+2~+3;
f+2, D/B+2, 2, 2;h, m, m, m;24,10,9,8;17 RC;-9~-8;+2~+3;+2~+3;
f+2, D/B+2, 2, 2, 2;h, m, m, m, m;24,10,9,8,6;17 RC;-9~-8;+2~+3;+2~+3;
f+2, D/B+2, 2, 2, 2, 2;h, m, m, m, m, m;24,10,9,8,6,5;17 RC;-9~-8;+2~+3;+2~+3;
f+2, D/B+2, 2, 2, 2, 2, 2;h, m, m, m, m, m, m;24,10,9,8,6,5,4;17 RG;-49~-46;-38~-35;-38~-35;
f+3;h;32;16;-10;KND;KND;Homing, Tail spin
f+3, 3;h, l (TC);32,21;16;-20;KND;KND;
f+3, 3, d+3+4;h, l (TC), (IND);32,21;16 Air;-35;KND;KND?;
