template;https://gfycat.com/ifr/{url}
1;MagnificentElatedKitten
1, 1;VibrantSeparateImperatorangel
1, 2;WhoppingCooperativeCaimanlizard
2;ObesePerkyAurochs
4, 3;ForkedHeartyCapeghostfrog
f+3;AdeptMildCuscus
f+4;MajesticSmallAnole
f+1+2;ScientificUnitedGenet
f+3+4;ExemplaryAgitatedAardvark
f, f+2:1;FlakyPortlyHerring
f, f+4;MeaslyDelectableApatosaur
f, f, f+1;WhimsicalSoupyAlbertosaurus
f, f, f+3 (or WR+3);WaryUntriedElephantseal
df+1, 1;TallScentedAmphiuma
df+1, 2;LittleThriftyFowl
df+2, 1;UntidyComfortableAntarcticgiantpetrel
df+2, 4, 3;ChillyAdmirableAfricangoldencat
df+3;DarlingBasicHammerheadbird
df+4;CapitalNimbleAmericanpainthorse
b+1;PotableCluelessArthropods
b+2;UnconsciousMiniatureEmperorshrimp
b+4;HastySociableHog
FC+1;ShrillQuestionableBobwhite
FC+2;AppropriateAmazingBarb
FC+3 (close);SerpentineConfusedFlee
FC+4;UnimportantSparseEyelashpitviper
WR+4 ;UnitedBlueFowl
WS+1;IcyShorttermIrishwaterspaniel
WS+2;OccasionalMelodicAffenpinscher
WS+3;AlienatedGratefulGreyhounddog
WS+4, 4;UnsteadyAdorableGnu
Vertical Jump 2;CooperativeGrossBlacklab
Vertical Jump 3;BetterHeavyEelelephant
Vertical Jump 4;OrdinaryArcticIberianemeraldlizard
Forward or backward Jump 1;FluidAstonishingClumber
Forward or backward Jump 3;WhirlwindWholeFunnelweaverspider
Forward or backward Jump 4;RelievedIckyBettong
Top of forward jump d+3;ForthrightFrightenedLeonberger
f, d, df+1;ForcefulImmenseHerculesbeetle
f, d, df+2;ForcefulImmenseHerculesbeetle
f, d, df+3 (or 4);TheseClearcutBudgie
DFLIP N;DecisivePepperyGavial
DFLIP 1;SickClassicHarrier
DFLIP 2;CloseLeanKitten
DFLIP 3;SmartAmusedElephant
DFLIP 4;SameYellowishEasternglasslizard
DFLIP 1+3 (or 2+4);ScornfulComplexJackal
hcb+1;BlueTallAtlanticsharpnosepuffer
hcb+2;BlueTallAtlanticsharpnosepuffer
qcf+1 (or 2);GrotesqueBigheartedAnemonecrab
qcb+3;SilverHospitableHyena
qcb+4;SilverHospitableHyena
(During Jump) qcf+1 (or 2);AntiqueMagnificentFruitbat
f, d, df+1+2;HighBlueHorsechestnutleafminer
CH f, d, df+1+2;MiserableJadedKitten
hcb+1+2;PaleThreadbareAllosaurus
qcf+1+2;HarmoniousNarrowAlaskanmalamute
qcb+3+4;DizzyDisguisedJellyfish
(During Hisenkyaku) qcf+1+2;HonoredSlushyConure
(During Jump) qcf+1+2;SimplisticDeadlyKarakul
qcf, qcf+1+2;InsecureUnsightlyDormouse
df+1+2;AmpleDependableBorer
(During Rage) 1, 1, f, 3, 2;GrimySmoggyFox
Approach enemy... 1+3;BarrenDeficientHorseshoecrab
Approach enemy... 2+4;YellowVelvetyBlackandtancoonhound
Approach enemy... f+1+3;BarrenDeficientHorseshoecrab
Approach enemy... f+2+4;YellowVelvetyBlackandtancoonhound
Approach from left side... 1+3 (or 2+4);YellowVelvetyBlackandtancoonhound
Approach from right side... 1+3 (or 2+4);BarrenDeficientHorseshoecrab
Approach from behind... 1+3 (or 2+4);BarrenDeficientHorseshoecrab
