template;https://gfycat.com/ifr/{url}
1, 2;DelayedCircularAlbino
1, 2, 1, 4;FoolhardyAgonizingBooby
1, 2, 1, d+4;UnconsciousJaggedBordercollie
1, 2, 3;FlashyNimbleKawala
1, 2, 4;DemandingFastCormorant
1, 4;NarrowEdibleAndalusianhorse
2, 1, 4;HighlevelBleakGermanshorthairedpointer
2, 1, d+4;NeatThornyJumpingbean
2, 3;DefenselessArcticKestrel
2, 4;ChiefMiserableBrahmancow
2, d+3;FittingWiltedHammerheadbird
3, 3, 2;GrimFluidFantail
3, 3, 4, 1;WhimsicalGrizzledArabianhorse
3, 4;CoolRaggedAnemone
4, 3;MerryFlakyKarakul
u+3;DeadlyBriskGreyhounddog
uf+1, 3, 3+4;EqualInsistentCornsnake
uf+3;SaltyThunderousGnat
uf+4;JoyousObeseIberianbarbel
uf+4, 3, 4;FavorableDisfiguredFieldmouse
UF+4;JoyousObeseIberianbarbel
uf+3+4;LiveCavernousHeterodontosaurus
f+2, 3;GiftedOddAfricanbushviper
f+3, 2;ElegantTemptingGander
f+4;RashBogusAntelope
f+1+2;ScrawnyAcrobaticAcaciarat
f+2+3;PossibleEarlyFallowdeer
f, F+2;SlightDistantFirebelliedtoad
f, F+3, 4, 3;FantasticCommonAsiaticgreaterfreshwaterclam
f, F+4;RecklessBrilliantAntbear
f, F+1+2;GleamingUltimateCreature
f, f, f+2, 3;WindingOccasionalChimpanzee
f, f, f+3;YoungPopularGuineapig
df+1, 2, 3;ShadowyYellowAndeancondor
df+1, 2, 4;HonoredWhimsicalBlesbok
df+2;InferiorComplexDingo
df+3, 1, 2;ShamefulGrippingLeafhopper
df+3, 1, 4, 2;AdolescentHarmlessAmericangoldfinch
df+3, 1, 4, 2, 3;SpitefulUnsungBobwhite
df+3, 1, 4, 2, uf+3;VariableUncommonLice
df+3, 1, 4, 2, 1+2;CompassionateThreadbareHarpyeagle
df+3, 2, DF;NeighboringGraciousHoneyeater
df+3, 2, 1, 4;FairBackKingbird
df+3, 2, 1, d+4;SpecificInfiniteFoxhound
df+3, 2, 4;FluidSilentBlackrussianterrier
df+3, 2, 3;LeadingHospitableAsianlion
df+3, 2, d+3;PepperyPleasingBorderterrier
df+3, 3, 3, 1;SelfassuredActualBarebirdbat
df+3, 3, 3, 4;SharpFaintDwarfrabbit
df+3, 4;PrestigiousInexperiencedAmurminnow
df+4;ClutteredDeafeningDavidstiger
df+1+2;SpotlessOpulentGoral
d+1, 4 (or FC+1, 4);EagerDenseGiantschnauzer
d+2;PointedWelltodoHyena
d+3, 2 (or FC+3, 2);ForcefulAgileIaerismetalmark
d+3, 4, 1 (or FC+3, 4, 1);ThisDimJenny
d+4, 1 (or FC+4, 1);GiftedGentleCaiman
qcf+1;BronzeImaginativeAllosaurus
qcf+2, 1;ComfortableAdolescentAuklet
qcf+3, 2;SophisticatedLimpHoneybadger
qcf+3, 3, 1;HardPepperyFerret
qcf+3, 3, 4;LawfulSecondhandFruitbat
qcf+4;PersonalYawningDrever
db+1, 4;MassiveRegalGardensnake
db+2, 4 (or FC+2, 4);EagerDenseGiantschnauzer
db+3;EuphoricLoneHairstreak
db+4, 3;JealousTediousBuckeyebutterfly
db+4, 4;DirectFreeFlies
db+3+4, 3;CluelessEnviousDowitcher
b+1, 2, 2;MessyOrangeBongo
b+2, 2;InbornBoringDuiker
b+4;FlusteredBitterHorseshoecrab
FC+f+1;LittleDentalIcelandgull
FC+df+2;FavorableLikelyAddax
FC+uf+4;DentalParchedAmazonparrot
FC+UF+4;DentalParchedAmazonparrot
SS+2;FearfulGroundedBaboon
SS+3;TimelyLastAgama
SS+1+2;LiquidUnacceptableIzuthrush
WS+2;YoungPopularGuineapig
WS+3;SilverDisfiguredLeafhopper
