template;https://gfycat.com/ifr/{url}
1, 2;LastingKaleidoscopicClownanemonefish
1, 2, 1;AlertPoorAfricanwilddog
2, 1;ScornfulShabbyBorzoi
1+2, 2;VagueRewardingDrongo
1+2, 4;ForthrightWelloffAllensbigearedbat
3+4, 1;ScarcePoorAllosaurus
3+4, 2;BadDemandingFiddlercrab
f+2, 1;WastefulChiefGourami
f+3, 4;ClearNaughtyDoe
f+3, 4, 3;ClearNaughtyDoe
f+4;ValuablePastCurassow
f+1+4;UnpleasantBeneficialIndusriverdolphin
df+1;WellinformedMajorAmethystgemclam
df+2;SplendidTenseAcornwoodpecker
df+3;PlainDimpledGiantschnauzer
df+1+2;FemaleBeautifulFirecrest
d+1, 4 (or FC+1, 4);ShortReflectingFeline
d+2, 4, 3;AdmiredSlimyAruanas
d+3;ShadowyNaughtyLhasaapso
d+1+2;WhiteYawningGrackle
d+3+4, 1;SolidMeagerBillygoat
d+3+4, 3;ExcellentCaringChicken
db+2, 3;DependablePointedJanenschia
db+2, 4;ActualQuestionableBobcat
db+3;NippyPlaintiveGodwit
db+4;PleasedThankfulLice
db+1+2;GloriousBigFowl
b+1, 2;CarelessMisguidedChafer
b+2, 1, 2;SomeGrippingGermanspaniel
b+3;FoolishBogusBufflehead
b+4;LameRemarkableBettong
b+1+2;DemandingElectricBullfrog
b+1+4;OldfashionedBlushingArrowworm
ub+1;ImpressiveThreadbareGuineafowl
uf+2;WelllitTimelyGoldenretriever
uf+3;BlindEachEthiopianwolf
uf+4;SlushyDecisiveCowbird
uf+1+2 (or uf, 1+2);NaughtyUglyHomalocephale
uf+3+4;DenseUltimateHalibut
f, f, N+2;PlainWeakIndianjackal
f, F+2;QuickEagerDutchshepherddog
f, F+3;ElaborateGratefulEstuarinecrocodile
f, F+4;CircularGleefulGenet
f, F+1+2;BitesizedGratefulBufflehead
f, F+3+4;BruisedAfraidGoral
f, f, f+3 (or WR+3);IcyMinorIcefish
Run more than 3 steps... 4;BronzePoliteAlaskanmalamute
f, f, f+3+4 (or WR+3+4);GreenInsidiousCaudata
(During Catch) 2;UnknownRareLeafwing
FC+df+2;UniqueAgedEuropeanpolecat
WS+1;PleasantVainGardensnake
WS+2;TerrificMilkyAphid
SS+2, 1;EverlastingSatisfiedBat
SS+4;DefensiveJoyfulDairycow
SS+3+4;LoathsomeGoodnaturedGazelle
Opponent down d+4, 4, 4;RepentantSleepyIvorygull
3+4;IcyEvenEquestrian
BT 3;RelievedSnappyCarp
BT 4;FavorableUntriedAnaconda
f, N, d, df+1;AngelicEnchantingArawana
f, N, d, df+2;PowerfulExaltedIslandwhistler
f, N, d, df+4;VictoriousLikelyAuk
d+1+4 (or d+2+3);NarrowVastGrunion
db+1+2, D;BlandSomberHarlequinbug
f, F+3, D;InsecureMistyApatosaur
(During Shadow Step) 2;OfficialAbsoluteInexpectatumpleco
(During Shadow Step) 1+2;OddFocusedGrouper
f+1+2;ObviousReliableBrocketdeer
in rage b+3+4;WatchfulSpecificFreshwatereel
in rage f, N, d, df+1+2*;HarmlessRedGossamerwingedbutterfly
1+4 (or uf, N, 1+4) (or BT 1+4);SecondFemaleAlbino
uf+1+2* (or uf, 1+2*);GranularMarriedCougar
f, N, d, df+3;ElementaryUnsungBluebreastedkookaburra
f, N, d, df+1+2;BronzeEvergreenConure
b+2+3 (D to cancel);DeadlyAnxiousKudu
Approach enemy... 1+3;ThoroughClearAnnashummingbird
Approach enemy... 2+4;WeakOddballCanadagoose
3+4*;TameKeenHarborseal
Approach enemy... f+1+3;ThoroughClearAnnashummingbird
Approach enemy... f+2+4;WeakOddballCanadagoose
f, f, f+2+4 (or WR+2+4);KindlyBoringIndianrockpython
Approach enemy... f, hcf+1;EmbarrassedQuickFurseal
Approach enemy... df+2+3;EuphoricPastelEyra
(During Suplex) d, d, d+1+2;AnchoredCookedCurassow
Approach enemy... qcb+1+2;BossyCheeryFrilledlizard
Approach enemy... db, f+2+4;PessimisticDistantAvians
Approach enemy... db, db+1+2;FamiliarPertinentAlaskanmalamute
b+4 (during hit from the front) 1+2;ExcitableCompetentCowrie
Approach from left side... 1+3 (or 2+4);DeadlyThoroughBirdofparadise
Approach from right side... 1+3 (or 2+4);ThoughtfulSpicyAvians
