template;https://gfycat.com/ifr/{url}
1, 2, 1;BabyishWeepyBobolink
1, 2, 3;VengefulOddballGerenuk
1, 2, 4;SoulfulSolidBarnowl
1, 4, 2, 1, 2;DetailedEmptyHornet
1, 4, 2, 1, 4;BarrenAntiqueGarpike
1, 4, 2, 4;UnsteadyAbandonedFluke
1, 4, 3;AgitatedFriendlyIrishsetter
1, 4, 3, 3;SevereMadDwarfmongoose
2, 3;GratefulMenacingGermanshorthairedpointer
3, 2, 1, 2;ThirdGrizzledEuropeanpolecat
3, 2, 1, 4;SaneOrderlyGartersnake
3, 3, 2;HospitableLeafyJay
3, 3, 4;DarkShockingCamel
4, 3, 4;SlushyEarnestDikkops
4, 3, f+4;JauntyShamelessIndianringneckparakeet
1+2, 2;BountifulBlueChevrotain
3+4;EssentialFrighteningApatosaur
uf+3;EachAccomplishedHornedviper
uf+4;SimpleCornyKite
f+2, 1, 4;GracefulBronzeBagworm
f+3;IdleSpiritedGypsymoth
f+4, 1;DistantRepulsiveAfricanporcupine
f+1+2;InsistentPowerlessIndiancow
f, F+3;BonyIcyAfricanjacana
f, F+4;InbornShockingBronco
f, b+2;AggravatingWeeklyAracari
f, f, f+3 (or WR+3);DisastrousLegitimateBaldeagle
DF+1, 1, 1, 1;WaryWindingLeafcutterant
df+1, 2;WeakSnappyBunting
df+2, 1;DisloyalRecentGerbil
df+2, 3;PitifulPersonalBullmastiff
df+3;HospitableZigzagAmericanwigeon
df+4;SatisfiedUnlawfulAmericanredsquirrel
d+2, 3;EllipticalUnlawfulBuffalo
d+3, 2;TanEasyBeauceron
d+4;PerfectViciousGangesdolphin
d+1+2, 3;NegligibleRelievedHound
d+1+2~2;FearfulMintyFritillarybutterfly
d+3+4, 2;KindheartedDisfiguredEquestrian
db+2;MasculineLegalIberiannase
db+3;SnarlingLiveEchidna
db+1+2;UnequaledBaggyAnole
b+1;AgedConsciousBangeltiger
b+2, 1;MilkyCalmFinnishspitz
b+2, 1, 2;ForthrightGrayIndigobunting
b+2, 1, 4;DemandingClutteredLadybird
b+2, 4;MediumAcidicDiplodocus
b+3, 2, 1, 2;BlackFelineKrill
b+3, 2, 1, 4;CavernousQueasyAtlanticridleyturtle
b+3, 1+2;CheeryDirtyEel
b+4;HarmfulMindlessBarracuda
b, df+4;AcceptableFlippantLabradorretriever
b, B+4;AridIlliterateAdamsstaghornedbeetle
ub+1+2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 4;MedicalWideeyedIndianrockpython
FC+df+2, 1;SparklingUnderstatedHawk
FC+df+4;YawningEnlightenedKestrel
SS+1;NeighboringDaringDegus
SS+2, 3;SnoopyCloseBassethound
WS+1 (or qcf+1);DarlingComplicatedCrow
WS+2;RequiredSereneArcticfox
WS+2:f+2 (or b+2);PersonalAdorableAfricanporcupine
WS+3 (or qcf+3);AntiqueSecretIlsamochadegu
WS+3, 4 (or qcf+3, 4);IllSoupyAiredaleterrier
b+3, F;FearlessSparklingDowitcher
d+1+2, F;ReasonableFrankChrysalis
qcf+2, 1;WhichUnhealthyIguanodon
qcf+4, 1, 2;LazyMilkyKoodoo
qcf+4, 1, 4;KindheartedCourageousFalcon
qcf+1+2;AccurateForkedGreatdane
qcb;JollyVerifiableEidolonhelvum
d+1+2, B;ZestyEssentialBlueandgoldmackaw
qcb+2, 4;DirectImpossibleIncatern
qcb+3;AbandonedCheapBeauceron
qcb+4;PartialArtisticLamprey
f, F+2;ObedientCreepyAiredale
in rage df+1+2 (or FC+df+1+2);ElectricDiscreteCamel
in rage b+1+2;JointUntriedGoosefish
f+1+4;FondBasicGyrfalcon
b+1+4;HelplessTintedAnole
1+3+4;ContentImpartialGroundbeetle
Approach enemy... 1+3;GlisteningThriftyGoldenretriever
Approach enemy... 2+4;FortunateSomberIsopod
Approach enemy... f+1+3;GlisteningThriftyGoldenretriever
Approach enemy... f+2+4;FortunateSomberIsopod
Approach enemy... f, F+1+2;GratefulMerryIlladopsis
Approach from left side... 1+3 (or 2+4);BriefMaleBaldeagle
Approach from right side... 1+3 (or 2+4);GratefulGoldenChickadee
Approach from behind... 1+3 (or 2+4);DearShamelessAntarcticfurseal
FC+df, d, df+1+2;DismalDistantIriomotecat
Time with enemy punch... b+1+3 (or b+2+4);SentimentalFavorableGossamerwingedbutterfly
