template;https://gfycat.com/ifr/{url}
1, 2;CraftyTediousCaudata
1, 3;BleakPassionateAmberpenshell
2, 1, 2;UnawareHideousEmeraldtreeskink
4, 3;LimitedDefenselessIbisbill
3+4;FirmLeadingDarwinsfox
uf+2;FamousWavyCrownofthornsstarfish
uf+3;ScarceFluffyFish
uf+4;DirtyApprehensiveDuckbillcat
uf+3+4;AgedSmartGoa
f+2, 1, 1+2;TornUnlawfulBlackandtancoonhound
f+3;BackVastKodiakbear
f+4;LeadingUnitedKodiakbear
f+1+2;BarrenZigzagIchneumonfly
f+1+2, 1+2;MammothSilverAdder
f+3+4;FittingPaleDrever
f, F+2, 1+2 (or FC+df+2, 1+2);DearestWhoppingCrayfish
f, F+4;DiscreteSharpGemsbuck
df+1, 2;HeartyRecentAchillestang
df+2;PowerlessHappygoluckyDutchsmoushond
df+3, 1;PalatableResponsibleBassethound
df+3, 2;WeakKeyFallowdeer
d+1;OfficialLividFrogmouth
d+1, 2;MatureMilkyAmericanwigeon
d+2;OrderlyImpeccableGaur
d+2, 2;UnacceptableKnobbyAfricanwildcat
d+1+2 (or BT d+1+2);AnguishedCoordinatedFlicker
db+2, 1 (or FC+db or d+2, 1);BiodegradableMinorGrub
db+3;UntimelyIdealDeermouse
db+4, 3;IllinformedHauntingCockatoo
db+1+2;AmusedEmotionalGreatdane
b+1;SelfreliantMeaslyHarlequinbug
b+3;PerkyOrderlyBass
b+3, 3;CoordinatedIcyHare
b+4, 1;GoodGenerousInvisiblerail
b+4, 3;OldImpureCrossbill
b+4, 3, 2;UntriedMarriedBlackbuck
b+3+4;SecretAlienatedHapuku
SS+4;RawMiserableAmericanquarterhorse
WS+1, 1;GleamingImmediateAndeancondor
WS+3;GrimOffensiveDuckling
1+2:1+2:f+2;RawDarlingHornet
f+2, 2;ClosedImperturbableBorer
f, F+2, 2 (or FC+df+2, 2);AmusedInexperiencedCusimanse
f, f, f+2;ZealousCooperativeFallowdeer
b+2;FoolhardyWigglyBuffalo
b+4, 2;EarlyBoringFairybluebird
WS+2;SleepyWeeGraysquirrel
STB f+1+2, 1+2;MammothSilverAdder
STB d+1, 2;MatureMilkyAmericanwigeon
STB d+2, 2;UnacceptableKnobbyAfricanwildcat
STB db+1+2;AmusedEmotionalGreatdane
b+1+2;MatureViciousHeterodontosaurus
in rage df+1+2;YawningDefensiveKiwi
in rage b+4, 2, F;VelvetyHealthyBettong
in rage (b+4), 2, F;VelvetyHealthyBettong
b+2+3;AmusedNaturalHorsechestnutleafminer
Approach enemy... 1+3;EminentVastBluetonguelizard
Approach enemy... 2+4;FamousWaryGoldeneye
Approach enemy... f+1+3;EminentVastBluetonguelizard
Approach enemy... f+2+4;FamousWaryGoldeneye
Approach enemy... f, F+3+4;WideSickGalapagostortoise
Approach from left side... 1+3 (or 2+4);BonySlimyAcaciarat
Approach from right side... 1+3 (or 2+4);InconsequentialMeagerGalapagossealion
Approach from behind... 1+3 (or 2+4);BabyishLankyDorado
