template;https://gfycat.com/ifr/{url}
1, 1, 2;AllBreakableHammerkop
1, 2, 2;ParallelSaltyIggypops
1, 2, 3, 4;RigidImpassionedGrayreefshark
1, 2, 4;SpectacularDefiantFrogmouth
2, 2;DelectablePlayfulInganue
4~3 (or WS+4~3);SpecificHandmadeBelugawhale
1+4, 2, 4;CheerfulAdoredChinchilla
1+4, 2, d+4;GregariousSourAmericanmarten
u+4;PowerfulAlarmedBetafish
uf+2;SpottedScarceDiamondbackrattlesnake
uf+3;VigilantLawfulHogget
uf+4;AmbitiousAgonizingGalapagosdove
uf+2+4;BoringAngelicDog
f+2, 4;ImpishWiltedGnatcatcher
f+3;CraftyLeafyDartfrog
f+4, 3;HatefulOldGrouse
f+1+2;GrandioseOldfashionedClumber
f+3+4;SlightGivingGlassfrog
f, F+2;CloudyMiserlyBaleenwhale
f, F+3, 1, 2;AltruisticLinedBuck
f, F+3, 1, 3;ShabbyFantasticBrontosaurus
f, F+3, 1, 4;CarefulSmallIrishwolfhound
f, F+3, 1, DB+1+2;UniqueLastGrayfox
f, F+4;AptAmazingBuzzard
f, F+3+4;SpecificInnocentFlyingfish
f, f, f+3 (or WR+3) (or f, N, d, df, UF+3);NeglectedInnocentDikkops
df+1, 2;EnchantingSociableDiscus
df+3, 2, 4;HealthyImpracticalBlackrussianterrier
df+4, 4;AstonishingNauticalIndianelephant
df+1+2;EvergreenShimmeringLhasaapso
d+3;BeneficialFeminineDugong
d+3+4;UntidyFearlessEft
db+2;NewFragrantAlaskanhusky
DB+1+2;EvenNeighboringChevrotain
DB+1+2*;WearyDiscreteCicada
b+1, 2;MenacingVerifiableElver
b+2, 1;JubilantFittingAsianelephant
b+2, 1:UF;AdolescentUniformFlycatcher
b+2, 3;BlondGracefulDinosaur
b+3;MiserlyZigzagAtlanticridleyturtle
b+4;BrokenImaginaryKingfisher
b, f+2, 1, 2;ImportantCompassionateHawk
b, f+2, 1, df+2;AltruisticCourteousGraysquirrel
b, f+2, 1, 4;ImportantCompassionateHawk
f, N, d, df+1;LargeBeneficialHypsilophodon
f, N, d, df+1:UF;JointConventionalFennecfox
f, N, d, df+1, 3;SourPaleDotterel
f, N, d, df+1, 4;AbandonedNiceAsianwaterbuffalo
f, N, d, df+2;DisastrousGenuineAlpineroadguidetigerbeetle
f, N, d, df:2;ValidAnxiousCero
f, N, d, df+3;DimpledSaltyGnatcatcher
f, N, d, DF+3;DimpledSaltyGnatcatcher
f, N, d, df+4, 4;TartSickAdeliepenguin
SS+2;WhiteHandmadeBirdofparadise
SS+2:U;BouncyPessimisticAgouti
WS+1, 2;MatureWillingEeve
WS+1, 4;MarriedThriftyBaldeagle
WS+2;OrnateElementaryIndianrockpython
WS+4, 4;AstonishingNauticalIndianelephant
While enemy is down... d+1+2;ConstantOrnateBobcat
3+4;DetailedUnequaledAmericanalligator
FLY 1;CleverMixedAffenpinscher
FLY 3;BlueElaborateAiredale
Time with enemy attack... b+1+3 (or 2+4);HarshInsidiousGordonsetter
d+1;IdealisticBouncyLiger
in rage b+1+2;PastelExaltedHarvestmen
in rage f, N, d, df+4, 3+4;GleamingIllfatedChinchilla
uf+1+2;HideousInsecureAmurratsnake
b+1+4;GregariousPlasticHaddock
B+1+4;GregariousPlasticHaddock
ub+1+2;LateGleamingHagfish
FLY 2;WarlikeOrganicKudu
FLY 1+2;AgedOpulentEthiopianwolf
FLY f+1+2;HelplessNaughtyAmurratsnake
Approach enemy... 1+3;TastyPointlessDikkops
Approach enemy... 2+4;BlackandwhiteSeparateIndochinahogdeer
Approach enemy... df+2+3;UnfoldedThriftyFox
Approach enemy... f+1+3;TastyPointlessDikkops
Approach enemy... f+2+4;BlackandwhiteSeparateIndochinahogdeer
Approach enemy... f, b, db, d, df, F+1+2;EasyAlarmingCivet
Approach enemy... f, F+1+2;TintedOfficialGander
Approach enemy... qcb+1+3;MeatyOffensiveAmericanindianhorse
Approach from left side... 1+3 (or 2+4);GorgeousThatElectriceel
Approach from right side... 1+3 (or 2+4);MealyGiftedIndianskimmer
Approach from behind... 1+3 (or 2+4);YellowishLegitimateEarwig
FC+df+1+2;PerfectBlackandwhiteGallowaycow
