template;https://gfycat.com/ifr/{url}
1, 2;ReasonableWelloffAfricanwilddog
3, 4;GraciousComplexHagfish
3~4, 4;DisgustingBiodegradableKiskadee
3~4, 3+4;KlutzyCelebratedBighornedsheep
4~3;GloomyReflectingAfricanharrierhawk
4~3, 4;BossyShabbyAfricanclawedfrog
1+2;ReliableNastyLeafwing
1+2~3;DecimalImpishDwarfmongoose
3+4;ThisBaggyBuffalo
u+3;SphericalFearlessGnatcatcher
u+3+4;RequiredAliveInexpectatumpleco
uf+3;OpenBlissfulIcelandgull
uf+3, 3;SadDazzlingFlyingfox
uf+4;BitesizedEuphoricHawk
uf+1+2;SelfishFavorableGiantschnauzer
uf+3+4;ThirdWhoppingGibbon
f+2, 1, 4;AfraidRaggedAlpinegoat
f+4;PerfectEnormousChihuahua
f+4, 3, 3+4;AfraidIllinformedKentrosaurus
f+3+4;GlisteningClassicFanworms
f, F+2, 3;RigidPartialGlassfrog
f, F+3;JointLikableHarvestmen
df+1;EvergreenBeautifulHind
df+1, 1;MeatyNippyGenet
df+2;PowerfulTinyFruitfly
df+4;RelievedBlondAxisdeer
df+3+4;EverlastingImpressiveBlobfish
d+3~4;ExemplaryFarDuiker
d+4, 3;SizzlingGoldenCivet
db+2, 3;SmartImmenseGoldfinch
db+3;IllegalMaleHumpbackwhale
db+3, 3;PleasingSmartAplomadofalcon
db+3, 4;PowerlessInfamousChanticleer
db+3, db+4;EarnestWarlikeAgama
TC 4f;UnconsciousUnfoldedHedgehog
db+3, db+4, 1+2, 1+2;DimScaryAfricanaugurbuzzard
db+4, 4, 4;DiligentUnrealisticAntelope
db+1+2;RawFlippantGeese
db+3+4, 4, 3;VigilantAccurateAtlanticsharpnosepuffer
b+1, 4;ThreadbareAgileIndigobunting
b+2, 4;UnsteadySnoopyDarklingbeetle
b+3;ShamefulRecentAdmiralbutterfly
b+3, f;CleverAmusedBirdofparadise
b+4;HeartfeltSimpleCicada
b+4, 3;EarlyEminentDingo
b+4, 4;NimbleNippyHydra
b+4, 4, 3+4;GleefulPalatableAmurstarfish
b+1+2 (or b+1~1+2) (or b+2+1~2);MenacingElementaryAnemonecrab
b, B+2+3, b, b;ConcreteMiserlyCuscus
BT 3+4;BronzeHealthyAmericancrocodile
FC+db+4;GlumClutteredBlackfly
FC+1+2, 1+2;ThornyUnhappyIrishdraughthorse
FC+3+4;ImperturbableFatAidi
SS+2;PowerlessDimpledChital
SS+4;EnormousAdoredEnglishsetter
SS+4, N, 3;WellwornFearlessGuineapig
SS+4~3;DependableCarelessIberianlynx
SS+4, 3+4;VibrantKnobbyAmericanratsnake
SS+1+4;BigheartedSpecificAmericanavocet
SS+3+4;ComfortableEarnestGalapagossealion
SS+3+4, 3+4, 3+4, uf+3+4;HideousElasticDoe
WS+1, 4;DenseElatedArgusfish
WS+2;RegalHarmfulBarbet
WS+3;ObedientBogusEthiopianwolf
WS+4;FalseAltruisticBlackpanther
u+4;UnfoldedImmaterialFlamingo
1, 2, 4;CourteousQuaintBonobo
u+4, 4;DishonestAmbitiousHoneybee
1, 2, F;ThoughtfulVelvetyElkhound
1, 3;EnlightenedMadeupEland
3~4, B;EnragedLightheartedBlacknorwegianelkhound
3+4, 3;ImpoliteWhimsicalCygnet
f+3;FewInformalHerculesbeetle
f+2, 3;HighlevelReflectingEmperorshrimp
f+4, B;DisgustingDelayedEwe
f, F+3, B;HelplessIdolizedAustralianfurseal
f, F+3, B+3+4;CheeryPlaintiveDiplodocus
f, F+4;HighlevelPeriodicDeinonychus
df+1, F;ZestyCreamyDuckling
df+3;WaterloggedBronzeAmericanblackvulture
db+3, B;PalatableIndelibleBassethound
db+4, b+4;GiddyLoathsomeJanenschia
b+1, 4, B;ImpressionableOptimisticDwarfrabbit
FC+3+4, B;ShorttermNauticalIbadanmalimbe
FC+df+1+2;EasySmoggyDodo
SS+3, B;CourageousSleepyIrishredandwhitesetter
SS+3, N, B;ElatedTintedBrahmancow
SS+3, N, B+3+4;GraciousThickDuiker
SS+4, B;LonelyImpoliteHarborporpoise
SS+4~3, B;JampackedCautiousHuia
While down (facing up) 1+2;SinfulReliableHoverfly
RLX 1, 3;CanineBelovedBighornedsheep
RLX 4~3;IllinformedNimbleKangaroo
RLX 3+4, 3;AnyInfiniteLeveret
RLX f+3+4, B;ArcticGrandioseDove
RLX b+1+2;TerrificMenacingBrontosaurus
HSP 2;CautiousNaughtyBarnowl
HSP 2, 4;PeriodicFeminineFlatcoatretriever
HSP 4;LightLegitimateAuklet
HSP 3+4;BitesizedFamousAssassinbug
HSP f+1;SociableCheeryDuck
HSP f+3+4;ArcticGrandioseDove
HSP D;GivingNaughtyKoodoo
HSP D+3+4;DeadMeaslyBaleenwhale
HSP u, N (or d, N);ElasticSmartBirdofparadise
HSP u, N, 3 (or u, N, 4);CaringJollyAmericanwarmblood
HSP u+3 (or u+4);LoneMagnificentAlaskanhusky
d+3+4;VacantDismalBittern
1, 3, D;UnhappyGargantuanAyeaye
3~4;PossibleGrandGermanshepherd
3~4, 3;MagnificentDimwittedIndianjackal
3~4, 3+4, D;KlutzyCelebratedBighornedsheep
