template;https://gfycat.com/ifr/{url}
1, 1;GrayDemandingAttwatersprairiechicken
1, 2, 2;DetailedPlayfulEsok
1, 3;WickedHandyJaguar
2, 4, 1;ScarceGranularFurseal
2~1, 1 (or SS+2~1, 1);ActualIndolentAustralianshelduck
3~4, 3 (or SS+3~4, 3);FinishedColorfulDuckbillplatypus
4~3;UnnaturalImpressiveIncatern
1+2;PalatableHappygoluckyHarvestmen
1+4 (or qcf+1+4);RareImpassionedFirefly
u+2;GreedySophisticatedAfricanbushviper
uf+1;IdioticHeartfeltGrizzlybear
uf+2;EverlastingFickleCobra
uf+3;HappygoluckyParallelBobolink
uf+4;GrayImpartialIndianabat
uf+3+4, 3;FeminineExcitableGonolek
f+2, 1, 2;SpotlessWeightyAoudad
f+3, 4;AnimatedShinyIrishwaterspaniel
f+4, 3;RepentantThunderousIntermediateegret
f+4, 4;EasygoingMerryIndianabat
f+1+2;UncomfortableFeminineAzurevasesponge
f, F+2;LinedWelloffAztecant
f, F+3;YellowishValuableAtlanticridleyturtle
f, F+4, 3;GloriousWhirlwindGalapagosdove
f, f, f+3 (or WR+3);WelcomeSharpArrowcrab
df+2, 2;BlackUntidyAntarcticgiantpetrel
df+3 (or qcf, df+3);PoisedPlushBoilweevil
df+4;AltruisticJoyfulAnole
df+4, 2, 1+2;HighGiganticEnglishpointer
df+3+4;SparklingDaringBernesemountaindog
d+2;SelfishFrequentAnchovy
d+4, 1+2;AcclaimedSillyGrayreefshark
db+1, 2;ScientificShoddyDogwoodclubgall
db+1, 4;VeneratedUncomfortableBluegill
db+2, 2, 2;CheapIncredibleGypsymoth
db+3 (or qcf, db+3);TimelyVigorousGuanaco
db+4;FavorableKlutzyCicada
db+1+2, 2;KaleidoscopicJampackedBeardeddragon
b+1;PepperyPreciousKitfox
b, f+1;SingleCreativeLeveret
b+2, 3, 4, 2;SoulfulSpryInsect
b+3, 3;MemorableHandyAmericanlobster
b+4;AltruisticImpossibleCockatiel
b+1+2;IncompleteAccurateImpala
ub+2;InbornAllImago
FC+df+1;ParallelLimitedIcelandicsheepdog
FC+df+2;ComplicatedHideousAmoeba
SS+4 (close);FavorableKlutzyCicada
SS+1+2;PortlyUnfitBass
WS+1, 2, 1;AbleConfusedDodobird
WS+2;HotSandyHatchetfish
WS+3 (or qcf+3);AnimatedGraciousDesertpupfish
WS+4 (or qcf+4);JoyfulEmbarrassedAmazonparrot
WS+1+2;FemaleUnacceptableAgama
While down (facing up) 3+4;EllipticalGracefulChevrotain
Opponent down d+3+4;SilverGleamingCapeghostfrog
b+3+4;UnnaturalVacantCamel
KNP 1;BlissfulMinorAchillestang
KNP 2;DevotedTenseLark
KNP 3;UnhealthyUnhappyFrogmouth
KNP 4, 3+4;HastyHandyDuiker
qcf;RealUnequaledAmericanlobster
qcf+1;WelcomeRegularHuia
qcf+2;FluidSplendidHeron
qcf+1+2;IdolizedViciousFlyinglemur
f+3+4 (or qcf+3+4);UniformUnsightlyGordonsetter
STC 1;ContentSecondHerring
STC 2;NimbleQuarrelsomeBaldeagle
STC 3;EminentEntireEquestrian
STC 4;RemorsefulFaintIbisbill
STC 1+2, 1, 2;HonoredAdorableJunebug
B+3~4;EnviousVeneratedHapuku
3, 3, 4;CompleteFarflungEarthworm
SS+2;PlaintiveThunderousAdeliepenguin
SS+3, 2;AppropriateMediocreFritillarybutterfly
BT 1;TameJollyBrahmanbull
BT 2, 2;IdenticalEveryAnhinga
BT d+3 (close);ThoroughGentleGoose
BT 1+2;SizzlingOrangeGander
f, F+1+2;DearEducatedCollardlizard
in rage d+1+2;LiveOddballHornedviper
in rage b+1+2*;LateMiniatureJaguar
ub+1+2;FewCarelessBushsqueaker
Approach enemy... 1+3;KlutzyBlackandwhiteAmericanindianhorse
Approach enemy... 2+4;HarshSickDingo
Approach enemy... f+1+3;KlutzyBlackandwhiteAmericanindianhorse
Approach enemy... f+2+4;HarshSickDingo
Approach enemy... df+1+2;DeficientUnrealisticAmericanmarten
Approach from left side... 1+3 (or 2+4);LiveReadyCavy
Approach from right side... 1+3 (or 2+4);ImprobableOddballAquaticleech
Approach from behind... 1+3 (or 2+4);TameSoulfulHairstreakbutterfly
BT 1+4 (or 2+3);RelievedAliveEyelashpitviper
1+3+4;PlasticOfficialDoctorfish
Time with enemy punch... b+1+3 (or b+2+4);AnxiousFrighteningAgouti
