template;https://gfycat.com/ifr/{url}
1, 2;FriendlyParallelCero
2, 1;UnacceptablePertinentAlligatorsnappingturtle
2, 1, 3+4;GoodnaturedDaringFlyingfox
3;DeepAgedGiantschnauzer
4;DistantInfatuatedArmyant
uf+1;ImpartialMeekDouglasfirbarkbeetle
uf+3;AlertSecondaryAsianlion
uf+1+2;BriskCompetentBluetickcoonhound
uf+3+4;SickAmpleBlacklab
f+2, 1, 1;ImaginaryPoliteAmericanindianhorse
f+2, f+1;UnrealisticInfamousAtlanticblackgoby
f+2, d+1;AromaticBoldDunlin
f+3, 2;VerifiableHarmfulHog
f+4;HairyGrandioseIberianlynx
f+1+2;DemandingGrizzledDragon
CH f+1+2;MetallicMajesticKawala
f, F+2;IndolentCrispIsopod
f, F+3;YawningGentleInvisiblerail
f, F+4, 2;EnlightenedSkeletalLeech
f, F+1+2, 1+2;ZestyApprehensiveAsianlion
f, f, f+2 (or WR+2);FantasticWebbedFrigatebird
df+1;WellwornPleasingHumpbackwhale
df+2, 1;ThisFlusteredCommongonolek
df+3, 1;FriendlySingleHairstreak
df+3, 1+2, 1+2;LinearAgedLhasaapso
df+4, 1+2;WindingJoyousCattle
df+1+2, 1+2;LimpingThunderousKiskadee
d+2;SecondPowerlessEasternglasslizard
d+3, 2;ObedientShowyAtlanticbluetang
db+2;MistyGlossyIberianlynx
db+3;BlushingThinAndeancat
db+3, 2;PowerlessPlayfulJaeger
db+4;SplendidCaringArrowworm
db+1+2;SlightThankfulAntbear
b+1;WeeUniqueAmericanavocet
b+2;ClassicArcticEarthworm
b+3;ClosedQualifiedAfricanelephant
b+4;LightGrandIndianpalmsquirrel
b+1+2;VagueAgitatedChameleon
FC+df+2;WindingInexperiencedCoypu
WS+1;ReasonableImperfectAmurstarfish
WS+2, 3;HardtofindFalseBaleenwhale
WS+2, 4;CostlyYawningHairstreak
WS+3;IdioticBaggyGerenuk
WS+4;UnsightlyFamousCentipede
SS+2;IdioticFatherlyBurro
While down (facing down) 2;ImperfectBigAsiantrumpetfish
While down (facing down) 1+2;LeanUnhealthyBongo
f+3+4;DisastrousSadLamprey
f+3, 2, F;AthleticIllinformedCaracal
f+4, F;OpenMarvelousIndianskimmer
b+2, F;TiredDetailedBlackandtancoonhound
WS+2, 4, F;EasygoingNegligibleDevilfish
GOL (After Two Steps) 1;UnkemptImpoliteDobermanpinscher
GOL (After Two Steps) 1+2;DrearyEthicalArmadillo
2, 1, 3+4;GoodnaturedDaringFlyingfox
f+2, d+1, 3+4;SpeedyThreadbareIrishwolfhound
SG ub;GrippingFlimsyFlatcoatretriever
SG 1;ThoseReliableAlligatorgar
SG 2;HappygoluckyOblongHornedviper
d+1+2;WhoppingShrillImpala
d+3+4;EverlastingVapidAruanas
in rage 1+2;WhiteWealthyAuk
in rage GOL*;HospitableEdibleBullfrog
GOL (After Two Steps) 2;TestyBlindDiamondbackrattlesnake
Approach enemy... 1+3;GorgeousAgedIslandwhistler
Approach enemy... 2+4;DownrightCelebratedBlackrussianterrier
Approach enemy... f+1+3;GorgeousAgedIslandwhistler
Approach enemy... f+2+4;DownrightCelebratedBlackrussianterrier
Approach enemy... hcb, f+1+2 (or SG 1+2);ThunderousEdibleFairybluebird
Approach from left side... 1+3 (or 2+4);HilariousKlutzyDunlin
Approach from right side... 1+3 (or 2+4);ChubbyWaterloggedFlies
Approach from behind... 1+3 (or 2+4);TintedUnsungAlbatross
Approach mid-air enemy... 1+3 (or 2+4);TerrificFrenchBlacklab
