Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage d+1+2;m;55;20 pc8~17;-22;KND;KND;Rage art
in rage b+2, 1+2;m, h;20,21;20 8~17;+9~+10s;JG;JG;Rage drive
in rage 1, b+2, 1+2;h, m, h;7, 20,21;10;+9~+10s;JG;JG;Rage drive
1;h;7;10;+1;+8;+8;
1, 1;h, h;7,6;10;-1;+8;+8;
1, 1, 2;h, h, m;7,6,12;10;-17;KND;KND;
1, 2;h, h;7,8;10;-1;+7;+7;
1, 2, 2;h, h, h;7,8,12;10;-12;+4;+4;
1, 2, 2~1+2;h, h, m;7,8,25;10;-6~-5;KND;KND;
1, 2, 2~1+2 u or d;h, h, (Special);7,8;10;-16;-9;-9;
1, 2, 4;h, h, h;7,8,21;10;-9;KND;CS;
1, b+2;h, m;7,21;10;-2;+8;+8;
1, b+2, 1;h, m, m;7,21,20;ar36~;-15~-11;Launch;Launch;
1, b+2, 4;h, m, m (TJ);7,21,30;js17~;+5;KND;KND;
2;h;10;10;0;+9;+9;
2, 2;h, h;10,18;10;-13;-2;-2;
2, 2~1+2;h, m;10,25;10;-6~-5;KND;KND;
2, 2~1+2 u or d;h, (Special);10;10;-14;-5;-5;
3;h;15;14;-10;+1;+1;
3, 4;h, m;15,20;14;-14~-13;+3~+4;CS;
4;h;21;16;-9;KND;CS;
4~3 WS+4~3;m (TJ);25;35~37d (36~) js10~;-11~-9;KND;KND;
1+2;m;25;12~13;-10~-9;KND;KND;
f+2;h;13;15~16;-9~-8;+2~+3;+2~+3;
f+2, 3;h, m;13,20;15~16;-2~0;KND;CS;
f+2~1+2;m;25;16(17~);-6~-5;KND;KND;
f+2~1+2 u or d;(Special);;16(17~);;;;
f+3;m;20;18~20;-2~0;KND;CS;
f+4;m;20;19~20;+4~+5s;+7~+8s (+13~+14);KND;
f+1+2;h;15;12~13;-14~-13;KND;KND;
d/f+1;m;10;13~14;-1~0;+9~+10;+9~+10;
d/f+1, 1;m, h;10,8;13~14;-2;+4;+4;
d/f+1, 2;m, m;10,24;13~14;-13~-12s;KND;KND;
d/f+2;m;14;15~16;-7~-6;+4~+5;Launch (JG?);
d/f+4;m;15;12;-6;+5;+5;
d/f+1+2;m;25;24~25 pc8~23;-14~-13;KND;KND;Power crush
d+1;m;16;16~17;-9~-8;+2~+3;+2~+3;
d+1, D;m;16;16~17s;-9~-8;+2~+3;+2~+3;
d+1, 2;m, m;16,17;16~15;-9~-8;+6~+7;KND;
d+3 or d/f+3+4;m;25;22~23;-7~-6s;KND;KND;
d+1+4;!;50;60;KND;KND;KND;
d+2+3;(Special)!;0;63;-3;-3(KND);-3;
d/b+2;l (TC);25;23~25s cs8~;-18~-16;+6~+8s;+6~+8s;
d/b+1+2;mm?;10,20;21~22, 38~39;-13~-12;+5~+6;+5~+6;
b+1;h;14;15~16;-11~-10;-5~-4;-5~-4;Homing
b+1, 2;h, h;14,20;15~16;-9;+15kg;CS;Tail spin
b+1, 2~1+2;h, m;14,25;15~16;-6~-5;KND;KND;
b+1, 2~1+2 u or d;h, (Special);14;15~16;-19~-18;-13~-12;-13~-12;
b+2;m;20;22~23;-2~-1;KND;KND;Wall bounce
b+3;h;14;14~15;-4~-2;+7~+9;+7~+9;
b+3,2;h,h;14;14~15;-1;+8;Launch;
b+3, 3;h, m;14,25;14~16;-12~-8s;KND;KND;
b+4;m;20;18~20;-9~-7;KND;Launch;Homing, Tail spin
b+1+2;m;17;19~20;-9~-8;+8~+9;+8~+9;
b+1+2, 1+2;m, m;18,24;19~20;-13;KND;KND;
u/f+3;m (TJ);17;28~29 js9~;-10~-9;KND;KND;
u/f+3, 4;m (TJ), m (TJ);17,20;js1~;+3~+4;KND;KND;Tail spin
u/f+4;m (TJ);25;24~27 js9~;-5~-2;KND;KND;Tail spin
f, F+2;m;22;19~20 (20~);-16~-15;Launch;Launch;
f, F+3;m;25;20~22 (21~);-3~-1s;KND;KND;
b, f+2;m;12;15~16 (15~);-7~-6;+4~+5;+4~+5;
