template;https://gfycat.com/ifr/{url}
1, 1, 3, 3;EachPleasantJackal
1, 2;AgonizingFirsthandBagworm
1, 2, f+3;AchingIlliterateBeardedcollie
1, 2, f+4 (close);WaryFelineKagu
1, 2, f+4 (far);WaryFelineKagu
2, f+3;ElderlyOrdinaryBluejay
2, f+4 (close);PepperyDefenselessHairstreakbutterfly
2, f+4 (far);PepperyDefenselessHairstreakbutterfly
3, 3, 3;DarlingVapidAmericancicada
3, 3, f+4;SelfishSleepyChameleon
3~4;TameGratefulArcticseal
4, 3;RashTintedGrayling
4, 4, 3;UnrealisticFlawedFlea
4, 4, 4, 3;DecimalConsciousAiredaleterrier
u+3+4;CautiousSillyGalapagosalbatross
uf+2;HairyFittingCony
uf+3, 4, 3;BoldNewAmericanredsquirrel
uf+3+4, 4;VigorousImmediateBlesbok
f+1+2;PopularBothArgentinehornedfrog
f, f, f+3 (or WR+3);RevolvingSecondaryCrocodile
f, N, d, df+4;ImmediateSpiritedItaliangreyhound
df+3+4;HelplessTimelyIberianmole
d+4, 4;GreenFlawedAmethystgemclam
db+3;UnacceptableIgnorantBobcat
db+4, 4;SoftWildHypsilophodon
db+3+4, b, b;EnchantingSentimentalGiraffe
b+1;ConsiderateScentedHousefly
b+2;YellowishUnrealisticHarrier
b+3;SpotlessClumsyGnat
ub+4;CompetentGenerousAfricanjacana
WS+3;ThreadbareElasticIndianpalmsquirrel
f+3;ElasticSilverBlobfish
1, 2, 3;DecimalRealisticDunlin
2, 3;CraftyEdibleIchthyosaurs
3, 3, F;DizzyJoyousGlowworm
u+3;FinishedSomberDungenesscrab
df+1, 3;DefinitiveUnawareElephantseal
ub+3, 3;GlaringNippyBlackmamba
f, N, d, df+3;NewEqualDodobird
SS+3, 3;FreshAmusedAldabratortoise
 LFS 3, F;WearyDetailedAxolotl
RFS 3;GraciousSociableFalcon
RFF f+3;LegitimateShoddyCoypu
 LFS 3+4;CrispCleverGalapagosdove
LFS 1;UnsteadyEnchantingGerbil
  LFS~n~3;WarlikeConstantHen
LFS 3, 3;OfficialPlaintiveIndianrhinoceros
 LFS 3, f+4;SimplisticFlimsyAgama
LFS 1+4, b, b;WelllitPlaintiveBedbug
 LFS f+3;ExcitableActiveBabirusa
 LFS b+1;ConsiderateScentedHousefly
 LFS d+4;CelebratedAnxiousInchworm
 LFS uf+3, 4, 3;VioletAngelicGermanshorthairedpointer
 LFS uf+4;CalculatingFatalIcelandicsheepdog
 LFS uf+3+4, 4;SmugFemaleBandicoot
f, N, 4;CircularGranularChick
1, 2, 4;SizzlingRegularHound
2, 4;ClassicOrnateAdouri
3, 3, 4;SlightThoroughKookaburra
4, 4;HelplessGiganticCats
4, 4, 4;FocusedPastelBantamrooster
u+4;BeautifulPlainEkaltadeta
f+4;CreativeClutteredBuffalo
d+3, 4;KindPlushAfricanclawedfrog
db+4, F;DishonestSizzlingIcelandgull
ub+3, 4;SilverGoodCuckoo
 LFS 3, 4;CrispCleverGalapagosdove
