Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;9;10;0;+9;+9;
3;h;19;14;-7;+4;+4;
4;h;18;13~14;-9~-8;+16~+17kg;KND;Homing, Tail spin
f+1;h;7;10;+1;+8;+8;
f+2;h;12;16~17;-5~-4;+4~+5;+4~+5;
f+3;m;16;12;-8;+3;+3;
f+4;m;21;16~17;-8~-7;+4~+5;KND;
d/f+1;m;10;13~14;-3~-2;+4~+5;+6~+7;
d/f+2;m;15;15~16;-7~-6;+4~+5a;Launch;
d/f+3;m;12;14;-16;-5;-5;
d/f+4;m;22;20~21;-3~-2;+8~+9s;Launch;
d+1;m;24;21;-7;KND;KND;Wall bounce
d+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d+3;l;7;15~16;-13~-12;-2~-1;-2~-1;
d+4;l (TC);13;16~17 cs6~;-12~-11;-1~0;-1~0;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;m;12;16;-10;-4;FS(+3) 16;
d/b+3;h (TC);28;19~21 cs4~;-13~-11;KND;KND;Tail spin
d/b+4;l;18;20~21;-13~-12;+3~+4;KND;
b+1 (to CDS);(Special) (TC)(CDS);;20~21;;;;
b+2;m;12;15~16;-11~-10;0~+1;0~+1;
b+3;m;17;16;-6;+5;CS;
b+4;m;21;17~18;-7~-6;KND;KND;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/f+2;m;18;15~16;-7~-6;+6~+7;KND;
u/b+3;m (TJ);13;22~23 js9~;-11~-10;+4~+5;CS;
u or u/f+3;m (TJ);17;22~23 js9~;-9~-8;+6~+7;CS (10~+11);
u/b+4;m (TJ);11;15~17 js9~;-20~-18;-8~-6;-8~-6;
u+4;m (TJ);15;15~17 js9~;-13~-11;KND;Launch (JG?);
u/f+4;m (TJ);13;15~17 js9~;-13~-11;Launch (JG?);Launch (JG?);
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;10;13~14;-6~-5;+5~+6;+5~+6;
WS+2;m;14;14~15;-12~-11;Launch (JG?);Launch (JG?);
WS+3;m;20;16~18;-9~-7;+10~+12kg;Launch;Homing, Tail spin
WS+4;m;16;11~12;-3~-2;+8~+9;+8~+9;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;9;10(11~);0;+9;+9;
SS+3;h;19;14(15~);-7;+4;+4;
SS+4;h;18;13~14 (14~);-9~-8;+16~+17kg;CS;Homing, Tail spin
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
