template;https://gfycat.com/ifr/{url}
1, 2;ZanyMealyGossamerwingedbutterfly
1, 2, 3;PeriodicConsiderateGemsbuck
1, 2, 4;FearfulDopeyHoneyeater
1, 3;CelebratedBlankGavial
1, 3, 2, 1, 4;IgnorantConsiderateIrishsetter
1, 3;CelebratedBlankGavial
1, 3~3, df+3;FriendlySaneKakarikis
1, d+3, d+4;WarpedBlackAllosaurus
2, 1, 4;SelfreliantSelfreliantAtlanticridleyturtle
2, 1, 4~4;LankyDecentBarracuda
2, 4;ConfusedAppropriateEquine
3, 1, 4;BabyishShrillGrassspider
4;BadMiserableEasteuropeanshepherd
4~3 (or WS+4~3);FriendlyJealousIcelandichorse
1+2;ZanyMealyGossamerwingedbutterfly
uf+2;FeistyCheeryChital
u or uf+3;ThankfulActiveHousefly
uf+4;AnnualRewardingIchneumonfly
f+3;HopefulYellowishAmericantoad
f+3~3, df+3;MelodicEagerAdouri
f+4;RashDarkChupacabra
f, F+2;CoolInformalBird
f, F+3;YawningWildCamel
f, F+3, 1, 3, 2, 1, 4;ActiveThirstyAmericancrow
f, F+4;GlossyScaredConch
f, N, d, DF+1;AdorablePleasingIraniangroundjay
f, N, d, df+2;WellinformedAlienatedIrishterrier
f, N, d, df:2;WarlikeLawfulBushsqueaker
f, N, d, df+4, 3+4;FalseNeighboringAfricanbushviper
df+1, 4;ThreadbareFantasticBernesemountaindog
df+1, 4~4;SparklingForthrightAsianelephant
df+3, 3;SlowFrigidApe
df+4;PastelMetallicCero
df+1+2;EthicalShadyBuffalo
d+1;IdleAcclaimedAlaskanhusky
d+3, 3;LastClosedHornbill
d+4;HarmfulDifficultLeafhopper
d+3+4;DeficientEmptyCockatoo
db+2, 2, 3;DemandingKeenBullmastiff
db+2, 3;MixedColorfulIvorybackedwoodswallow
db+3;SlimyUnkemptAnole
db+4;HopefulFreeFugu
db+1+2;SkinnySereneHornshark
b+2, 1;ApprehensiveGranularAtlanticblackgoby
b+3;WelloffRashBassethound
b+4;GranularBitterAmericancicada
b, f+2, 1, 2;ShrillGrossIcelandichorse
b, f+2, 3;EnviousWellgroomedAntbear
ub+1+2, b, b;ScornfulWeeklyHypacrosaurus
WS+1, 2;KindBlissfulGalapagospenguin
WS+2;BlushingLikelyDuiker
WS+3;AnnualHeartyAchillestang
While enemy is down... d+2;MeaslyMindlessBaiji
d+1+2;ChubbyPolishedGermanspitz
b+1;ZanyWeepyCommabutterfly
ZEN (or CDS) 1, 2;LinearGeneralDrake
ZEN (or CDS) 2;ShyShoddyDinosaur
ZEN (or CDS) 3;WellgroomedFrenchAmericankestrel
ZEN (or CDS) 4;MarriedQuarrelsomeAfricanaugurbuzzard
ZEN (or CDS) 1+2;LegitimateEssentialIndochinahogdeer
ZEN (or CDS) 3+4;EminentChubbyAlligatorgar
3+4;ChillyDisloyalDuckling
in rage b+1+2;BlandFineBorzoi
in rage f, N, d, df+1+2, 3, 1;DigitalKeenGhostshrimp
ub+1+2 (b, b to cancel);WellwornOrnateAfricanporcupine
Approach enemy... 1+3;AmusedAggravatingConey
Approach enemy... 2+4;BlandMixedBobwhite
Approach enemy... uf+1+2;TemptingExcitableAmberpenshell
Approach enemy... f+1+3;AmusedAggravatingConey
Approach enemy... f+2+4;BlandMixedBobwhite
Approach enemy... df+2+3;FamousTastyHarrierhawk
Approach enemy... qcb+1+3;NastyAltruisticAngora
Approach from left side... 1+3 (or 2+4);FlickeringImpressiveHarvestmouse
Approach from right side...  1+3 (or 2+4);WhirlwindGentleElephantbeetle
Approach from behind... 1+3 (or f+1+3);RightVictoriousAlaskanhusky
1+3+4;EasyHappyHogget
Time with enemy attack... b+1+3 (or b+2+4);SneakyArcticAppaloosa
