template;https://gfycat.com/ifr/{url}
1, 1, 1;ShamefulFastBlueshark
1, 1, 2;OblongFloweryFruitfly
1, 2, 1, 1;ClearcutDelightfulCottontail
4, 4, 1;FixedSeriousDeinonychus
4, 4, 1~2;RegularAngryAsianlion
4, 4, 4;FastPointedGazelle
4, 4, d+4;PointlessThisAkitainu
4~2, 1;PartialWealthyAtlanticridleyturtle
1+2, 4, 4;ShamelessDetailedDoe
1+2, 4, b, f+1+2;WelloffConventionalCatbird
1+4;BestForsakenJuliabutterfly
1+4, D;BestForsakenJuliabutterfly
uf+1;InsidiousIgnorantKob
uf+4, 3;IgnorantAgitatedDwarfmongoose
uf+4, 3, 1;SinglePlumpGlowworm
uf+3+4;WeakAdeptAzurevase
f+2, 1, 2;ObedientNegativeGadwall
f+2, 4;UnsightlyPrestigiousAppaloosa
f+3~1;JauntyFirmFinch
f+4, 1;PinkObedientCobra
f, F+1;SecondhandMagnificentJoey
f, F+1, 4;WaryBruisedFox
f, F+2;QuerulousZestyBrownbutterfly
f, F+3;NiftyGoodHammerkop
f, F+1+2;OrneryOnlyHamadryas
f, f, f+1 (or WR+1);SoreMinorBird
f, f, f+2, 1 (or WR+2, 1);AggressiveSlightEelelephant
f, f, f+3 (or WR+3);ThirstySharpGemsbok
df+1;EasyCheerfulHypacrosaurus
df+2, 1;SlipperyAnimatedArgentinehornedfrog
df+2, 4;RaggedPossibleLeopardseal
df+3, 1+2;ImprobableSeparateBovine
df+4, 2, 1;IllfatedEdibleAmericanratsnake
df+4, 2, 3;WastefulClosedCero
df+3+4;FluffyLankyGrosbeak
d+2, 3 (or FC+2, 3);CommonImpossibleKilldeer
d+3;EachLiquidClownanemonefish
d+4, 1;SplendidCalculatingBrownbutterfly
d+4, 1~2;BossyShortAndeancat
d+4, 4;FarawayVapidCaecilian
d+4, d+4;BriskBaggyDromedary
d+1+2;BronzeUnfinishedEasternglasslizard
d, DF+1, 2;CautiousFlashyGalapagostortoise
qcf+2;NimbleWellmadeAtlanticsharpnosepuffer
db+1;AptLoneHalcyon
db+2, 1;PertinentSafeConure
db+4, 1;FlippantCompleteKronosaurus
b+1;TeemingImaginativeDogwoodtwigborer
b+2, 3, 1+2;DistantLawfulGossamerwingedbutterfly
b+3, 4;CooperativeWanLeafhopper
b+4;LawfulUnrealisticAmericanwarmblood
b+1+2;ShamelessNextArcticseal
FC+df+2;OrnateEveryBarbet
FC+df+4, 3;SizzlingAnnualBronco
SS+2;UnfoldedNextCanadagoose
SS+3;ExhaustedFineDegu
SS+4;UnimportantTangibleLarva
SS+3+4;OptimalEnragedGiantschnauzer
WS+1;HappygoluckyBareCrab
WS+1~2;ScentedGraveGiantschnauzer
WS+2, 1;SneakyRealisticAltiplanochinchillamouse
WS+2, 2;FortunateWellwornGuineafowl
WS+2, 2, 1+2;SardonicDifferentFrogmouth
WS+3;JubilantFlakyGrasshopper
WS+4;HoarseCreativeFlatcoatretriever
2:B (only during hit from front);GlassCelebratedDiamondbackrattlesnake
(During Spin Behind) 1+2;MeagerAdmiredHatchetfish
f+3;MindlessHilariousIcefish
f+2, 1, 3;DismalFlamboyantAtlanticspadefish
df+2, 3;KaleidoscopicLastingLeech
(Duriing Swift Step) 2;AchingCoarseAmericangoldfinch
(Duriing Swift Step) 4;SaltyFirmAsianwaterbuffalo
(Duriing Swift Step) Approach enemy... 1+2;FaroffSerpentineArachnid
(Duriing Swift Step) uf+3+4;FluffyLankyGrosbeak
1, 2, 3 (or 4);PlumpBlushingHummingbird
3+4 (or u+3+4);ActiveSpiffyChihuahua
d, DF+1, 3 (or 4);FlusteredUnlawfulCockerspaniel
WS+2, 3 (or 4);AnimatedImpartialKudu
CES 1;WickedDisastrousChimneyswift
CES 2;HighAmpleDormouse
CES 3, 1+2;TimelyChillyFlyingfox
CES 4, 1+2;PlainDeepGharial
f+1+2;SophisticatedGraveIraniangroundjay
in rage df+1+2;PitifulConsiderateArabianwildcat
in rage f+2+3;RaggedFrigidFlatfish
in rage f+2+3 (second hit only);RaggedFrigidFlatfish
f+1+4 (B to cancel);FrenchIndelibleKiwi
Approach enemy... 1+3;NextDeadJunebug
Approach enemy... 2+4;DependableCarefreeJapanesebeetle
Approach enemy... f+1+3;NextDeadJunebug
Approach enemy... f+2+4;DependableCarefreeJapanesebeetle
Approach enemy... uf+1+2;AdorableTintedHawk
Approach enemy... df+1+3;WhoppingWhiteHerring
Approach enemy... d, db, b, f+2;ElderlyLividIzuthrush
Approach enemy... b+2+4;GiddySameIbizanhound
While crouching... db, d, db+1+2;EminentSlowAyeaye
Approach from left side... 1+3 (or 2+4);LeftWelldocumentedGrouse
Approach from right side... 1+3 (or 2+4);KeyShowyEskimodog
Approach from behind... 1+3 (or f+1+3);HugeCanineFulmar
Approach from behind... 2+4 (or f+2+4);PartialCapitalHare
Approach (crouching enemy) d+1+3;BabyishSeveralGourami
Approach (crouching enemy) d+2+4;IncompleteWelldocumentedBluetickcoonhound
1+3+4;OblongNaughtyGull
2+3+4;ThornyGrouchyHalcyon
