template;https://gfycat.com/ifr/{url}
1, 1, 2;DelightfulPoliticalKitten
1, 2;ExaltedSelfassuredAxisdeer
1, 2, 2;FrailHauntingIndianjackal
2, 1;AdorableIndolentGoosefish
3, 1;BarrenDeadlyAmoeba
3, 2;FondSafeGaur
1+2;ExaltedSelfassuredAxisdeer
1+4;AthleticIdleAchillestang
2+3;MealyAggressiveHornet
uf+2;GregariousDefiantGoldfinch
uf+3, 4, 1;GargantuanDazzlingBordercollie
uf+3, 4, 3;ResponsiblePleasingDogwoodclubgall
uf+4;UnacceptableCluelessAdamsstaghornedbeetle
f+3;DaringGiddyBluewhale
f+4;JubilantForthrightCaecilian
f, F+4;SkeletalEvergreenLadybug
f, f, f+2 (or WR+2);NeighboringAnxiousAstarte
df+1, 2;BossyFancyCanadagoose
df+2;SelfassuredImpassionedAzurevase
df+3;InsidiousEnlightenedJohndory
d+1, 2;GoodnaturedCourageousAmericangoldfinch
db+2, 3, 4;QuerulousHeartfeltBinturong
db+3;SparseThoroughCat
db+4;CanineSimplisticDoctorfish
db+1+2;ContentGiantGartersnake
b+1, 2;NiceBitterAustraliansilkyterrier
b+2;FarGreedyBear
b+3;FarGreedyBear
b+4;ParallelSpiritedCirriped
b, f+2, 1, 4;LightInbornFreshwatereel
b, f+2, 1, 1+2;GlaringImperturbableBoaconstrictor
WS+1, 2;FantasticKindheartedFruitfly
WS+2;OrderlyMinorErin
WS+3;GivingFoolishGraysquirrel
WS+4, 4;LittleSilverLeech
Opponent down d+2;UnsungReasonableChupacabra
f+3+4;GenuineAdvancedApe
uf+2, F;DefinitePointedCrustacean
f+3, F;PreciousSpicyBrant
1+2, F;LoneDemandingCopepod
WS+3, F;SourFamousBurro
RSS+1;TheseRigidHake
RSS+2;AnguishedPassionateKiskadee
RSS+3;MeagerFailingBlesbok
RSS+4, 2;GoodWickedAtlanticbluetang
RSS+1+2;GraciousNewIslandwhistler
RSS+3+4;SimpleMiserlyBettong
b+3+4;MelodicExemplaryAmberpenshell
RSS+B;MelodicExemplaryAmberpenshell
Time with enemy attack... b+1+2;ImmediatePotableAmericanalligator
f+2;VibrantUnhealthyDunlin
f, F+2;JadedVengefulIrishterrier
in rage d+1+2;SmallConsciousHapuka
in rage f, F+1+2;NaughtyLavishFrenchbulldog
RSS+f+1+2;MildGraciousGroundbeetle
Approach enemy... 1+3;TotalBlandHind
Approach enemy... 2+4;SphericalSillyFieldspaniel
Approach enemy... f+1+3;TotalBlandHind
Approach enemy... f+2+4;SphericalSillyFieldspaniel
Approach enemy... df+1+2;PossibleFailingIcelandicsheepdog
Approach from left side... 1+3 (or 2+4);HighlevelAppropriateDotterel
Approach from right side...  1+3 (or 2+4);HighlevelAppropriateDotterel
Approach from behind... 1+3 (or f+1+3);CrazyThoughtfulEarthworm
RSS+1+3;AnimatedOldfashionedGuillemot
2+3+4;AdmiredCrazyAfricanelephant
