template;https://gfycat.com/ifr/{url}
1, 2, 2+4;ConcernedAnchoredBernesemountaindog
1, 2, d+2+4;UntimelyWellinformedIndianskimmer
1, 2, 1;EasyDistantLacewing
1, 2, 1, 2+4;VictoriousIllustriousArcticduck
1, 2, 1, d+2+4;FakeParchedBarnowl
2, 1;RipeSereneHound
1+2, 1;EasyDistantLacewing
1+2, 3;SlowDistortedCrayfish
uf+2;DependableMassiveAlaskajingle
uf+3;NeatSecondaryArrowcrab
uf+4;ReliableThankfulCuttlefish
uf+1+2;CreamyHonestAsianconstablebutterfly
uf+3+4;BrownSneakyAcornweevil
f+2, 1;BlaringCarelessChrysalis
f+2, d+1, 2;ForkedSillyIbisbill
f+3;WelloffSecondhandAnkole
f+3, (during hit from front) 1+2;NippyUnsightlyFairyfly
f+4;DisfiguredOfficialElver
f+1+2;SecondaryFlawedEidolonhelvum
f+1+4;ShadowyHopefulAfricangoldencat
f+3+4;LightheartedHideousLeafwing
f, F+1;FabulousSpitefulHarborseal
f, F+2;PaltryMatureHogget
f, F+2, 1;ClearcutBoringHog
f, F+4;SecondaryTangibleDavidstiger
CH f, F+4 ;CreativeImperturbableGuanaco
f, F+1+2 (close);SomberSpiritedHarvestmen
f, F+2+3 (close);SnappyShamefulAmericanpainthorse
f, N, d, DF+4;BreakableAnotherDogwoodtwigborer
f, N, d, DF+1+2;AnyAllErne
f, f, N, 2;SelfassuredElaborateAfricanwildcat
CH f, f, N, 2;FirstSlushyEidolonhelvum
f, f, N, 1+2;InformalBowedBlackbuck
f, f, f+3 (or WR+3);AnxiousAdmirableEastsiberianlaika
f, f, f+3+4 (or WR+3+4);ImpracticalIncompatibleDogwoodtwigborer
df+1, 2;InfamousSlimyAcornbarnacle
df+2, 1;CluelessParallelDipper
df+3, 4;SoupySmugHammerheadbird
df+4, 3, 4;MinorAmazingDugong
df+4, 3, d+4;AncientWideeyedGraywolf
d+3;UglyTalkativeAidi
d+1+2;MeanAngelicElephantseal
d+3+4, 4, 4;SerpentineMilkyHellbender
ALI 2;InbornBrightCuckoo
d+2+3;DentalNippyDowitcher
db+2;YawningSphericalKiwi
db+3;VacantIncompatibleDutchsmoushond
db+4;ImmenseVillainousCougar
b+1;AdventurousSparklingLeafwing
b+1, 2;EnchantingTepidCormorant
b+1, 4;CreepySoulfulFrillneckedlizard
b+2, 1;KaleidoscopicLiquidGallinule
b+2, 1+2;MeatyShamelessDwarfrabbit
b+2, 4 (only during hit from front);FearfulGraveDrafthorse
b+3;OptimisticReliableBurro
ub+1;HideousNegativeCheetah
FC+1, 2;RipeSereneHound
FC+df+1;PeriodicGrizzledAfricanparadiseflycatcher
FC+df+2;UnfitElectricAmurstarfish
SS+2;SadAngryBrownbutterfly
SS+3+4;EthicalMajesticAsiaticgreaterfreshwaterclam
WS+2, 2;LinearThreadbareFlyingfox
WS+1+2;AptVigilantFlounder
b+4 (close);SecondOilyChameleon
BT 3;JitteryColossalGrayling
3+4;SillyRingedAmericanredsquirrel
b+3+4;ParchedDelayedCatbird
JGS, 1;PiercingPastelCrocodileskink
JGS, 2;VapidMammothChinchilla
JGS, 3;HighForthrightArcticwolf
JGS, 3, 2+3;PositiveIcyElkhound
JGS, 4;VigilantElectricHypsilophodon
JGS, df+4;BlandHatefulGemsbuck
f+2+3;MaleAthleticBison
in rage df+1+2;EasygoingWastefulBumblebee
in rage db+1+2;NeedyDisguisedGermanspitz
1+4;OrangeFearfulFurseal
uf+1+2*;ColorfulInfiniteAlligatorsnappingturtle
f+1+2*;FormalNegligibleAustralianfurseal
BT 1+2;SeriousLoathsomeIndianrockpython
Approach enemy... 1+3;EdibleAnchoredGlowworm
Approach enemy... 2+4;EasySpotlessCommongonolek
