template;https://gfycat.com/ifr/{url}
1, 2;SociableSoreAfricanbushviper
2, 1, 2;BarrenNecessaryArachnid
2, 1, 3;CommonAgitatedDowitcher
1+2;SociableSoreAfricanbushviper
1+2, 1+2, 1+2;AccomplishedAgonizingAlabamamapturtle
u+1+2;NecessarySandyIsabellinewheatear
uf+1;LinedDetailedCapybara
uf+3, 4;FlatAccurateFunnelweaverspider
uf+3, 4, 1+2;SnappyFloweryGonolek
uf+4, 3;PositiveCarelessHectorsdolphin
uf+1+2;MelodicAncientCero
uf+3+4;FlatAccurateFunnelweaverspider
f+1, 1, 1;AbandonedInformalGalapagossealion
f+2, 1;LankySparklingAfghanhound
f+1+2;ShorttermBlissfulCoelacanth
f+3+4;SphericalComposedAtlanticsharpnosepuffer
f+3+4, 1+2;CompleteGrandioseIndianpangolin
f, F+2;CheerfulBelovedBlackbuck
f, f, f+3 (or WR+3);BowedElderlyCowrie
f, f, f+1+2 (or WR+1+2);BogusVibrantIsabellinewheatear
df+1, 2;VagueFemaleJabiru
df+1, 2, 1, 2;BiodegradableSardonicGull
df+2, 1;CraftyCandidAmericanbulldog
df+3, 2;NecessaryPertinentIcelandgull
df+1+2;VagueFemaleJabiru
d+1+2;WelcomePitifulIberianemeraldlizard
db+1;QuaintUnnaturalKodiakbear
db+1, 2;CarefreeAptAmericanwigeon
db+2;NeglectedRegalBullfrog
db+3;UnlinedSecretBorer
db+4;FaintUnripeFish
db+1+2;CarefreeAptAmericanwigeon
db+1+2, 1+2, 2;WeightyMemorableAxolotl
b+2, 1, 1+2;PeskyAcceptableGander
b+3~4;CourageousSilkyAsianconstablebutterfly
b+3+4;NegligibleKeyAfricanporcupine
b, f+2;ImaginaryBigheartedFinwhale
b, f+2+3;TatteredNegligibleAcornweevil
b, db, d, df+2, 1;UntimelyFemaleJenny
b, db, d, df+2, 2;LividSardonicHoiho
FC+1, 1, 1, 2, 1;QuaintComfortableAcaciarat
FC+1, 1, 1, 2, df+1;BackFewAlaskanmalamute
FC+1, 1, 1, 2, d+1;UnhealthyCompassionateDragonfly
FC+df+1, 2, 1, 2;ImpureTediousAmazontreeboa
FC+df+2, df+1, 2;DisloyalScrawnyAmbushbug
FC+df+2, d+1;UnconsciousUnluckyBarnswallow
SS+1+2;EagerThoroughAlpaca
WS+1, 1;SoupyAngryAustraliankestrel
WS+1, 2;TimelyUnlinedGelding
WS+2;CommonSoftBlesbok
WS+3;RecklessGraveArcticwolf
WS+1+2;TimelyUnlinedGelding
WS+1+2, 1+2;RightObeseDalmatian
WS+f+1, 2, 1;PositiveMeatyGreathornedowl
WS+f+1, 2, df+1;InnocentImpoliteIndianpangolin
WS+f+1, 2, d+1;GratefulAthleticIcterinewarbler
While down (facing up) 1+2;ColdBrightGangesdolphin
While down (facing up) d+1+2;OblongAdeptDolphin
While down (facing down) 1+2;HonorableExaltedGoosefish
FC+df+1+2;SaneMadBrahmanbull
ROL 1;EmbarrassedGenerousAuklet
ROL 2;FocusedIgnorantBighorn
ROL 3;TightArcticCony
ROL 4;AccomplishedHopefulCockerspaniel
ROL 1+2;JollyMatureFlicker
3+4 (or face down 3+4);SleepyMeekEyelashpitviper
f, f, f+1+2, 3+4 (or WR+1+2, 3+4);BogusVibrantIsabellinewheatear
ROL 3+4;SleepyMeekEyelashpitviper
HBS u, uf, ub;TangibleCreamyAyeaye
HBS db;ImpartialAromaticAmurratsnake
HBS b, b;EnergeticSoulfulAmericanalligator
HBS 1, 2;ActualGrippingKentrosaurus
HBS 2;SlushyDrearyIguana
HBS 1+2;ActualGrippingKentrosaurus
HBS f+1+2;OddballRareLark
HBS df+1, 1;QueasyCarefreeJenny
HBS df+2;BruisedDescriptiveAmericanquarterhorse
HBS d+1+2;BoilingTepidGazelle
HBS d+3+4;EthicalPhysicalEquine
HBS b+1+2, 1+2;IllegalAdmiredAfricanwilddog
HBS f or b+3+4;IllinformedVictoriousGalah
d+3+4;PoshSkinnyAmericanredsquirrel
SIT 3+4;DistortedHappyAidi
SIT 1;SociableBeneficialAmazonparrot
SIT 2;PoliticalQuaintAddax
b+1;TallFeminineAsp
HBS 3+4;CreativeFrenchBluefintuna
in rage b+1+2;SoreDistortedGuineafowl
in rage f, F+1+2;GiftedTallAlaskanhusky
b+1+4;FeminineDeliciousFlatcoatretriever
b+1+4, hcb, ub, u, uf;LavishCompetentFairybluebird
Opponent down d+1+4;BlushingEdibleBlackbear
Approach enemy... 1+3;UnawareFalseFinch
Approach enemy... 2+4;MinorLeadingAustrianpinscher
Approach enemy... f+1+3;UnawareFalseFinch
Approach enemy... f+2+4;MinorLeadingAustrianpinscher
Approach enemy... hcb, f+1+2;BadPointlessBackswimmer
Approach enemy... f, F+1+4;ImmaterialValuableAfricangoldencat
Approach from left side... 1+3 (or 2+4);ElegantRawIsabellineshrike
Approach from right side...  1+3 (or 2+4);CheapBewitchedDowitcher
Approach from behind... 1+3 (or 2+4);BabyishAngryBug
1+3+4;EquatorialDarkLemur
