template;https://gfycat.com/ifr/{url}
1, 1, 1;HonorableFlakyAmericancrow
1, 2;SimplisticLeafyKilldeer
1, 4;IncompatibleFarawayEyelashpitviper
2, 1, 3;SpicyKaleidoscopicKid
2, 1, 4;HatefulPoisedGarpike
3;ImmediateLonelyEft
3, D;FrighteningDirectKakapo
4;AmusedComplicatedHermitcrab
1+2+3+4, 2;TameSaltyChickadee
uf+3;TidyDifferentAmericancrocodile
uf+4;IdealClumsyKitty
uf+3+4, 1;SmallPerfumedIvorygull
uf+3+4, 4;HeavenlyExaltedIchidna
f+1, 2, B;SlightCheapAmericancrow
f+2, 1, B;UnacceptableScrawnyAmericansaddlebred
f+2, 4;IncredibleFarawayAdouri
f+4, 1, 2, 1;UnfinishedUniformChital
f+1+2;AridTangibleCopepod
f+1+4;LiquidFavoriteHackee
f, F+2;WhimsicalChubbyKingsnake
f, F+3;FlippantFlatGrebe
f, F+4, 3;AstonishingAbsoluteAxolotl
f, F+1+2;ConfusedTimelyBrocketdeer
f, F+3+4;GentleSharpBoilweevil
f, b+2, 1;QuarrelsomeHighBettong
f, f, f+3 (or WR+3);ImmaterialPhysicalCrayfish
df+2, 1;TiredClutteredEwe
df+3, 3;EveryThinGlowworm
d+2;DeafeningLoathsomeGander
d+3, 1;GleamingJoyousAzurevasesponge
d+1+2;OddballLividBluet
db+1, 3;AdorableMilkyAllosaurus
db+1, 3, D;PettyExcellentDiamondbackrattlesnake
db+2, 1;ApprehensiveWellinformedFalcon
db+2, 3;FakeTediousAmbushbug
db+4;PowerfulMistyGrackle
db+1+2;OddballSilkyBubblefish
b+1;EuphoricUnnaturalCow
b+2, 1;FoolishUnlawfulCaribou
b+2, 3;GlitteringClumsyGuppy
b+3, 4;ShockingUnawareArchaeopteryx
b+4;EmbellishedOddballAfricanparadiseflycatcher
CH b+4;LegalEnlightenedArmyant
b+1+2;VastKnobbyDanishswedishfarmdog
FC+df+2;CapitalDirtyAnchovy
FC+df+1+2;IdealisticEquatorialAndalusianhorse
SS+2;UntidyHalfBoa
WS+1;RipeBaggyBluefintuna
WS+2, 1;ShamefulDrearyBackswimmer
WS+3;WarpedIncompatibleAyeaye
Opponent down d+3+4;DentalThinAmericanalligator
f+3;PresentForsakenBuckeyebutterfly
f+1, 2, 3;PlumpWideeyedBufflehead
df+3, D;WillingSociableEider
WS+2, D;FemaleTangibleBasil
DEN 1, 2;DemandingSmoothAnt
DEN 2;SomeAdeptAfricanmolesnake
DEN 3;GaseousInexperiencedGalago
DEN 4, 3;AstonishingAbsoluteAxolotl
DEN 1+2;DemandingSmoothAnt
DEN F;SoupyGoodLadybug
f+1, 2;AridTangibleCopepod
f+2, 1;AffectionateShimmeringBlackrhino
f, F+2, F (must hit);FastFragrantIlsamochadegu
db+2, F;VioletJubilantDutchsmoushond
b+3, F;LimpElegantAmurstarfish
WS+1, F (must hit);FearfulMindlessChanticleer
WS+2, F (must hit);WatchfulEvenCondor
DEN 1, F;GraciousArcticBaldeagle
Opponent down d+3+4*, F;WanTallGelada
SEN 1;NaturalKindlyAmericanbadger
SEN 2;KnobbyAgreeableHarborseal
SEN 3;SimilarGlassFirecrest
SEN df+1;PracticalFarIndiancow
df+1+2;SilentSingleJanenschia
SEN 4;WavyNimbleBangeltiger
in rage 1+2;FondHugeAnt
in rage SEN 1+2;NearUnfortunateJunebug
b+2+3;GlitteringClumsyGuppy
Approach enemy... 1+3;DisfiguredMasculineGenet
Approach enemy... 2+4;CheeryLeadingAiredale
Approach enemy... uf+1+2;GrippingHorribleGuppy
Approach enemy... f+1+3;DisfiguredMasculineGenet
Approach enemy... f+2+4;CheeryLeadingAiredale
f, f, f+2+4;SpottedBetterIndigowingedparrot
Approach from left side... 1+3 (or 2+4);GrandThornyFeline
Approach from right side...  1+3 (or 2+4);GrotesqueNaughtyEuropeanfiresalamander
Approach from behind... 1+3 (or 2+4);PopularOrdinaryAnt
Approach mid-air enemy... f, f, f+2+4;JubilantGargantuanLeafwing
