template;https://gfycat.com/ifr/{url}
1, 1, 1, 1, 1;UnknownBleakHawk
1, 2;YawningWindingEyas
1, 2, 2, 2;SilentCourteousGreendarnerdragonfly
1, 2, 2, 1+2;CautiousForkedJunebug
1, 2, 3;JaggedAggressiveHuman
1, 2, uf+3, 4;TatteredOrangeDiamondbackrattlesnake
2, 2, 2;PerfectDeepCat
2, 2, 1+2;BrokenFriendlyGalago
2, b+2, 1, 2;AnnualUniformEelelephant
3, 3;ValidFocusedBlackpanther
3, 4;GreatHealthyKakarikis
4, 3, 4;WellmadeIndolentArcticduck
4, u+3;LankyDistinctGreatwhiteshark
3+4;GreatHealthyKakarikis
3+4, 4;RecentSoftAdeliepenguin
uf+1, 3;DemandingUnhappyBillygoat
uf+3;HonoredPoliticalKillifish
uf+3, 4;EveryFantasticJavalina
uf+3+4;EveryFantasticJavalina
uf+4;FaroffCommonFattaileddunnart
UF+3;HonoredPoliticalKillifish
UF+3, 4;EveryFantasticJavalina
UF+4 (or FC+uf+4);FaroffCommonFattaileddunnart
UF+4, 3;AgilePassionateHorse
f+2~1;UntimelyDrearyGoose
f+1+2;ImaginaryEvilAlpineroadguidetigerbeetle
f+3+4;WearyColdAurochs
f+1+4;LeftRedIntermediateegret
f, F+2, 1, 3;GoldenBraveGerbil
f, F+2, 3;HoarseMellowBedlingtonterrier
f, F+4, 3;LiveMeanDartfrog
d, df, F+1, 2, 1, 2;FavoriteBigheartedFlycatcher
f, f, f+3 (or WR+3);SecondhandWelldocumentedGodwit
df+3, 3, 3;SpitefulShamefulDrafthorse
df+3, 3, 4;ImpoliteTameDromaeosaur
df+4, 3;MadeupBoringIchneumonfly
df+3+4;SlimyGrotesqueBaboon
d+1, 3;WiltedHighCamel
d+3;MajorConcernedAlbino
d+3, 3;DigitalFantasticItaliangreyhound
d+4, 3;AgedUntidyBandicoot
d+3+4, 3;ScrawnyDirectGemsbok
db+2, 4, D;UnselfishEvilBighorn
db+3;UnderstatedFlickeringAustralianfurseal
db+4, 4;AgitatedRadiantIndusriverdolphin
db+3+4;ImaginativeComplexIlladopsis
DB+3+4;ImaginativeComplexIlladopsis
b+1, 2, 2;UglyFeminineBuckeyebutterfly
b+2, 1;FlatOptimalBlowfish
b+2, 2;FatalOpenHarvestmen
b+2, 3, 4;FlawlessWellinformedEstuarinecrocodile
b+2, 3, d+4;NarrowQuarterlyBullfrog
b+3;SadSharpFlounder
b+4, 3;FalseGrotesqueAdder
b+3+4;GleefulClutteredArchaeocete
FC+3, 4;TiredQueasyAfricancivet
FC+df, d, DF+3;ShockedUnkemptBluetonguelizard
FC+UF+4;MeatyHardtofindIndianpangolin
FC+UF+3+4;RadiantOffbeatGraysquirrel
SS+2, 1, 2, 1;MellowSpecificBirdofparadise
SS+3+4;MerryExaltedGrackle
WS+1, 2;ZanyClearcutDeviltasmanian
WS+2;CharmingReadyChrysomelid
WS+4, 3;BreakablePlumpAmericancrocodile
db+2, 4;RectangularPoliticalCanvasback
BT 2, 2;PerfumedMealyDevilfish
BT 4, 3;ShockingUnknownFerret
BT 1+2;FairWhisperedDogfish
BT d+4;PastelFlawedGoitered
d+1+2;VerifiableDiligentJapanesebeetle
DSS+(or TFS) 1;CreativeLateLeveret
DSS+(or TFS) 1, f+1;CarefreeBruisedGonolek
DSS+(or TFS) 1, 4;FearfulUnsteadyIsabellinewheatear
DSS+2;WelldocumentedUncommonJellyfish
DSS+(or TFS) 3;SadSharpFlounder
DSS+(or TFS) 4;BareBitesizedLeafcutterant
DSS+(or TFS) f+1;ConcreteElegantGlobefish
DSS+(or TFS) f+4;PossibleEachBackswimmer
b+1+2;CluelessSophisticatedElk
WS+3;EasyPeacefulJunco
TFS 2;EagerNeighboringBlowfish
After TFS succeeds... 1;LastGratefulAgama
After TFS succeeds... 2;HappygoluckyPeriodicJunebug
After TFS succeeds... 3;AlertPerkyGrackle
After TFS succeeds... 4;ImpoliteShoddyCrossbill
f, F+3 or DSS+(or TFS) f+3;ImaginativeRigidAmethystsunbird
DSS+or TFS 1+2;WickedIcyCattle
db+1+2;AnyLeanBlackbuck
in rage 1+2;LivelyFeminineBorzoi
in rage db+4, 3+4;JovialResponsibleAmazonparrot
Approach enemy... 1+3;BadSizzlingFoal
Approach enemy... 2+4;DeepPersonalAppaloosa
Approach enemy... f+1+3;BadSizzlingFoal
Approach enemy... f+2+3;CooperativeSmallJaguar
Approach enemy... f+2+4;DeepPersonalAppaloosa
Approach enemy... f, F+3+4;ScratchyDescriptiveAfricanmolesnake
Approach enemy... df+1+2;ImperturbableVigorousAuk
Approach enemy... df+1+2, 1, 2, 1+2;FelineEmptyDoctorfish
Approach from left side... 1+3 (or 2+4);WelllitEquatorialFlamingo
Approach from right side...  1+3 (or 2+4);SomeFearfulBlackbird
Approach from behind... 1+3 (or 2+4);HandmadeHonorableGalapagosdove
DSS+1+3;BadSizzlingFoal
DSS+2+4;AgileFeminineIvorybilledwoodpecker
Time with enemy attack... b+1+3 (or b+2+4);ImperfectThunderousHogget
