template;https://gfycat.com/ifr/{url}
1, 2;DiligentCreepyDogfish
1, 2, 2, 3;AbsoluteImpassionedBengaltiger
1, 2, 4;BouncyWavyIndianspinyloach
1, 2, 4*;EthicalKindheartedLangur
1, 3:3:3;LargeSelfassuredEyas
2, 1, 1;DeafeningAmusedEnglishpointer
2, 1, 3;AliveSpitefulBallpython
2, 1, 4;PointedWholeChickadee
2, 2, 3;ShadyExhaustedGelding
3;SelfishFinishedBurro
3, 3;AggressiveHelplessJoey
3~3;UnrealisticCompassionateAfricanwildcat
4, 3, 3;BlackIllegalAnnashummingbird
4, 3, 4;YellowSpiritedCottontail
4, 4, 4;AngelicWindingAmericanredsquirrel
4, u+3;BonyHandmadeCockroach
1+2;DiligentCreepyDogfish
uf+3, 1;MassiveMiserableAsiantrumpetfish
uf+3, 4;TimelyDevotedBlackrussianterrier
uf+4;SilentArtisticDoctorfish
uf+3+4;TimelyDevotedBlackrussianterrier
f+2, 1;UnsungBlushingBird
f+3, 3, 3, 3, 3, 4;PlumpAmazingBorderterrier
f+4. 1;SeriousCrispCoelacanth
f+4, 3;RichAcademicLadybird
f+1+2;SpanishPointedCockerspaniel
f+3+4;MadeupColorfulHare
f, F+3;LankyWellmadeIndigobunting
f, F+4;SecondWindingGoitered
f, f, f+3, 4 (or WR+3, 4);BaggyUnawareCutworm
df+3, 2, 3;ImpressiveNegativeBlackfish
df+4;EnlightenedAcademicIberianmidwifetoad
df+1+2, 3;RemoteNauticalGrasshopper
d+2;CreativeCraftyEider
d+3;BlaringFabulousHousefly
d+4, N, 4;JealousFormalChimpanzee
d+4, N, 4, 3, 3;ConfusedClutteredGhostshrimp
d+4, N, 4, 3, 4;VibrantWhiteAntelopegroundsquirrel
d+4, N, 4, 4, 4;PoshShockingHartebeest
d+4, N, 4, u+3;LeadingSimplisticBream
d, DB+4;CalculatingTornHorse
ub+3;VerifiableDiscreteDrafthorse
D+4, 4, 4, 4;SpiffyEvenDarwinsfox
db+3;BouncyOldfashionedJay
db+3+4;DimElasticGardensnake
db+1+2, u, u;NaiveDecisiveDungbeetle
b+1, 1, 2;FixedLameBlacklemur
b+2;ComplexHiddenGecko
b+2, 4, 3;DizzyImpureCuscus
b+3, 3;DevotedRigidAsiandamselfly
b+4;PotableEarnestAtlasmoth
b, B+4;CommonLoneAgama
FC+uf+4;SoulfulJoyfulBedlingtonterrier
FC+df+4;SerpentineEdibleAntelope
FC+df, d, DF+3;GraySmallJumpingbean
FC+UF+4;SoulfulJoyfulBedlingtonterrier
FC+UF+3+4;ComplexSaneConey
WS+2, 3;CarefreeShimmeringKangaroo
WS+2, 4;LightScratchyDuck
WS+3, 3, D+3, N, 3, 3...;TerribleImmenseJaguar
WS+3, 3, DF+3, N, 3, 3...;AgonizingDiligentBlackfly
(During Infinite Kick Chain) D+3, 3...;DemandingDarkBobwhite
(During Infinite Kick Chain) U+3, 3...;AcclaimedVillainousKob
SSL 3+4;SadClutteredEkaltadeta
SSR 3+4;UnsungMiniatureKoalabear
ub, b;RashRaggedJunco
3+4;RichNarrowCuckoo
d+3, 4;DisloyalHarmoniousAfricanparadiseflycatcher
b+1, 1, 3+4;BleakQuarterlyAlaskajingle
HMS 1;PinkValuableAmericangoldfinch
HMS 1, 1, 1, 1;HarmfulIdleHeifer
HMS 1, 4;InsistentDetailedJaguarundi
HMS 2;RecklessLegalAfricancivet
HMS 3;WanDeficientBudgie
HMS 4;MistyBitesizedDarklingbeetle
HMS 1+2;FeistyThatCuscus
HMS uf+3;AnimatedFrenchAngelfish
HMS uf+4;GracefulOrdinaryAbyssiniangroundhornbill
f, N;ConcreteTeemingBeagle
1, 2, f, N;UnluckyImprobableArrowana
d+4, N, 4, u+3, f, N;SnarlingWeightyArrowana
b+1, 1~f, N;BlindPersonalGraywolf
b+2, f, N;ReliableOblongJay
b+3, 3, f, N;FatalHeavenlyIcelandichorse
MS b, N;CraftyOptimisticCamel
MS b, N, 4;ShadowyShockingHamadryad
MS 3, 4;ScratchyMadCopperbutterfly
MS 3+4;ScratchyMadCopperbutterfly
b+3+4;SlimyUnconsciousBrahmanbull
in rage d+1+2 (or HMS);EagerRightGelada
in rage df+3+4, f, N;MellowFancyCrownofthornsstarfish
d+3+4;DisloyalHarmoniousAfricanparadiseflycatcher
db+1+2 (u, u, to cancel);AntiqueObviousLeech
3~3:4;LightheartedMasculineAlbatross
Approach enemy... 1+3;GrossPopularGosling
Approach enemy... 2+4;UniformSpicyCollie
Approach enemy... f+1+3;GrossPopularGosling
Approach enemy... f+2+4;UniformSpicyCollie
Approach enemy... f, F+3+4;WarmheartedFineBurro
Approach from left side... 1+3 (or 2+4);VainKeenIrishdraughthorse
Approach from right side...  1+3 (or 2+4);TidyWellmadeGardensnake
Approach from behind... 1+3 (or 2+4);SecondaryHighlevelArabianhorse
Time with enemy punch... b+1+2 (or FC+b+1+2);BaggyGiantHoneybadger
u+3;DimNextDachshund
