template;https://gfycat.com/ifr/{url}
1, 1;VagueWaterloggedGrizzlybear
1, 2;TediousSardonicGar
2, 1, 3+4;BasicPopularDoctorfish
3, 3;UntidyOblongJumpingbean
4~3, D;AcademicVigorousDartfrog
4~4, 3, 3, D;AdvancedExcellentDoe
1+2, 2;AlarmingSparseAmericanbadger
f+3, 1, 2;AnchoredAggravatingIvorybackedwoodswallow
f+4, 2, 1, 2, 3;UnnaturalTidyAsiaticmouflon
f+4, 2, 1, 2, 4;DisastrousBreakableIlsamochadegu
f+1+2;SpryConfusedArmednylonshrimp
df+1, 1, 1;DemandingNeedyEyelashpitviper
df+2;FoolishEllipticalBlesbok
df+3;ScrawnyEnergeticGuillemot
df+1+2;PastelPertinentCusimanse
d+2, 2;AnchoredJovialIndianspinyloach
d+4, 4;HelplessImaginaryHorseshoebat
db+4, 4;IdenticalWebbedEmperorpenguin
db+1+2;DiligentFluffyIntermediateegret
b+2, 4;FlawlessLastDutchsmoushond
b+4, 1;RedFairFlounder
b+1+2;JealousWetIrishdraughthorse
ub+4;FairForsakenIguana
u+1+2, 4;PolishedLavishInganue
u+1+2, 1+2;NastyWigglyCreature
uf+1;WeepyImperturbableGrison
uf+2;WellgroomedGrippingAmericankestrel
uf+4;FelineTallEel
uf+3+4;ConstantDefenselessCaudata
f, N, 1, 2, 1, 2, 3;ImpeccableUnkemptArawana
f, N, 1, 2, 1, 2, 4;TintedVerifiableHarpseal
f, N, 2, 1, 2, 1 (While enemy is guarding);GracefulEveryCanary
f, N, 3;AltruisticYellowAntarcticgiantpetrel
f, N, 4, 1, 2, 2, 2;QualifiedSomeBrontosaurus
f, N, 4, 1, 2, 3, 4;WavyMediumHarborseal
f, N, 4, 1, 2, 3, d+4;SerpentineRightAvocet
f, F+3;MagnificentNeighboringHermitcrab
f, F+3, 4 (or f, f, f+3, 4);SkeletalWellgroomedLamprey
f, F+4, 3+4;SlimValidAchillestang
f, f, f+1;FavoriteGranularFoal
WS+2, 1;IllLightIndiancow
WS+3+4;NaturalNeighboringArmyworm
SS+1;ReflectingDefensiveGoldeneye
SS+4;AncientUncomfortableLeafhopper
While down (facing up) 3+4;CluelessResponsibleBluet
b+3+4;SandyThriftyBlackfly
3~4, 4, 4;EuphoricLegitimateDungenesscrab
1+2;TediousSardonicGar
1+2, 1;TotalSoreKitfox
SS+3+4;GiddySlipperyCuscus
PHX 3, 3;FineThornyBluebird
PHX b+4, 4, 4;EuphoricLegitimateDungenesscrab
BT 3+4, 3+4, 3+4;YellowSmoothCanadagoose
BT d+1;BoilingDisloyalChihuahua
BT 1, 1, 3, 2;SnarlingVictoriousDormouse
BT 2;GoodTautCopperhead
BT 4, 1;EthicalLividJaeger
BT 4, 3;ExemplaryGroundedDalmatian
BT 4, 4;TemptingShorttermBellfrog
BT 3+4, 3+4, 3+4, F;YellowSmoothCanadagoose
BT d+4, 4;SolidScornfulAustralianfurseal
3+4, 4;DependentLikableCopperbutterfly
uf+3;UnselfishInfiniteApe
f, N, 1, 2, 1, 2, 4, u (or d);RedDependentHuia
f+4, 2, 1, 2, 4, u (or d);DeliciousUnimportantGecko
f, F+4, 3+4, F;SlimValidAchillestang
ub+4, F;FairForsakenIguana
CRA 1;AssuredShockingEkaltadeta
CRA 2;IncomparableLikableJunebug
CRA 3, 4, 2, 3;FirstInconsequentialIberianmidwifetoad
CRA 4;DefenselessAdoredBluefintuna
CRA 1+2;InfatuatedOccasionalCommabutterfly
CRA uf+4;BlandDetailedBlackwidowspider
3+4, 1;SnoopyEarlyAmericanquarterhorse
f, N, 1, 2, u (or d);PoisedAjarGrayreefshark
SS+1, U or D;ReflectingDefensiveGoldeneye
DRG 1;DescriptiveGrandioseHagfish
DRG 2;CarefreeInsidiousClownanemonefish
DRG 3;AgonizingUnitedAmericanbadger
DRG 4, 1, 2, 2, 2;QualifiedSomeBrontosaurus
DRG 4, 1, 2, 3, 4;WavyMediumHarborseal
DRG 4, 1, 2, 3, d+4;SerpentineRightAvocet
DRG 1+2;VioletOptimisticHoneybee
DRG f+1+2;GracefulWillingDogwoodclubgall
1+3+4;FirsthandUnsightlyArcticseal
2+3+4;EnlightenedRespectfulDwarfmongoose
f+3+4;GivingMasculineFossa
BT 1, 1, 3, 2, F;SnarlingVictoriousDormouse
FCD or SLD 1+2;RemoteSelfassuredAtlanticspadefish
KND or PLD 1+2;RemoteSelfassuredAtlanticspadefish
PHX 1+2;EachSimpleGreathornedowl
DRU 1;FastReliableBullmastiff
DRU 2, 2 (or SS+2, 2);SnivelingDimAnnelida
DRU 3, 2, 4;DazzlingNippyBasilisk
DRU 3, 1+2;ClumsyBiodegradableAfricanpiedkingfisher
DRU 4;PopularJubilantBlackmamba
DRU 3+4;SociableEverlastingBellsnake
DRU 1+3 (or 2+4);AjarOrangeElkhound
DRU b+1+2;WellinformedGoodnaturedGrub
DRU ub+1+2, 1;ExhaustedLavishGroundhog
db+1;FoolishAcceptableAdmiralbutterfly
PLD 3+4;FoolishMammothInganue
TGR 3, f+1;HappygoluckyTautKingbird
TGR [3], f+1;HappygoluckyTautKingbird
3+4, 2;PoliticalWellgroomedEmeraldtreeskink
f, N, 1, 2, 1, u (or d);UnripeDimKoi
PAN 1~2;SameFilthyAdouri
PAN 2;BlankAdmirableAcouchi
PAN 3;CrispHeartyAnole
PAN 4, 2, 1, 2, 3;UnnaturalTidyAsiaticmouflon
PAN 4, 2, 1, 2, 4;DisastrousBreakableIlsamochadegu
b+1+4;PowerlessHardHart
f, F+4, 3+4, B;SlimValidAchillestang
ub+4, B;FairForsakenIguana
FC+df+2, 1, 4;WellmadeUnselfishIberianmole
PHX b+3;WealthyScrawnyIberianchiffchaff
4~4, 3, 3;AdvancedExcellentDoe
f, F+3+4;MediumWellgroomedCleanerwrasse
SS+3+4, D;GiddySlipperyCuscus
DRU 1+2, 1+2, 1+2;IdealisticCluelessHoneyeater
DRU ub+1+2;UncommonAlertAvians
PLD 3;CommonSophisticatedAmericanquarterhorse
PLD 4;ForkedUntriedEuropeanpolecat
BT uf+2;WellgroomedGrippingAmericankestrel
FCD 3~4 (clean hit);HarshDampBrontosaurus
FCD 3~4 (far);HarshDampBrontosaurus
KND 3, 4;ZestyDeliciousCanadagoose
KND 4;CompetentWideBrant
KND 3+4;VelvetySizzlingAvocet
FCD or SLD 1 (or d+1);EmotionalPitifulGoose
