template;https://gfycat.com/ifr/{url}
1, 2;OrangeDigitalLeafbird
1, 2, 3;PerfumedNearGenet
1, 2, 4;AgreeableAcclaimedGlobefish
1+2;OrangeDigitalLeafbird
2, 3;UntimelyUnevenBagworm
2, 4;EnviousHandsomeHare
3, 1;DevotedTameGharial
3, 2, 3;CornyPotableKodiakbear
u+3, 3, 3+4;HonestCoolBaiji
u+3+4 (close);SeveralHideousKodiakbear
uf+2;YawningWeirdAngelfish
uf+3;IncompleteSingleDiplodocus
uf+4, 3;SeriousBleakBovine
uf+3+4, 3;SoulfulAntiqueAlaskanhusky
uf+3+4, 3+4;EntireWarmheartedHapuka
f+2, 3;TimelyMindlessHuia
f+3;NewLegitimateAnemoneshrimp
f+4;CautiousWeirdGlowworm
f+1+2;HollowPlainAlpinegoat
f+3+4;ImpishNaturalChital
f+3+4, 3;SandyObeseLabradorretriever
f+3+4, 3, 4;SparseSnarlingBigmouthbass
f, F+3, 3+4;AlertFreshAdmiralbutterfly
f, F+4;IndolentWindyAlbatross
f, F+1+2;ShinyDismalAmericanrobin
f, F+3+4;PlumpDecisiveCamel
f, f, f+3 (or WR+3);AchingPastelEidolonhelvum
df+2;BrilliantHeftyBluetonguelizard
df+3;WeepyQueasyCatfish
df+4, 4;MeagerBitesizedBirdofparadise
d+1, 2;ImpossibleLivelyIndigowingedparrot
d+1, 2, 4;GrotesqueAgonizingFritillarybutterfly
d+2, 2, 3;ReadyLegitimateAfricanporcupine
d+2, 2, 4;SneakyDevotedBeetle
d+3;LargeShorttermFinwhale
d+3+4;LimitedInsignificantElver
db+3;UnhappyReadyBrocketdeer
db+4;ImmaterialGlassArcticduck
b+1, 4;ThoseInsidiousFossa
b+2;OrdinaryPlayfulCoati
b+2, 1;OrdinaryPlayfulCoati
b+2, 1, 1+2;QuaintActiveAmericanwarmblood
b+1+2;GrandioseInfiniteKittiwake
ub+1;MajorForsakenDragonfly
FC+df+1;SoupyGlisteningLhasaapso
FC+df+3 (or d, DF+3);SpryEarnestAddax
SS+3;HonestDescriptiveAlbino
SS+1+2;DefensiveObviousHummingbird
WS+1, 2, 4;ThoughtfulWearyInganue
WS+2;EquatorialPlumpAmericanwigeon
WS+3, 4;MisguidedFormalGermanspaniel
qcf;DefiniteCavernousAfricangroundhornbill
3, 2, F;UnluckyWaryIggypops
u+3, F;GiantGrossBlacklab
u+3, 3, F;IncompatibleCourageousDiplodocus
f, F+3, F;RegularSpeedyAfricancivet
b+2, 1, F;DigitalGlisteningKiwi
b+1, F;SilkyOldfashionedLeopard
DEW 1, 2;ThriftyConsciousKitten
DEW 2, 1;SoupyBlueBrahmancow
DEW 3+4;AlarmingShowyEyelashpitviper
RAB 3;WarmheartedCoolAmericanwarmblood
RAB 4;ZanyWarmDiamondbackrattlesnake
b+3+4;BitesizedFaithfulGlassfrog
df+3+4;WildEveryAnemoneshrimp
df+3+4, 3+4;PossibleKindAmericankestrel
IMG 1, 2;HighlevelMemorableBinturong
IMG 2;OddballUglyHorse
IMG 1+2;LividEasyHaddock
IMG 3+4, 2;FixedObeseAstarte
IMG d+3, 4;DisastrousDeliciousAuk
IMG 4, 3+4;UnluckyPitifulChick
IMG d+3+4;DearestSadGilamonster
f, F+2;NiftyVacantBovine
d+1+2;ImpossibleLivelyIndigowingedparrot
in rage 3+4;NippyQuaintGlobefish
in rage df+2+3;IgnorantSeparateGardensnake
b+1+4;ThoseInsidiousFossa
Approach enemy... 1+3;ThoughtfulQueasyAlpaca
Approach enemy... 2+4;AptFelineGraysquirrel
Approach enemy... f+1+3;ThoughtfulQueasyAlpaca
Approach enemy... f+2+4;AptFelineGraysquirrel
Approach enemy... df+1+2;AdoredShortCondor
Approach from left side... 1+3 (or 2+4);BlackandwhiteVelvetyElver
Approach from right side...  1+3 (or 2+4);SizzlingFairDormouse
Approach from behind... 1+3 (or 2+4);MadInbornErne
During enemy wall stun... 1+3 (or 2+4);PessimisticShockedCod
Time with enemy attack... b+1+3 (or b+2+4);NeatThankfulDogfish
