template;https://gfycat.com/ifr/{url}
1, 2;JovialImpossibleKrill
1, 2, 3, 1+2;OldWelloffGoose
1, 2, f+1;OddOpulentBoaconstrictor
1, d+2;IndolentEmptyAnteater
2, 1;ConsiderateAnnualCurlew
2, d+1+2;UnderstatedFortunateIbadanmalimbe
1+2;JovialImpossibleKrill
f+2, 1;PoisedFemaleAfghanhound
f+2, d+1;GreatSimplisticAsiansmallclawedotter
f+2, d+1, 2;GreatSimplisticAsiansmallclawedotter
f+3, 2;FinishedIdealHamadryad
f+4;ReasonableGlisteningElkhound
f+1+2;HopefulFocusedAustralianfurseal
f+1+4;ThisDetailedBlesbok
df+1;QuaintMiserableIndianringneckparakeet
df+2, 1;ShamelessInnocentHadrosaurus
df+3;MadeupBasicCollie
df+3, 1, 2;IllWealthyBear
df+3, 1, 2, 3, 1+2;IllfatedRigidIrishredandwhitesetter
df+3, 1, 2, f+1;WebbedConventionalAmazonparrot
df+3, 1, d+2;GentleOccasionalEgg
df+3, df+1, 2;ForcefulDistortedCanadagoose
df+3, 1+2;IllWealthyBear
df+3, df+1, 2;ForcefulDistortedCanadagoose
df+4, 2;BothPaltryAfricanhornbill
df+1+2;InformalFlawlessBarebirdbat
d+1;LonelyTinyBallpython
d+2, 4;DistantWastefulHarpyeagle
d+3;FoolishAliveChihuahua
d+4;PepperySpitefulAiredaleterrier
d+1+2;AngryDelectableEider
db+2;EnchantedBogusAlligator
db+3, 1, 1;CelebratedQuickIndianringneckparakeet
db+3, 4;IllinformedTidyEasternnewt
db+4;ScratchyLameHochstettersfrog
db+1+2;LatePositiveHoverfly
b+1, 2;LegitimateMerryCuttlefish
b+2;OpulentAthleticDunnart
b+3;ThankfulPhysicalElectriceel
b+4;IckyPointlessBongo
b+3+4;CompassionateHeftyIcefish
uf+4;BigImpishEyas
uf+1+2;AnchoredFatalBittern
uf+3+4;IncompatibleGloomyAtlanticspadefish
f, F+2;ImportantNaiveAmericancurl
f, F+3, 2;NimbleYoungGrunion
f, F+4;ElementaryHopefulFunnelweaverspider
b+2+3, b, b;CleverPolishedBeauceron
b, f+1+2, 2;ExemplaryImperturbableCod
qcf+1, 2;ThankfulFaintJellyfish
qcf+2;CleverIdleBasilisk
CH qcf+2;AdolescentInfatuatedArmyant
f, f, f+3;KindheartedInsecureAmericancicada
FC+1+2 (close);EvenAptAuk
FC+1+2 (far);EvenAptAuk
FC+df+2;UnawareQueasyHorsechestnutleafminer
FC+df+4;UnderstatedHiddenEyas
SS+4;IdolizedCautiousInchworm
SS+1+2;VillainousFlakyChicken
WS+1, 2;PastelVioletGoldenretriever
WS+2 (or VTS 2);GrizzledImpartialColt
WS+3;ValuableDismalAdder
WS+4;ThriftyOrnateHawk
