template;https://gfycat.com/ifr/{url}
1, 2;LegalWarmCapybara
1, 2, 2;InsecureCourteousGlassfrog
1, 2, 3;FeistyImpossibleBasil
1, 2, 4;FeistyImpossibleBasil
1, 2, 1+2;DimGeneralAustraliansilkyterrier
2, 2, 2, 2, 2;DensePastelInganue
2, 2, f+2;WickedPhonyGroundbeetle
2, 2, b+2;SpicyCorruptGermanshorthairedpointer
4, 2;UnfortunateEagerChimneyswift
4, 2 (must hit midair);SelfassuredIncompatibleBluejay
1+2;LegalWarmCapybara
1+2, B;AcidicTotalCaimanlizard
uf+1;ImaginaryConventionalFlatcoatretriever
uf+2;AdorableMilkyDiamondbackrattlesnake
uf+3;HarmoniousElderlyIrishredandwhitesetter
uf+3:U;WavyDifferentEthiopianwolf
uf+4;TenderFavoriteAustraliancurlew
f+2;MarvelousYawningIndochinesetiger
f+3, 2;BowedSilverBluewhale
f+4, 2;SpottedWarlikeCaimanlizard
f+1+2;WigglyShoddyBlackandtancoonhound
f, f+4;KaleidoscopicMadeupDinosaur
f, f+1+2;ImprobableCooperativeIridescentshark
f, f, f+1+2 (or WR+1+2);ThunderousTediousGazelle
df+1, 4;CriminalWelloffHound
df+2;PleasedTatteredEeve
df+4, 2, 2;ScaredScaryHarborporpoise
df+4, 2, 4;GiftedGoldenAlbacoretuna
df+1+2;PrestigiousHopefulChihuahua
d+1;MatureSnarlingFairybluebird
d+2, 2;RareInfamousCommabutterfly
d+4, 1, 1+2 (close);QuaintAggressiveBangeltiger
db+1, 1+2;OldGrossDiamondbackrattlesnake
db+1, f;FatTiredAnnashummingbird
db+2;RevolvingDamagedAlbino
db+3;ScarceFluffyKodiakbear
db+4;FreshPlayfulAdder
db+1+2;CloseLikableKillifish
db+1+2*;PlumpPresentKitten
b+1, 2;FaintAmusingAnaconda
b+2;UnripeDeliriousHusky
b+2:1+2;OddballAdolescentGrassspider
b+3, 1;SpeedyColorfulEel
b+4, 1+2;ExaltedAffectionateGibbon
b+1+4;FearlessFirmBighornsheep
FC+df+1;WeakThankfulAustralianfurseal
FC+df+2;LimpingFixedAnkolewatusi
SS+2;AfraidOptimalAffenpinscher
WS+1, 2;TartDrearyInexpectatumpleco
WS+2, 2;AnchoredHospitableDipper
WS+3, 2;BowedSilverBluewhale
(While Jumping) 1;IdleAthleticIcelandichorse
(While Jumping) 2:2:2;InferiorLightheartedBluetickcoonhound
(While Jumping) 3;SpectacularRipeAnura
(While Jumping) 4;PowerfulMistyAvocet
Top of forward jump 1+2;JollyThickCaracal
b+3, b;GrizzledContentAsianpiedstarling
2;EagerSleepyAmurminnow
f+3+4;ImpartialTemptingBorer
f, f+3+4;SerpentineMarriedBackswimmer
(During Roll-Dodge) 3+4;GravePassionateAnnelid
(During Roll-Dodge) 1;GrayElaborateAfricanelephant
f+1+4;UnfoldedPalatableGardensnake
in rage f+2+3;WhichThoughtfulAyeaye
in rage d+1+2;OblongSaltyGalapagostortoise
b+2+3;OldfashionedIdenticalDingo
Approach enemy... 1+3;GiganticLawfulBaiji
Approach enemy... 2+4;SolidBonyGrayreefshark
Approach enemy... f+1+3;GiganticLawfulBaiji
Approach enemy... f+2+4;SolidBonyGrayreefshark
Approach enemy... b+1+2;CavernousGenuineBobwhite
Approach from left side... 1+3 (or 2+4);CavernousGenuineBobwhite
Approach from right side... 1+3 (or 2+4);CavernousGenuineBobwhite
Approach from behind... 1+3 (or 2+4);PhonyEagerBurro
1+3+4;TerribleDopeyIndusriverdolphin
Time with enemy attack... b+1+3 (or b+2+4);GrandVictoriousAfghanhound
