template;https://gfycat.com/ifr/{url}
1, 2;GraciousBestIrishdraughthorse
1, 4;SnoopyDefiantGharial
2, 3;RipeCorruptBeagle
2, d+3;AcidicLiveHoki
3, 2;AgitatedDefiantIsabellineshrike
f+2, 3, 1;ThornyFaroffGrasshopper
f+1+2;BogusAjarIbizanhound
f+1+4;AdoredSafeAmericanblackvulture
df+1, 1, 2;OptimalAssuredAfricanaugurbuzzard
df+3, 4;ExcitableShyLeafwing
df+3, 4*;SnivelingFoolishAmericanpainthorse
df+4;DangerousImportantAzurewingedmagpie
d+1;HardtofindLimpDassierat
d+1, D;FantasticDifferentCaimanlizard
d+1, 2;PleasingBrokenBlackfish
d+1, 4, 2;TerrificHappygoluckyEquine
d+4, 2;QuaintDecentArcticduck
d+4, 2, 1+2;EvergreenFrayedBufflehead
d+4, 2:1+2;EvergreenFrayedBufflehead
d+1+2;PleasingBrokenBlackfish
db+2;AppropriateViciousBobcat
b+1, 2;FabulousDistinctDowitcher
b+2, 1;ElaborateThreadbareCurassow
b+2, 1*;AngelicFirmGreatwhiteshark
b+3;AssuredThickBuckeyebutterfly
b+4;EveryShyGrouse
ub+2;GrandTautDanishswedishfarmdog
uf+2;SardonicPrestigiousAmericancrayfish
uf+3, 4;VacantWaryKakarikis
f, F+2, 1 (or FC+df+2, 1);PerfumedPopularBanteng
f, F+2:1 (or FC+df+2:1);PlainAgileGalapagosmockingbird
f, F+2, 2 (or FC+df+2, 2);HopefulSentimentalBactrian
f, F+3, 4, 4;DapperDimBream
f, F+3, 4, f+4;InsecureRingedAnhinga
f, F+3, 4, d+4;CreativeTameHalicore
f, F+4;AdmirableThirdBlesbok
b, f+1;InconsequentialNimbleLemming
b, B+1+2, u, u;RemoteHorribleLiger
qcf+1;SomberNiceBarnowl
qcf+2 (close);SandyElaborateDassierat
qcf+3;EuphoricGrayHoiho
qcf+3+4;MindlessHiddenGadwall
qcb+1;ScrawnyRichGuineapig
qcb+2;PiercingIllfatedAffenpinscher
qcb+3;EdibleHeftyCrab
qcb+3, 2, 1;MerryFalseBandicoot
qcb+3, 2, 3;ImpressiveOpenGnu
qcb+4;MedicalUnsungAuklet
qcb+1+2;GrimySinfulAuk
FC+D* (60f), u+3+4;LegalSameDouglasfirbarkbeetle
FC+df+1+2;FairEachEmu
SS+1;WeepySmartHairstreak
SS+3;PoisedAdoredCanvasback
WS+1;EnlightenedQuarterlyBillygoat
WS+2;EnlightenedQuarterlyBillygoat
WS+3, 2;VillainousBogusIberianbarbel
Opponent down d+2;HastyCaringBactrian
qcb;EducatedFantasticAmericancicada
df+1, B;FairCoolArrowworm
b+1+2;FabulousDistinctDowitcher
in rage 1+2;ImpressionableElegantKudu
in rage qcf+1+2 (close);CoordinatedBrownGrayling
b, B+1+2 (u, u to cancel);TallAppropriateCicada
Approach enemy... 1+3;MadeupNarrowGuineapig
Approach enemy... 2+4;UncommonLazyBobcat
Approach enemy... f+1+3;FrayedDistantIvorybackedwoodswallow
Approach enemy... f+2+4;UncommonLazyBobcat
Approach from left side... 1+3 (or 2+4);EarlyKindheartedAdmiralbutterfly
Approach from right side...  1+3 (or 2+4);FortunateHandmadeHummingbird
Approach from behind... 1+3 (or f+1+3);DazzlingVioletBoubou
Approach from behind... 2+4 (or f+2+4);WellinformedPoorBasil
Approach enemy... 2+4, B;ConstantRegalAsiaticlesserfreshwaterclam
Approach enemy... df+1+2;GrouchyGloriousKodiakbear
Approach enemy... df+1+3;FarflungBeautifulAmmonite
Approach enemy... df+1+3, qcf+2;FarflungBeautifulAmmonite
Approach enemy... b+1+4;MisguidedFlickeringAlbatross
Approach enemy... f, F+1+2;QueasyHarmoniousBarbet
db+1+2;WatchfulLimitedIrishwaterspaniel
(During Tackle) 12, 12, 12, 12;VillainousBoilingKingbird
(During Tackle) 2, 1, 2, 1+2;OblongGrimyHypacrosaurus
(During Tackle) 2, d+1, 1, N, 4, 1, 1+2;WellgroomedMaleAmurstarfish
(During Tackle) 1+2;UnripeSaneJumpingbean
Time with enemy attack... b+1+3 or b+2+4;GleefulSlimJaeger
