Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage 1+2;m;55(10,7,7,31);20 pc8~17;-22;KND;KND;Rage art
in rage d/b+2, 4;m, h (TJ);12,12;(14);+6~+7;KND;KND;Rage art, Tail spin
in rage d/b+2, 4, D/F;m, h (TJ), (SNK);12,12;(14);+19~+20g;KND;KND;Rage art, Tail spin
1;h;7;10;+1;+8;+8;
1, 2;h, h;7,9;10;-1;+5;+5;
1, 2, 2;h, h, m;7,9,17;10;-11~-10;+3~+4;CS (12~13);
1, 2, 3;h, h, h;7,9,18;10;-8;+3;+3;
1, 2, 3, D/F;h, h, h (SNK);7,9,18;10;-1;+10g;+10g;
1, 2, 3, D/F, D/B (Cancel);h, h, h (SNK);7,9,18;10;-2;+9;+9;
1, 2, 4;h, h, m;7,9,20;10;-13~-11;KND;KND;
2;h;10;10;0;+6;+6;
2, 1;h, m;10,7;10;-4~-3;+2~+3;+2~+3;
2, 3;h, h;10,18;10;-8;+3;+3;
2, 3, D/F;h, h (SNK);10,18;10;-1;+10g;+10g;
2, 3, D/F, D/B (Cancel);h, h (SNK);10,18;10;-2;+9;+9;
3 or 3+4;h;20;14;-8;+3;+3;
3, D/F;h, (SNK);18;14s;-1;+10g;+10g;
3, D/F, D/B (Cancel);h, (SNK);18;14s;-2;+9;+9;
4;h;16;11;-10;+1;KND;
4, 1;h, h;16,12;11;-5;+4;+4;
4, 3;h, h;16,21;11;-1~0;KND;KND;Tail spin
4, 4;h, m;16,25;11;-13~-12;KND;KND;
f+2;h;12;12;-8;-2;-2;
f+2, 3;h, h;12,20;12;-12;KND;KND;
f+2, 4;h, l;12,13;12;-13~-12;-2~-1;KND;
f+2, 4, D/F;h, l, (SNK);12,13;12;-4~-3;+7~+8;KND;
f+2, 4, D/F, D/B (Cancel);h, l, (Special);12,13;12s;-18~-17;-7~-8;KND;
f+2, 4, 4;h, l, h;12,13,21;12;-3~-2;+14~+15kg;Tail spin;Tail spin
f+3;m (TJ);21;20~21 js13~;-5~-4;+6~+7;KND;Homing
f+4;h;17;15;-2~-1;KND;KND;Tail spin, Homing
f+3+4;mm (TJ);14,14;22~23, 28 js11~24;-7;+5s;+5s;
f+3+4, D/F;mm (TJ), (SNK);14,14;22~23, 28 js11~24;+1;+13s;+13s;
f+3+4, D/F, D/B (Cancel);mm (TJ), (SNK);14,14;22~23, 28 js11~24;0;+12s;+12s;
d/f+1;m;12;13~14;-1~-2;+5~+6;+5~+6;
d/f+2;m;13;15~16;-7~-6;Launch (JG?)(+4a);Launch (JG?);
d/f+3;m;20;17;-9;+12kg;+12kg;Tail spin, Homing
d/f+4;m;16;14;-9;+2;+2;
d+2;m?;18;18~19;-6~-5;+8~+9;+8~+9;
d+3;l (TC);14;16~17s cs6~;-14~-13;0~+1;0~+1;
d+3, D/F;l (TC), (SNK);12;16~17 cs6~;-10~-9;+3~+4;+3~+4;
d+3, D/F, D/B (Cancel);l (TC), (SNK);12;16~17 cs6~;-14~-13;0~+1;0~+1;
d+4;l;13;19;-12;+1;+1;
d/b+2;m;11;14;-10;+1;+1;
d/b+2, D/F;m, (SNK);11;14;-3;+8;+8;
d/b+2, D/F, D/B (Cancel);m, (SNK);11;14;-4;+7;+7;
d/b+2, 1;m, h;11,24;14;-11;KND;KND;
d/b+3;l;12;20~21;-17~-16;-6~-5;-6~-5;
d/b+3, 4;l, h;12,20;cs6~;-13;Launch;Launch;
d/b+4;h;23;20 cs6~;-13;Launch;Launch;
d/b+1+2;!;40;64~65;CS;CS;CS;
b+1;m;20;19~20;+2~+3;+8~+9s;+8~+9s;
b+1,d;m;20;19~20;+1~+2;+8~+9s;+8~+9s;
