template;https://gfycat.com/ifr/{url}
1, 2;ImpishShabbyBillygoat
1, 2, 1;FinishedSeveralBluefintuna
1, d+2, 1+2;IncompleteSlushyBluebird
1, D+2;MammothGenuineAtlanticsharpnosepuffer
1+2;ImpishShabbyBillygoat
2, DF+1;PhonyRipeAcouchi
3;VigilantSomberEland
4~3;SpiffyOrangeDuckbillcat
u+1+2, 2, 1;MammothBackAsp
u+1+2, 3+4;BiodegradableNauticalJaguar
uf+1+2;MarriedInsidiousAmberpenshell
uf+3;TeemingPitifulGrayfox
uf+4;CanineTenseAfricanpiedkingfisher
f+2, 1, 4;DangerousPlasticAmericanwigeon
f+3, 1, 1+2;FastDownrightBushsqueaker
f+4;VioletOilyArctichare
f+1+2;ChiefDirtyDairycow
f, F+1, 3;NeglectedWearyBarebirdbat
f, F+1, 4;BrilliantDemandingAtlanticsharpnosepuffer
f, F+2, 1;FlawedEasyErin
f, F+4;BountifulTerrificCreature
f, F+4 (while enemy is guarding), 4;UncommonDeterminedLeafcutterant
f, F+1+2, 1+2;RedPoliteChimneyswift
DF+1;NaughtySmoothGermanshorthairedpointer
df+2~1;GrimPoshHypacrosaurus
d+1;YoungZestyErne
d+3, 4;FatherlyMildGangesdolphin
db+1;AlarmedGreenBubblefish
db+3;GlumVigorousIndianglassfish
db+4;ThreadbareLastKissingbug
b+1;SilverAlarmingBellsnake
b+4, 4;UnacceptableInconsequentialAmericankestrel
ub+3+4;EquatorialGleamingHydatidtapeworm
FC+3, 2, 1, 4;GrizzledHorribleHoverfly
FC+df+2, 1;EnviousWetCats
FC+df+4, 4;RequiredUniformHatchetfish
SS+3;DarlingQuarterlyBaldeagle
SS+4;TeemingPresentAllensbigearedbat
WS+2, b (or f);DecentSlowCrane
WS+2*, b (or f);PerfumedOddBluefintuna
WS+3;WarpedOccasionalGannet
WS+4;ShyCarefreeHylaeosaurus
HYP 4;BelovedVagueBaiji
HYP 2;SpottedFinishedAmericanbobtail
HYP 2;SpottedFinishedAmericanbobtail
HYP 2;SpottedFinishedAmericanbobtail
HYP 2+3, b, b;LoathsomePlayfulBrocketdeer
HYP 3+4;SpectacularShinyBeagle
b+3+4 (or FC+db+3+4);FortunateRegalFossa
SS+3, B;DarlingQuarterlyBaldeagle
1, d+2;MammothGenuineAtlanticsharpnosepuffer
2, 1;PhonyRipeAcouchi
u+1+2, 2, 1, B;MammothBackAsp
uf+1+2, B;MarriedInsidiousAmberpenshell
uf+3+4;NippyScalyIndianelephant
f, F+2, 1, B;FlawedEasyErin
f, F+3;SilentThirdAfricanfisheagle
f, F+3+4;ImmaculateFlippantIvorybilledwoodpecker
df+1;NaughtySmoothGermanshorthairedpointer
b+2, 2;SnappyWearyKarakul
b+3;GrotesqueHotAxisdeer
WS+1, 4;DecentGregariousBighornedsheep
WS+2;DecentSlowCrane
WS+2*;PerfumedOddBluefintuna
AOP 1, 2;PositiveHospitableAcouchi
BT f+3+4;OrderlyFlippantAnnelida
BT 1;HarshUnderstatedCirriped
BT 2;SeriousAncientIberianlynx
BT 2, 2;KnobbyBarrenBluebreastedkookaburra
BT 3;SophisticatedWhoppingAmethystinepython
BT f+3+4, 3+4;DishonestMilkyCrow
BT 3+4 (or d+3+4);SnivelingComplexAstarte
BT d+1+4;HeavyCarelessDipper
BT 1, 4;HarshUnderstatedCirriped
BT 2, 1;SeriousAncientIberianlynx
BT 2, 1, 4;SeriousAncientIberianlynx
BT 2, 2, 1;KnobbyBarrenBluebreastedkookaburra
BT 4;SourLastingCivet
BT 1+2;MiserableScratchyGalah
BT 1+2, 1+2;MiserableScratchyGalah
BT f+1+2;YearlyYellowishCavy
BT f, F+3;AchingConventionalAmethystinepython
BT d+3, 4;MediumHalfIndochinahogdeer
BT d+4;AjarSnarlingAlabamamapturtle
BT db+4;ExhaustedFriendlyCirriped
f+3+4;SimplisticThoughtfulGalapagostortoise
f+3+4, 3+4;TimelyVibrantIndianskimmer
d+1+2 (or FC+1+2, BT d+1+2);HotCompassionateHarvestmen
(During Somersault) d+1+2;FancyRedCornsnake
4~3, d+1+2;EducatedFlashyHammerkop
uf+4, d+1+2;RemoteWearyDalmatian
f, f, f+3;DismalAlarmingGalapagossealion
D+1;YoungZestyErne
ub+3+4, d+1+2;WildRealBlesbok
SS+3, d+1+2;UntimelyOrdinaryArabianoryx
BT 2, 2, 1, D;KnobbyBarrenBluebreastedkookaburra
AOP d;PartialDishonestKob
AOP f+3+4, d+1+2;ReadyMistyHippopotamus
AOP uf, N, 3, d+1+2;RashAbsoluteKakarikis
AOP f+4;HastyThisBuzzard
AOP f+3+4;ResponsibleMinorArmyworm
AOP 1;PositiveHospitableAcouchi
AOP 2, 1;ImperfectFearlessDodo
AOP 3;GrossNextArthropods
AOP 4;BoilingSlimyIndianspinyloach
AOP 4~3;WavyScaryDuiker
AOP 1+2;PositiveHospitableAcouchi
AOP uf+3;ThickDrearyGaur
AOP uf, (while landing) 3;SilverHarmlessKentrosaurus
AOP uf+3, 3;FemaleAgreeableBoutu
AOP uf+3, 4;HonorableFrigidBobcat
AOP uf+4, 4;ImperturbableAggravatingBuck
AOP uf, N, 3;ThatOrderlyIlladopsis
AOP uf, N, 4;IdealisticRawHuemul
AOP f+4, 4;HastyThisBuzzard
AOP d+1;ShrillEminentCuttlefish
AOP d+1+2;FrenchMixedFrog
df+3;EmbarrassedAfraidEyelashpitviper
in rage b+1+2 (or WS+b+1+2, AOP b+1+2);OffensiveMeagerHarpyeagle
in rage BT d+3, 3+4;JealousOffensiveChimpanzee
Approach enemy... 1+3;HealthySpeedyBluewhale
Approach enemy... 2+4;BarrenCautiousColt
Approach enemy... f+1+3;HealthySpeedyBluewhale
Approach enemy... f+2+3;TidyOrangeAlligator
Approach enemy... f+2+4;BarrenCautiousColt
Approach enemy... df+1+2;TallRelievedDutchshepherddog
Approach enemy... DF+2+4;PotableIncredibleBison
Approach from left side... 1+3 or 2+4;AlarmingGleefulGoosefish
Approach from right side...  1+3 or 2+4;VagueNaughtyCub
Approach from behind... 1+3 or 2+4;AbandonedElectricHarborseal
AOP 1+3 (or 2+4);MarvelousSparklingInsect
BT f, F+1+3 (or 2+4);SociableChubbyDalmatian
BT f, F+3+4;FirstMintyAlbacoretuna
1+3+4;BasicHauntingFlee
Time with enemy attack... 1+4;SaneScentedAquaticleech
2+3+4;LikableInferiorGelding
3+4 (or d+3+4);ScaredMiserlyFanworms
