Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage b+1+2;h;55;13;-9;Throw(KND);Throw(KND);Rage art
in rage qcf+2+3;m, m;17,2;15;+5s;JG;JG;Rage drive
1;h;7;10;+1;+8;+8;
1, 2;h, h;7,1;10;-1;+5;+5;
1, 2, 1;h, h, h;7,10,6;10;-3;+4;+4;
1, 2, 1, 4;h, h, h, h;7,10,6,18;10;+7;JG;JG;
1, 2, 1, d+4;h, h, h, l;7,10,6,12;10 cs;-13;-2;-2;
1, 2, 3;h, h, l;10 cs;7,10,10;-14;-3;-3;
1, 2, 4;h, h, h;7,10,22;10;-6;KND;CS;Tail spin
1, 4;h, l;7,12;10 cs;-13;-2;-2;
2;h;10;10;+1;+7;+7;
2, 1;h, h;10,6;10;-3;+4;+4;
2, 1, 4;h, h, h;10,6,18;10;7;JG;JG;
2, 1, d+4;h, h, l (TC);10,6,12;10;-13;-2;-2;
2, 3;h, m;10,14;10;-11;0;0;
2, 3, B;h, m (CJM);10,14;10;-3;+8;+8;
2, 4;h, h;10,22;10;-6;KND;CS;Tail spin
2, d+4;h, l (TC);10,1;10;-14;-3;-3;
3;h;14;14;-16;-5;-5;
3, 3;h, l (TC);14,1;14;-17;-6;-6;
3, 3, 2;h, l, m;14,10,10;14;-13;JG;JG;
3, 3, 3;h, l, h;14,10,18;14;-6;+5;JG;
3, 3, 3, 1;h, l, h, m;14,10,18,20;14;+2s;+5s;KND;
3, 4;h, h;14,2;14;-6;KND;KND;
4;h;15;11;-9;+8;JG;
4, 3;h, l (TC);15,13;11;-14;-3;-3;
f+2;h;14;14;-2;+4;+4;
f+2, 3;h, h;14,2;14;-7;12k;+12k;Tail spin
f+3;m;14;17;-13;-4;-4;
f+3, B;m (CJM);14;17;-5;+4;+4;
f+3, 2;m, m;14,2;17;-11;KND;KND;Tail spin
f+4;m;28;19~20 js14;-11~-10;KND;KND;Wall bounce 
f+1+2 or WS+1+2;m;21;18;-18;KND;KND;
f+2+3;m;25;14;-16;KND;KND;
d/f+1;m;13;13~14;-1~0;+5~+6;+5~+6;
d/f+1, 2;m, h;13(12),10;13;-3;+2;+9;
d/f+1, 2, 3;m, h, m (TJ);13,10,20;13;-12;KND;KND;
d/f+1, 2, 3, b;m, h;13, 10;13;-17;-12;-5;
d/f+1, 2, 4;m, h, h;13,10,22;13;-5;KND;KND;Tail spin
d/f+2;m;13;15~16;-12~-11;JG;JG;
d/f+3;m;13;14;-11;+1;+1;
d/f+3, 1, u or d;m (SS);13;14;-12;0;0;
d/f+3, 1, b;m (CJM);13;14;-15;-3;-3;
d/f+3, 1;m, h;13,10;14;-3;+7;7;
d/f+3, 1, 2;m, h, h;13,10,6;14;-2;+9;+9;
d/f+3, 1, 4;m, h, h;13,10,20;;-3;-3;2;
d/f+3, 1, 4, 2;m, h, h, h;13,10,20,12;;-4;0;0;
d/f+3, 1, 4, 2, u or b;m, h, h, h (SS);13,10,20,12;;-5;6;6;
d/f+3, 1, 4, 2, 3;m, h, h, h, h;13,10,20,12,20;;0;KND;KND;
d/f+3, 1, 4, 2, u/f+3;m, h, h, h, m;13,10,20,12,22;;-3;KND;KND;
d/f+3, 1, 4, 2, 1+2;m, h, h, h, m;13,10,20,12,21;;-18;KND;KND;
d/f+3, 2;m, h;13,12;;0;+1;+11;
d/f+3, 2, D/F;m, h (CD);13,12;;-1;0;10;
d/f+3, 2, u or b;m, h (SS);13,12;;-1;0;10;
d/f+3, 2, 1;m, h, h;13,12,6;;-3;4;4;
d/f+3, 2, 1, 4;m, h, h, h;13,12,6,18;;7;JG;JG;
d/f+3, 2, 1, d+4;m, h, h, l (TC);13,12,6,12;;-13;-2;-2;
d/f+3, 2, 3;m, h, h;13,12,15;;-10;1;1;
d/f+3, 2, 4;m, h, h;13,12,22;;-6~-5;KND;KND;Tail spin
d/f+3, 2, d+3;m, h, l (TC);13,12,10;;-14;-3;-3;
d/f+3, 3;m, h;13,6;;-14;-3;-3;
d/f+3, 3, 3;m, h, h;13,6,8;;-11;0;0;
d/f+3, 3, 3, 1;m, h, h, h;13,6,8,14;;-9;15;15;
d/f+3, 3, 3, 3;m, h, h, h;13,6,8,20;;-6;KND;KND;Tail spin
d/f+3, 4;m, h;13,20;;-6;KND;KND;Tail spin
d/f+4;l;17;16;-15;+5s;KND;
d/f+1+2 or CJM d/f+1+2;m;0;16;1;5;19;
d+1;sm;5;10 cs4;-5;6;6;
d+1 or FC+1, 4;sm, m;5,10;;-11;0;0;
d+2;m;17;16;+1s;+7s;KND;
d+3;l (TC);12 cs4;16;-17;-3;-3;
d+3 or FC+3, 2;l, m;12,10;;-13;JG;JG;
d+3 or FC+3, 4;l, h;12,18;;-6;5;JG;
d+3 or FC+3, 4, 1;l, h, m;12,18,20;;+2s;+5s;KND;
d+4;l;7;12;-13;-2;-2;
d+4 or FC+4, 1;l, h;7(10),10;;0;6;11;
d+4 or FC+4, 1, u or d;l (SS);7(10);;-15;-4;-4;
d+4 or FC+4, 1, b;l (CJM);7(10);;-10;1;1;
d+1+2;m!;50;60;KND;KND;KND;
d/b+1;m;16;16;-12;3;3;
d/b+1, D;m;16;;-12;3;3;
d/b+1, 4;m, m;16,17;;-15;-1;KND;
