Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;8;10;-2;+9;+9;
2;h;9;12;-11;0;0;
3;m;17;14;-7;+9;+9;
4;h;18;11;-7;+7;Launch (JG?);
f+1;m;17;20;-7;+4;+4;
f+2;m?;20;17~18;-18~-17;Launch (JG?);Launch (JG?);
f+3;m;24;14~16 (31~33);-2~0;KND;KND;Tail spin
f+4;h;21;19~21;+3~+5;KND;KND;Homing, Tail spin
d/f+1;m;10;13~14;-3~-2;+8~+9;+8~+9;
d/f+2;m;14;15~16;-6~-5;Launch (JG?)(+5a);Launch (JG?);
d/f+3;m;23;20~21;-8~-7;KND;KND;
d/f+4;m;16;12;-9;+2;+2;
d+1;Sm;5;10s cs4~;-5;+6;+6;
d+2;m;18;18;-4s;+9s;KND;
d+3;l (TC);12;16s cs4~;-17;-3;-3;
d+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;m (TC);13;14 cs6~13;-9;+7;+7;
d/b+2;m;22;20~21 cs3~20;-11~-10;Launch;Launch;
d/b+3;l;16;20;-12;+4s;+14g;
d/b+4;l (TC)(LCT);14;22~24 cs6~;-11~-9;0~+2;+3~+5;
b+1;l (TC)(, (throw));17;29~30s cs6~;-10~-9;+6~+7;Throw(KND);
b+2;m;12;15;-4s;+1s;+1s;
b+3;m (TJ);15;16~17 js10~;-19~-18;Launch (JG?);Launch (JG?);
b+4;m;17;15~16;-7~-6;+8~+9;CS;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/f+2;h (throw);20(,25);14;-7;Throw(KND);Throw(KND);
u/f+2 (No throw);h;20;14;-7;+;+;
u/b or u or u/f+3;m (TJ);17;20~21 js11~;-3~-2;+8~+9;KND;
u/b+4;m (TJ);25;20~21 js9~;-15~-14;Launch (JG?);Launch (JG?);
u or u/f+4;m (TJ);25;20~21 js9~;-13~-12;Launch (JG?);Launch (JG?);
WS+1;m;12;114;-7~-6;+4~+5;+4~+5;
WS+2;m;18;13~14;-8~-7;+8~+9;+8~+9;
WS+3;m;20;18~19 js18~;-16~-15;JG;JG;
WS+4;m;15;11~12;-3~-2;+8~+9;+8~+9;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+d/b or d+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+d/b or d+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;8;10(11~);-2;+9;+9;
SS+2;m;23;13~14 (22~);-9~-8;KND(KND);KND(KND);
SS+3;m;17;14(15~);-7;+9;+9;
SS+4;h;18;17~21 (26~);-6~-2;+7~+11;KND;
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
