Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;8;10;0;+6;+6;
3;h;14;18~19;-9~-8;-4~-3;-4~-3;
4;h;15;13;-9;+7;Launch (JG?);
f+1;h;7;10;+1;+8;+8;
f+2;h;12;12;-8;+3;+3;
f+3;m;18;21~27;-4~+2;0~+6s;+8~+14s;
f+4;h;20;16~17;-6~-5;KND;KND(Throw);Homing, Tail spin
d/f+1;m;13;14~15;-3~-2;+5~+6;+5~+6;
d/f+2;m;14;15~16;-8~-7;+3~+4a;Launch (JG?);
d/f+3;m;14;18;-7;+4;+4;
d/f+4;m;16;13~14;-9~-8;+2~+3;+2~+3;
d+1;m;18;18~19s;-11~-10;+5~+6s;KND;
d+2;m;12;15;-9;+2;+2;
d+3;l (TC);14;19s cs6~;-18~-17;-7~-6;-7~-6;
d+4;l;11;16;-12;-1;-1;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;m;17;14;-8;+6;+6;
d/b+3;l;17;20;-12;+2;+14g;
d/b+4;l (TC);15;24~25 cs6~;-12~-11;-1~0;-1~0;
b+1;m;15;17~19;-9~-7;+4~+6s;+4~+6s;
b+2;m;10;13~14;-5~-4;+6~+7;+6~+7;
b+3;m;20;17~18;-15~-14;KND;uKZD;
b+4;m;15;15;-7;+4;+4;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/f+2;h;9;20;-4;+7;+7;
u/f+2, 3;h, l;9, 9;20;-20;-9;-9;
u/f+2, 3, 3+4;h, l, mm;9, 9, 10, 10;20;-5;+6;+6;
u/b+3;mm (TJ);14,20;15~16, 24~26 js13~;-15~-13;Launch;Launch;
u/b+3 (First hit only);m (TJ);14;15~16 js13~;-24~-23;Launch (JG?);Launch (JG?);
u/b+3 (Second hit only);m (TJ);20;24~26 js13~;-15~-13;Launch (JG?);Launch (JG?);
u+3;m (TJ);20;20 js9~;-13;KND;KND;
u/f+3;m (TJ);20;20 js9~;-13;Launch (JG?);Launch (JG?);
u/b+4;m (TJ);11;15~17;-19~-17;-8~-6;-8~-6;
u or u/f+4;m (TJ);14;25~27 js15~;-9~-7;0~+2;0~+2;
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;11;15~17;-11~-9;0~+2;0~+2;
WS+2;m;10;14;-7;+4;+4;
WS+3;h;17;17~18;-8~-7;-3~-2;-3~-2;
WS+4;m;16;11~12;-6~-5;+5~+6;+5~+6;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+d/b or d+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+d/b or d+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+d/f+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;8;10(11~);0;+6;+6;
SS+3;h;14;18~19 (19~);-9~-8;-4~-3;-4~-3;
SS+4;h;15;13(14~);-9;+7;Launch (JG?);
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1;Sm;10;10s cs1~;-2;+9;+9;
BT d+2;m;17;15~16;-9~-8;KND;CS;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
