template;https://gfycat.com/ifr/{url}
1, 1, 2;WindyTatteredBantamrooster
1, 2;NiftySelfishEland
1, 2, 1+2;HarmfulOddballArctichare
1, 3, 3;DeadWarlikeDotterel
1, 4;ReliableVillainousGalapagosalbatross
1, d+4;EthicalAmpleIndianrhinoceros
2, 1, 4;ObedientBlondFox
3, 4;UnnaturalMealyGallowaycow
4, 3, 3+4;FearfulDefiniteArcherfish
1+2, 1+2;ValuableMagnificentJavalina
u+1+2;SomeNeglectedCoelacanth
u+1+2, 1;HeavyUltimateEmperorshrimp
u+3+4;HilariousFantasticAzurewingedmagpie
uf+3;SimplisticImpressionableAtlanticsharpnosepuffer
uf+4, 4;RightYellowIbadanmalimbe
uf+1+2, 4;ClearcutDimArabianwildcat
uf+1+2, 1+2;AccomplishedFinishedArgali
uf+3+4, 4;ExaltedInferiorDuckbillcat
f+2, 3;BestThatArctichare
f+3, 4;MajesticBelovedHagfish
f+4;SpecificIncredibleBernesemountaindog
f, F+2;AgileUnsungArcherfish
f, F+3;WhiteGoodnaturedLadybird
f, F+4, 4;WelllitAcceptableGourami
f, F+3+4;UnevenUnsightlyCatfish
f, f, f+3 (or WR+3);ThoroughDescriptiveFreshwatereel
df+1, 2;FrequentThunderousLemur
df+1, 1+2;AnotherBowedFlyinglemur
df+2;HarmlessImaginativeCalf
df+3, 1, 1;FaithfulFirsthandHart
df+3, 2;DefiantGlumBeagle
df+3, 4, 4;AlarmingDisastrousBordercollie
df+3+4, 4;PinkThunderousDiplodocus
d+1;CrazyCheerfulIbis
d+2, 1, 2, 2;ScentedAstonishingHornet
d+2, 3;LeftBabyishLhasaapso
d+2, 4;EminentBruisedArgentineruddyduck
d+3, 4;ImmaculateIndolentHorse
d+4, 3, 4;UglyJampackedFrigatebird
d+1+2, 2, 1;MeanInfatuatedComet
d+3+4;ShrillPointlessFirebelliedtoad
db+2;EmbarrassedPleasingEasternglasslizard
db+3;OptimalParchedChamois
db+4, 4, 3, 3;AlertAbandonedAnophelesmosquito
db+4, 4, 4;DarkActiveIntermediateegret
db+1+2;ComplexFarGermanwirehairedpointer
db+3+4, 4;ImpolitePlainDobermanpinscher
b+1, 2;GrimShoddyAustraliancurlew
b, f+1;KlutzyDefinitiveBasil
b+2, 2, 4, 4;InformalCarefulBasenji
b+3;EducatedPoshLiger
b+4, 1;ZestyBlueBoar
b+4, 4;LivelyGargantuanFrogmouth
b+1+2, 1, 2;ThornyDirtyAlligatorgar
b, B+4;YawningWarmBichonfrise
b, B+3+4, DB;BountifulRemoteEmperorshrimp
b, B+3+4, 2;InferiorSaltyHound
ub+3;HauntingSameFlee
BT d+2;BarrenSpotlessAmericanbobtail
FC+df+2, 1, 1+2;DeterminedSplendidChick
FC+df+2, 4, 1+2;SarcasticPopularCormorant
SS+1+2;WeeklyWhirlwindIchthyosaurs
WS+1, 2;LawfulUncomfortableAmmonite
WS+1, 3;WetOffensiveGazelle
WS+2, 1;MilkyDisfiguredIlladopsis
WS+2, 2;DeterminedCostlyAsp
WS+3, 3+4;CreepyOnlyCorydorascatfish
WS+1+2;BigSeveralEider
f, N, d, df+1;AmbitiousWideeyedBlesbok
f, N, d, df+2;FrequentVariableCub
f, N, d, df+3, 2;BarrenForkedAmericankestrel
f, N, d, df+3, 4;WebbedSoftAmericanriverotter
f, N, d, df+4, 1+2;DeterminedWarpedCatfish
f, N, d, df+1+2;TintedVeneratedEuropeanfiresalamander
in rage f+2+3, F;FalseWeightyFrilledlizard
BAL 1;IncredibleDopeyAsianporcupine
BAL 2;ShinySnoopyCow
BAL 3;WeightyWeeIbizanhound
BAL 3+4;TiredArcticAndalusianhorse
BAL 4;LightSarcasticAegeancat
b+3+4;NaughtyCrazyApisdorsatalaboriosa
f+1+2;IllImpressiveJabiru
in rage df+1+2;LinearNaturalBeauceron
in rage f+2+3;FalseWeightyFrilledlizard
1+2+3+4, 4;AffectionateBitesizedHoki
b, B+3+4 (DB to cancel);ThisHonoredBellsnake
b, B+2+3;CommonFantasticCanvasback
Approach enemy... 1+3;FarLimitedCaecilian
Approach enemy... 2+4;HelpfulForkedCollardlizard
Approach enemy... f+1+3;FarLimitedCaecilian
Approach enemy... f+2+4;HelpfulForkedCollardlizard
Approach enemy... f, F+1+2;PaltryNextKomododragon
Approach from left side... 1+3 (or 2+4);DisloyalWatchfulGraysquirrel
Approach from right side... 1+3 (or 2+4);MetallicClumsyHind
Approach from behind... 1+3 (or 2+4);HugeWetBandicoot
FC+df, d, df+1+2;TenseLargeGalapagoshawk
