Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;10;+1;+7;+7;
3;m;14;16;-4;+7;+7;
4;h;15;12;-7;+6;Launch (JG?);
f+1;h;7;10;+1;+8;+8;
f+2;m;10;15;-10;+1;+1;
f+3;m;18;16~18;0~+2;+1~+3;CS;
f+4;m;10;18;-9;0;0;
d/f+1;m;8;15;-5;+1;+1;
d/f+2;m;12;13;-6;+5;+5;
d/f+3;l (TC);27;27~28 RC;-26;KND;KND;Homing
d/f+4;m;23;22~24;-6~-4;KND;KND;Homing
d/b or d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;m;14;14~15;-2~-1;+1~+2s;+8~+9s;
d+3;l;10;16;-11;0;0;
d+4;l;11;15;-11;0;0;
d/b or d+1 ;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;m?;13;15~17;-6~-4;+8~+10g;+8~+10g;
d/b+3;l (TC);11;16~17s cs6~;-12~-11;-1~0;+4~+5;
d/b+4;l (TC);7;12s cs4~;-13;-2;-2;
b+1;m;21;20;+3;+7s;JG;
b+2;h;18;17;-7;+4;CS;
b+3;m;12;19;-7;+4;+4;
b+4;m;18;16;-10;+15;+15;
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b+3;m (TJ);18;18;-13;-2;KND;
u or u/f+3;m (TJ);15;27~28 js9~;0~+1;KND;KND;
u/b+4;m (TJ);10;15~17;-19~-17;-8~-6;-8~-6;
u+4;m (TJ);21;24~26 js9~;-5~-3;KND;KND;
u/f+4;m (TJ);22;24~26 js9~;-5~-3;KND;KND;
u or u/f+3+4;m (TJ);25;21 js9~;-17;KND;KND;
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;20;15~16;-16~-15;Launch (JG?);Launch (JG?);
WS+2 (to GUP);m(GUP);18;19;-10;+1;+1;
WS+3;m;18;12;-10;+4;uKZD;
WS+4;m;16;11~12;-6~-5;+5~+6;+5~+6;
WS+1+2;m;12;10~11;-5~-4;+6~+7;+6~+7;
WS+3+4;h;28;16;-16;KND;KND;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+d/b or d+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+d/f+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+d/b or d+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;23;17~18 (26~);-5~-4;CS;CS;Tail spin
SS+2;m;20;20~21 (29~);-6~-5;KND;KND;
SS+3;m;14;16(17~);-4;+7;+7;
SS+4;h;15;12(13~);-7;+6;Launch (JG?);
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
