Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;10;0;+8;+8;
3;h;17;18~20;-9~-7;+7~+9;CS;Homing
4;m;12;12;-9;0;0;
f+1;h;7;10;+1;+8;+8;
f+2;h;11;12;-9;+2;+2;
f+3;m, (HSP);15;18~20a cs4~11;-3~-1;+7~+9;+7~+9;
f+4;m;10;23~28 ar16~;-23~-18;-12~-7;-12~-7;
d/f+1;m;10;13~14;-2~-1;+6~+7;+6~+7;
d/f+2;m;15;15~16;-9~-8;SH;Launch (JG?);
d/f+3;m, (HSP);15;15~18a;-10~-7;+1~+4s;KND;
d/f+4;l;17;18;-14;-1;KND;
d/b or d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;m;11;17~18;-9~-8;+2~+3;+2~+3;
d+3;l (TC);12;16~17s cs4~;-15~-14;-4~-3;-4~-3;
d+4;l (TC);11;15~16s cs4~;-16~-15;-5~-4;-5~-4;
d/b or d+1 ;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;l (TC);13;18s cs4~;-18;-7;-7;
d/b+3;l (TC);10;23~29s cs6~;-18~-12;-2~+4;-2~+4;
d/b+4;m;18;18 cs4~;-17;KND;KND;
b+1;m;16;14~15;-8~-7;+8~+9;+8~+9;
b+2;m;14;14;-11;+3;+3;
b+3;m;10;13;-8;+8;+8;
b+4;h;17;20~23;-6~-3;+5~+8(KND);CS(KND);
u/b or u or u/f+1;m (TJ);12;18 js9~;-8;+3;+3;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b+3;m;31;30;+-2~+2s;+6~+10s;+6~+10s;Power crush
u+3;m (TJ);30;38~42 js10~;-24~-20;KND;KND;
u/f+3;m (TJ);25;26~28 js13~;-11~-9s;-9~-7s;-9~-7s;
u/b+4;m (TJ);11;15~17 js9~;-19~-17;-8~-6;-8~-6;
u+4;(Special) (TJ);;a,s;;;;
u/f+4;m (TJ);25;22~25 js7~;-8~-5;KND;KND;
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;h;7;13;-6;+5;+5;
WS+2;m;12;15~16;-12~-11;Launch (JG?);Launch (JG?);
WS+3 or d, f+3;m;15;19~24 (19~) js17~;-13~-8;Launch (JG?);Launch (JG?);
WS+4;m;15;11~14;-3~0;+8~+11;+8~+11;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16~17s cs1~;-15~-14;-4~-3;-4~-3;
FC+d/b+4;m (TC);19;18s cs1~;-10;+4;CS;
FC+d+4;l (TC);10;13s cs1~;-14;-3;-3;
SS 1;h;7;10(11~);+1;+8;+8;
SS 2;m;18;24~25 (25~);0~+1s;+5~+6s;KND;
SS 3;m (TC), (RLX);22;25~26 (26~) cs4~13 ar14~;-5~-4;+6~+7;KND;
SS 4;ll (TC);10,7;21~22, 33~34 (22~) cs3~;-1~0;+4~+5;+4~+5;
SS 4 (First hit only);l (TC);10;21~24 (22~) cs3~;-12~-9;-2~+1;-2~+1;
SS 4 (Second hit only);l (TC);7;30~36 (31~) cs1~;-4~+2;+2~+8;+12~+18;
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
