template;https://gfycat.com/ifr/{url}
1 (or BT 12);TemptingAlertHarpyeagle
1, 1;VerifiableDaringLeafwing
1, 2;SingleSpiritedKarakul
1, 2, 3;NeatMetallicAmberpenshell
1, 2, 4;PleasantGreenCrocodile
2, 2;IdolizedImperfectAlligatorgar
4 (or BT 34);OblongTameIberianchiffchaff
1+2;CalculatingGlisteningJapanesebeetle
3+4;SorrowfulMelodicAlabamamapturtle
f+3;PracticalJollyInganue
f, F+4, 2;HandsomeFaithfulBackswimmer
f, F+1+2;HeavyThornyBlackandtancoonhound
f, f, f+1 (or WR+1);SnoopyBoldIlladopsis
f, f, f+3 (or WR+3);TartDelectableGalago
df+1, 2;SaltyUncommonEquestrian
df+1, 4;ReasonableRightAndeancat
df+2, 3;IllegalBrokenFossa
df+3;SilkyHideousFanworms
b+1, 2, 4;GrimySlipperyInsect
b+2, 3;TanIdleArchaeopteryx
b+3, 1;CloudyInnocentBarnswallow
b+3, 4;BonyDefensiveBarnacle
b+4;InnocentWellwornEeve
b+1+2;WeeIncomparableAlaskanmalamute
FC+1 (or BT d+12);BigheartedEverlastingHumpbackwhale
FC+2;VigilantDirectGibbon
FC+3 (close);IncompatibleMellowAntelopegroundsquirrel
FC+4 (or BT 34);ShamefulGloriousAtlasmoth
WS+1;GreedyFlatAdmiralbutterfly
WS+2;HorribleUnevenAmericangoldfinch
WS+3;DiligentSpryAcornwoodpecker
(During Jump) 1;FilthyEnlightenedIridescentshark
(During Jump) 2;HeavenlyDisloyalColt
(During Jump) 3;TameNimbleLarva
(During Jump) 4;OptimalGenerousGhostshrimp
While down (facing up) 1+2;BlankTemptingGoldfinch
f, d, df+1;SpiffyTeemingBlowfish
f, d, df+2;SleepyGrizzledGreatwhiteshark
qcf+1;JubilantDaringAmericancicada
qcf+2;MarriedIdioticIndianglassfish
qcb+1;AcrobaticAbsoluteIbis
qcb+2;CandidBossyBrownbear
f, F+4, 2, qcf+1+2;EnchantedEquatorialAfricancivet
f, d, df+1+2;ForsakenSnarlingIcefish
qcb+1+2;PossibleScaryArabianhorse
qcb+3+4;ShrillSoulfulFugu
qcf, qcf+1+2;ImpressionableUnhealthyHagfish
f+1+2;CelebratedUnsteadyBluefish
in rage b+3+4;CelebratedSoreBullmastiff
MG 1+2;DeterminedHeavyApatosaur
f+4;SoggyGlassHare
f+3+4;TanAncientIndigobunting
qcf+1+2;ArcticUnpleasantIndianskimmer
MG 1, 2;ScaryComfortableDorado
MG 1, 2, 1+2;RemoteGoodnaturedAngwantibo
MG 2;GratefulNecessaryIrukandjijellyfish
MG 2, B;IncredibleOpulentFrenchbulldog
MG 3, 3 (or f, F+3, 3);ConventionalCalculatingBuck
MG 3, 4 (or f, F+3, 4);CheapGloriousCavy
MG 4;ImmaterialLinedCondor
d+1+2 (or FC+d+1+2);BlankTemptingGoldfinch
FC+D* (60f);GreenFaroffIndianpangolin
MG 2 (must hit);GratefulNecessaryIrukandjijellyfish
Approach enemy... 1+3;NeighboringMajesticBettong
Approach enemy... 2+4;TanUniqueDartfrog
Approach enemy... f+1+3;GrandioseVioletArmyworm
Approach enemy... f+2+4;ClassicSecondIberianmidwifetoad
Approach enemy df+1+2;DarlingImmaterialColt
Approach from left side... 1+3 (or 2+4);DarlingImmaterialColt
Approach from right side... 1+3 (or 2+4);DarlingImmaterialColt
Approach from behind... 1+3 (or 2+4);AromaticMeekCaimanlizard
2+3+4;ThinFailingBumblebee
