Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;10;12;+3;+9;+11;
2;h;12;14;+1;+7;+9;
3;h;22;16;-8;KND;KND;
4;h;20;15;-8;+3;+3;
b+1;h;18;20~21;-7~-6;+4~+5;+13~+14OB;Homing
b+2;m;12;15 RC;-14;-7;-7;
b+3;h;22;16;-8;KND;KND;
b+4;m;14;15;-10;+1;+8;
f+1;h;10;12;+3;+9;+11;
f+2;m (TC);14;14;-12;+1;CS;
f+3
;h;25;18;-6;KND;KND;
f+4;h;20;15;-8;+3;+3;
f, F+1;h;13;12(13~);+3;+9;+11;
f, F+2;m;28;17~18 (18~);-9~-8;+5~+6;Throw(0);
f, F+3;m;25;25~26 (26~);+4~+5 OC;KND;KND;
f, F+4;m;24;17~18 RG (18~);-24~-23;KND;KND;
d/b+1;Sm (TC);5;10;-5;+6;+6;
d+1;m;22;25~26;+3~+4 OC;+7~+8 OC;Launch;
d/b+2;l (TC);16;29;-22;Launch;Launch;
d+2;l (TC);15;29;-14;-3;-3;
d/b or d+3;l (TC);12;20 RC;-15;-1;-1;
d/b+4;l (TC);12;16 RC;-13;-2;-2;
d+4;l;18;21;-12;-1;Launch;
FC+d/b+1;Sm (TC);5;10 RC;-5;+6;+6;
FC+d+1;l (TC);10;19~20 RC;-8~-7;+2~+3;+2~+3;
FC+d/b or d+2;Sm (TC);8;10 RC;-7;+4;+4;
FC+3;l (TC);12;20 RC;-15;-1;-1;
FC+4;l (TC);10;16 RC;-11;0;0;
WS+1;m;12;13~14;-3~-2;+8~+9;+8~+9;
WS+2;m;17;16;-13;Launch;Launch;
WS+3;h;28;16;-2;KND;KND;
WS+4;m;20;11~12;-6~-5;+5~+6;+5~+6;
d/f+1;m;12;13~14;-5~-4;+6~+7;+6~+7;
d/f+2;m;17;16~17;-11~-10;Launch;Launch;
d/f+3;l;17;16~17;-12~-11;+5~+6 OC;+5~+6 OC;
d/f+4;m;14;15;-30;-19;-19;
u/b or u or u/f+1;m (TJ);15;18~19;-6~-5;+5~+6 (+12 OC);+5~+6 (+12 OC);
u/b or u+2;h;17;15;-12;+9;+9;
u/f+2;m;17;21;-8;+5;+5;Homing
u/b+3;m (TJ);25;25;-9;KND;KND;
u+3;m (TJ);25;25;-9;KND;KND;
u/f+3;m (TJ);25;25;-9;KND;KND;
u/b or u or u/f+4;m (TJ);25;32;-9;KND;KND;
SS+1;h;25;17~18 (26~);-9~-8;CS;CS;
SS+2;h;12;12(15~);+1;+7;+9;
SS+3;h;22;16(17~);-8;KND;KND;
SS+4;h;20;15(16~);-8;+3;+3;
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;18;10;-8;KND;KND;
