Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage 1+2;m (TJ);55;20~21 pc8~17 js8~17;-42~-41;KND;KND;Rage art
in rage f+3+4*;! (GOL);0;29;+81;+81;+81;Rage drive
Rage drive GOL 1 (After two steps);m;30;26~27 (85~86);+7~+8;KND;KND;
Rage drive GOL 1 (After three steps);m;45;26~27 (114~115);+7~+8;KND;KND;
Rage drive GOL 2 (After two steps);h!;45;24~26 (83);KND;KND;KND;
Rage drive GOL 2 (After three steps);h!;60;24~26 (112);KND;KND;KND;
Rage drive GOL 1+2 (After two steps);m (TJ);30;49~55a,d (105~) js36~;+4~+10;KND;KND;
Rage drive GOL 1+2 (After three steps);m (TJ);60;49~55a,d (136~) js36~;+4~+10;KND;KND;
Rage drive GOL b+2 (After two steps);m;20;30;-13;KND;KND;  
Rage drive GOL b+2 (After three steps);m;30;30;-13;KND;KND;
Rage drive GOL b+2*(After two steps);m;40;51~52;+25g;KND;KND; 
Rage drive GOL b+2*(After three steps);m;50;51~52;+25g;KND;KND; 
Rage drive GOL b+2*F(After two steps);m;40;30;+30g;KND;KND; GOL 2 guaranteed on block
Rage drive GOL b+2*F(After three steps);m;50;51~52;+30g;KND;KND; GOL 2 guaranteed on block
1;h;7;10;+1;+8;+8;
1, 2;h, h;7,28;10;-17;KND;KND;
2;h;10;10;-5;+6;+6;
2, 1;h, h;10,12;10;-6;+5;+5;
2, 1, 3+4;h, h, (SG);10,12;10;-4;+7;+7;
3;m;17;14~15;-7~-6;+4~+5;KND;
4;m;20;16~17;-7~-6;+6~+7;KND;
f+2;h;20;16~18;-9~-7;+7~+9;CS;
f+2, 1;h, h;20,17;16~18;-3~-2;+5~+6;+5~+6;
f+2, 1, 1;h, h, m;20,17,25;16~18;-12~-11;KMUD;KMUD;
f+2, f+1;h, h;20,20;16~18;-9~-8;CS;CS;Tail spin
f+2, d+1;h, m;20,17;16~18;-13~-12s;+2~+3s;+2~+3s;
f+2, d+1, 3+4;h, m, (SG);20,17;16~18;-2s;+13s;+13s;
f+3;m;17;23;-9;+9;+9;
f+3, 2;m, m;17,20;23~24;-13;KND;KND;
f+3, 2, F;m, m, (GOL);17,20;23~24;-27;KND;KND;
f+3, 2*;m, m;17,40;23~24;+15g;KND;KND;
f+3, 2*, F;m, m, (GOL);17,40;23~24;+18;KND;KND;
f+4;m;20;24;-14;KND;KND;
f+4, F;m, (GOL);20;24;-18;KND;KND;
f+4*;m;40;43~44;+26g;KND;KND;
f+4*, F;m, (GOL);40;43~44;+18;KND;KND;
f+1+2;h;20;13;-5;+6s;Throw;
f+1+2(CH in front);h, (throw);18,10*4;13;;;Throw;
d/f+1;m;14;14;-6;+4;+4;
d/f+2;m;15;15;-7;+6;+6;
d/f+2, 1;m, m;14,21;15;-13~-12;KND;KND;Tail spin
