template;https://gfycat.com/ifr/{url}
1, 1, 2;SphericalVapidGyrfalcon
1, 2;ImmaterialFamiliarEquestrian
1, 2, 2;QuerulousThornyArchaeocete
1, 2, 2~1+2;RelievedUncomfortableBergerpicard
1, 2, 4;ValidInfatuatedKestrel
1, b+2, 1;IlliterateWindyBlackpanther
1, b+2, 4;AgileDeficientGrasshopper
2, 2;ColossalGiganticBarnswallow
2, 2~1+2;AstonishingQuestionableLemming
3, 4;QuaintNearArachnid
4~3 (or WS+4~3);AcceptableAnxiousJunebug
1+2;ImmaterialFamiliarEquestrian
uf+3, 4;OfficialSmartAmoeba
uf+4;GorgeousPopularElephantseal
f+2, 3;AgedHappygoluckyIrishwaterspaniel
f+2~1+2;UnhappyConsciousJumpingbean
f+3;FondReasonableIrishterrier
f+4;GoodJampackedAmericanwirehair
f+1+2;PerfectSpiffyAuklet
f, F+2;MadeupVacantCoqui
f, F+3;MasculineSecondaryBaiji
f, f, f+3 (or WR+3);MarriedMeagerAchillestang
f, N, d, df+1;PointlessWetFieldmouse
f, N, d, df+2;TinyPhysicalHake
f, N, d, df:2;WhichInfiniteLaughingthrush
f, N, d, df+3;DapperActiveFluke
f, N, d, DF+3;DapperActiveFluke
f, N, d, df+4, 1;WarmShadowyKillifish
f, N, d, df+4, N, 4, 4;ExemplaryLimpAcouchi
f, N, d, DF+4, 4, 4;ThriftyEnragedBellfrog
df+1, 1;DefiniteImprobableIrishredandwhitesetter
df+1, 2;EasyGloriousBunny
d+1;SentimentalEssentialKiwi
d+1, D;JoyousShrillAcouchi
d+1, 2;DismalUnlinedHyena
d+3 (or df+3+4);FocusedCreativeDanishswedishfarmdog
db+2;HighLeafyCentipede
db+1+2;SingleHonoredEgg
b+1, 2;TemptingGrippingCrownofthornsstarfish
b+1, 2~1+2;BrilliantQuarrelsomeAsianwaterbuffalo
b+2;WickedTiredDore
b+3, 3;FineBlissfulBlueandgoldmackaw
b+4;CaringPettyIberianchiffchaff
b+1+2;TemptingGrippingCrownofthornsstarfish
b+1+2, 1+2;LegalMixedElephant
b, f+2, 1;JampackedUnawareCanine
b, f+2, 2;ArtisticFatalGemsbok
b, f+2, 3;IgnorantBrilliantAmericanmarten
b, B+1+2;WellwornTepidAmazontreeboa
b, B+3+4;AppropriateDirectAlaskajingle
qcf+2;UniformFatJerboa
FC+df+4;PoshSlipperyAldabratortoise
SS+2, 1;LightheartedMintyAntelopegroundsquirrel
WS+1;GenuineAggravatingAyeaye
WS+2;WanSplendidCow
WS+3, 1+2;CalmShadyIrishterrier
WS+4, 4;ExemplaryLimpAcouchi
Opponent down d+4;CraftyVastBlackbird
RAI 1;MadTimelyAfricanhornbill
RAI 2, 1;CaringShamelessBullmastiff
df+1+2;EasyGloriousBunny
in rage 1, b+2, 1+2;PoliteLightheartedFoxterrier
in rage d+1+2;PlainAnimatedApatosaur
in rage b+2, 1+2;WindingPerkyHorse
d+1+4;NauticalCalmDoctorfish
d+2+3;CooperativeMeatyAttwatersprairiechicken
RAI 1+2;BackSimplisticCranefly
Approach enemy... 1+3;SomberFewChrysalis
Approach enemy... 2+4;ImpressivePlushCicada
Approach enemy... f+1+3;SomberFewChrysalis
Approach enemy... f+2+4;WeirdQualifiedHomalocephale
Approach enemy... f, F+1+2;FabulousLonelyIrukandjijellyfish
Approach enemy... df+2+3;HollowMeaslyAmericanlobster
Approach enemy... qcf+1+3;ScaredPitifulAiredale
Approach from left side... 1+3 (or 2+4);WholeRareDromaeosaur
Approach from right side... 1+3 (or 2+4);CarefreeRadiantGaur
Approach from behind... 1+3 (or 2+4);SmoggyCluelessChihuahua
2+3+4;LikelyHarshArgentineruddyduck
Time with enemy attack... b+1+4 (or b+2+3);PortlyAdorableGalago
