Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;11;13;-2;+6;+9;
2;h;10;11;+1;+9;+9;
3;h;30;18;-13;KND;KND;
4;h;20;16;-4;+7;Launch (JG?);
f+1;m;13;14~15;-6~-5;+5~+6;+5~+6;
f+2;h;20;10;-12;+5;KND;
f+3;m;17;20~21;-7~-6;+7~+8;+7~+8;
f+4;h;23;17;-4;+7;Launch (JG?);
d/f+1;m;12;14~15;-4~-3;+3~+4;+5~+6;
d/f+2;m;13;15~16;-14~-13;Launch (JG?);Launch (JG?);
d/f+3;m;16;16;-9;+2;+2;
d/f+4;m;15;12;-4;+7;+7;
d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;Sm (TC);8;11s cs4~;-4;+7;+7;
d+3;l (TC);12;20s cs4~;-12;-1;-1;
d+4;l (TC);10;16s cs4~;-9;+2;+2;
d/b+1;l;15;12s;-12;+2;+2;
d/b+2;l (TC);24;22 cs6~;-18;+3s;KND;
d/b+3;l(CSK);15;21;-20;-9;-9;
d/b+4;l (TC);14;16s cs6~;-13;-2;-2;
b+1;m;17;20~21;-8~-7;+5~+6;KND;
b+2;m;27;19;+5;KND;KND;
b+3;m;14;16~17;-9~-8;+2~+3;+2~+3;
b+4;m;12;16;-15;-4;-4;
u/b+1;m (TJ);15;26~28 js9~;-24~-22;KND;KND;
u+1;m (TJ);15;26~28 js9~;-24~-22;-13~-11;-13~-11;
u/f+1;( (Sky))!;20;17;KND;KND;KND;
u/b or u or u/f+2;m (TJ);25;24~26 js9~;+4~+6s;+7~+9s;KND;
u/b or u+3;m (TJ);20;25 js9~;-21;KND;KND;
u/f+3;m (TJ);35;25 js9~;-12;KND;KND;
u/b+4;m (TJ);11;15~17 js9~;-19~-17;-8~-6;-8~-6;
u or u/f+4;m (TJ);25;25 js9~;-16;KND;KND;
u/b or u or u/f, n+2;m (TJ);28;22~24a (32~) js9~;-1~+1s;+10~+12s;+10~+12s;
WS+1;m;14;15~17;-13~-11;Launch (JG?);Launch (JG?);
WS+2;m;10;14~15;-7~-6;+4~+5;+4~+5;
WS+3;m;16;16;-9;+2;+2;
WS+4;m;20;11~12;-6~-5;+5~+6;+5~+6;
FC+d/b+1;l;16;12s cs1~;-8;+6;+6;
FC+d+1;l (TC);10;19~21s cs1~;-8~-6;+3~+5;+3~+5;
FC+d/b or d+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;20s cs1~;-12;-1;-1;
FC+4;l (TC);10;16s cs1~;-9;+2;+2;
SS+1;m;23;32~34 (41~);+5~+7s;KND;KND;
SS+2;h;25;17~19 (26~);+9~+11;KND;KND;
SS+3;h;30;18(19~);-13;KND;KND;
SS+4;h;20;16(17~);-4;+7;Launch (JG?);
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
