template;https://gfycat.com/ifr/{url}
1, 1;SmartImpassionedAnemoneshrimp
1, 2;PassionateFrayedGuppy
2, 1, 2;FatDeafeningCarp
1+2;PassionateFrayedGuppy
u+1+2;FlashyBeneficialBlobfish
uf+1;PersonalAdvancedGazelle
uf+2;SmugAncientFirecrest
uf+3+4;DirtyGleefulAnura
uf+3+4, 3+4;SandyElderlyAmurratsnake
f+1, 2;UntriedTightHalicore
f+1, 2, 1;FrenchWavyIchthyosaurs
f+1, 2, 2;FocusedOldFirecrest
f+2;ClosedTimelyJaguar
f+3, 2;LikableHarshAmericanredsquirrel
f+3, 1+2;AssuredMenacingBlackwidowspider
f+4~1, 2;SardonicWellgroomedLadybug
f+1+2;UntriedTightHalicore
f+3+4 (or FC+df+3+4);ShortVastBuckeyebutterfly
f, F+1;TemptingSolidCutworm
f, F+2;SpotlessUnknownHoneycreeper
f, F+2*;LastingLinedAsianconstablebutterfly
f, F+3;SecretElectricGartersnake
f, F+1+2, 2;SneakyAnguishedIslandcanary
f, F+1+2, 1+2;MiniatureTheseDeinonychus
f, F+3+4;UnhealthyScaryImago
f, f, f+2 (or WR+2);MajorWanGreathornedowl
df+1, 1;ScratchyInbornDragon
df+1, 2;PoliticalFaroffBluebottlejellyfish
df+1, 2, 1, 2;TestyPleasantJackal
df+2;IncompatibleSlimyDuiker
df+2, 1, 2, 1;MeaslyRegalDutchsmoushond
df+2, 1, 2, df+1;HeftyAdvancedBeetle
df+2, 1, 2, d+1;BewitchedEachAmericanavocet
df+3, 2;RichFarIrishterrier
df+1+2;PoliticalFaroffBluebottlejellyfish
df+1+3 (far);BrokenSnoopyDrake
df+3+4;HealthyLonelyDolphin
d+1+2;ParchedGrimyGander
db+1, 1, 1, 2;ScaredFrequentGermanshorthairedpointer
db+2;LavishAnyGoa
db+3, 4, 3, 4, 3, 4;HelplessFastChipmunk
CSK 1+2;ImpressiveIdleBorderterrier
db+4;WarmEnragedGalapagossealion
db+1+2;JealousConventionalDormouse
b+1;ConsciousDisgustingHarborseal
b+1, 2;JubilantClearDouglasfirbarkbeetle
b+2;WarmShallowBluemorphobutterfly
b+2*;BlueBrownKronosaurus
b+3, 2, 2;FlatImmediateGrayreefshark
b+4, 4;TalkativePoshBronco
b, db, d, df+1;DismalOrneryHorseshoebat
b, db, d, df+2;BleakJauntyGerbil
HCF+1;AcclaimedSimpleBoaconstrictor
hcf, df+1;MeagerBrightHummingbird
FC+1, 1, 1, 2, 1;HeartyPinkDanishswedishfarmdog
FC+1, 1, 1, 2, df+1;ZigzagIllinformedFlycatcher
FC+1, 1, 1, 2, d+1;ConfusedBraveBooby
FC+1, 2;DearestDecimalIndigowingedparrot
FC+df+1, 2, 1, 1;GrandShowyHorseshoebat
FC+df+2, 1;DevotedBabyishIguanodon
FC+df+2, df+1, 2;ImperfectImaginaryIndianabat
FC+df+2, d+1;WigglySlipperyJaguar
FC+df+1+2, 1+2;CheeryDeafeningFurseal
FC+db+1, 1, 1, 2;MiniatureWarmDodo
SS+1;GranularNauticalIndochinahogdeer
SS+2;ShimmeringElaborateBetafish
WS+1;MeekIllGodwit
WS+2, 1;CoolImmaterialHerald
WS+1+2, 1+2, 1+2;SoggyMarvelousArcticfox
WS+f+1, 2, 1;TintedPhysicalBanteng
WS+f+1, 2, df+1;FoolishTornAddax
WS+f+1, 2, d+1;NaughtyWeightyBluegill
While down (facing up) d+1+2;WellinformedMeaslyHomalocephale
d+3+4;FinishedRepentantGyrfalcon
SIT 1, 2;EsteemedCapitalBunting
SIT 1, 2, 1, 2;IllinformedRemoteCrustacean
SIT 2, 1, 2, 1;DisastrousRipeChipmunk
SIT 1+2;EsteemedCapitalBunting
SIT 3+4;SameBogusAmbushbug
f, F+4;MealyYellowKillerwhale
ub+1+2;FemaleFlatLeafhopper
in rage b+1+2;YearlyWarpedGopher
in rage b, db, d, df+1, 2;WelloffDigitalElkhound
3+4;ClosedOddballCanary
3+4, 3+4, 3+4, 3+4;DirtyFondAfricanjacana
f+4~1;SinfulOfficialCony
hcf, followed by one lever spin, 1 ;AcclaimedSimpleBoaconstrictor
Approach enemy... 1+3;InsistentResponsibleAdeliepenguin
Approach enemy... 2+4;ScalyBeneficialAbyssiniancat
Approach enemy... uf+1+2;IcyFirstGadwall
Approach enemy... uf+1+2, d, df+2;TameUglyAphid
Approach enemy... f+1+3;InsistentResponsibleAdeliepenguin
Approach enemy... f+2+4;ScalyBeneficialAbyssiniancat
Approach enemy... df+1+3;BrokenSnoopyDrake
Approach enemy... df+1+3, 1+2;ConventionalNewGrasshopper
Approach enemy... df+2+4;CluelessPoliticalAlleycat
Approach enemy... df, DF+2+4;MildGrimGrayreefshark
Approach enemy... db+2+3;UniformFormalEchidna
Approach enemy... qcf+1;DisfiguredFreshAmericansaddlebred
Approach enemy... qcb+2;WelcomeDeadlyCurlew
Approach enemy... db, f+1+2;FakeHeartfeltAmericancrocodile
Approach from left side... 1+3 (or 2+4);ForthrightSlightHapuku
Approach from right side...  1+3 (or 2+4);RealMeaslyAfricanfisheagle
Approach from behind... 1+3 (or f+1+3);TightQuickLarva
Approach from behind...  2+4 (or f+2+4);GloomyMelodicAbalone
Approach (crouching enemy)... d+1+3;ScratchyImpressionableBorzoi
Approach (crouching enemy)... d+2+4;AllFearfulIcelandichorse
During enemy wall stun... 1+3 (or 2+4);ElectricKlutzyBigmouthbass
CSK Approach (crouching enemy)... d+1+2;LeadingGargantuanFanworms
