Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage d/f+1+2;m;55;20 pc8~17 ar20~;-22;KND;KND;Rage art
in rage f, n, d, d/f+3+4;mm;10,24;14~15, 24~26 (17~) js12~;+8~+10;JB;JG;Rage drive
1;h;7;10;+1;+8;+8;
1, 2;h, h;7,8;10;-1;+7;+7;
1, 2, 2;h, h, h;7,8,10;10;-13;+9;+9;
1, 2, 3;h, h, m;7,8,18;10;-11;+5;KND;
1, 2, 4;h, h, h, (SWS);7,8,22;10;+11;+21g;Launch (JG?);
1, 2, d+4;h, h, l;7,8,13;10;-16;-5;-5;
1, 2, d+4, 4;h, h, l, h;7,8,13,25;10;-4~-3;KND;KND;Tail spin
1, 4;h, h;7,10;10;-4;+7;+7;
1, 4, 3;h, h, m;7,10,12;10;-15;+1;+1;
2;h;8;12;+1;+7;+7;
2, 3;h, m;8,18;12;-11;+5;KND;
2, 4;h, h, (SWS);8,22;12;+11;+21g;Launch (JG?);
2, d+4;h, l;8,13;12;-16;-5;-5;
2, d+4, 4;h, l, h;8,13,25;12;-4~-3;KND;KND;Tail spin
3;m;11;13~14;-8~-7;+3~+4;+3~+4;
3, 2;m, m;11,18;13~14;-12~-11;+5~+6;KND;
3, 2, f;m, (CD);11;13~14;-7~-6;+4~+5;+4~+5;
3, 3;m, h;11,21;13~14;-1;KND;KND;Tail spin
3, f+3;m, m (TJ);11,27;js11~;-14~-13;KND;KND;
4;h;16;12;-7;+6;Launch (JG?);
1+2;Right Punch reversal;50;2~;; Attack returned(KND);;
3+4;h;27;16~17;-9~-8;KND;Tail spin;Tail spin, Homing
f+2;h;10;12;-8;+3;+3;
f+2, 3;h, l;10,13;12;-11;0;0;
f+2, 3, 3;h, l;10,13, 30;12;-16;KND;KND;
f+2, 3, 4;h, l, h;10,13,20;12;-4~-3;KND;KND;Tail spin
f+2, 4;h, h;10,23;12;-13~-12;KND;KND;
f+3;m;18;18;-3;+8;+12a;
f+4;m;13;17;-4;+1;+1;
f+4, 3;m, m;13,14;17;-10~-9;+1~+2;+1~+2;
f+1+2;h (TJ);20;14~15 js6~;-5~-4;KND;KND;
f+3+4 or f, f, f+3+4;m;23;16;-7;KND;CS;
d/f+1;m;14;16~17;-7~-6;+4~+5;+4~+5;
d/f+1, 2;m, h;14,12;16~17;-6~-5;+5~+6;+5~+6;
d/f+1, 2, f;m, h;14;16~17;+4~+5;+7~+8;+7~+8;Transitions to CD
d/f+1, 4;m, l;14,12;16~17;-16;0;0;
d/f+1, 4, 2;m, l, h (TJ);14,12,21;16~17;-7;KND;KND;
d/f+1, 4~4;m, m;14,20;16~17;-7;KND;CS;
d/f+2;m;10;15~16;-13~-12;Launch (JG?);Launch (JG?);
d/f+3;l (TC);15;26~28 cs6~;-13~-11;+1~+3;+1~+3;
d/f+3, 2;l (TC), m;15,18;26~28 6~;-12;+5;KND;
d/f+3, 2, f;l (TC), (CD);15;26~28 6~;-8~-6;+6~+8;+6~+8;
d/f+4;m, (SWS);15;14;+11;+16g;+16;
d/f+3+4;m (TJ);30;26 pc8~25 ar26~;-13;Launch;Launch;Power crush
d+2;m;25;20;-2;+3s;KND;
d+3;l;11;16;-17;-6;-6;
d+3, 4;l, h, (SWS);11,15;16;+11;+21g;Launch (JG?);
d+4;l;8;15;-10;+1;+6;
d+3+4;m;24;19~21;-13~-11;KND;KND;
d/b+2;m (TC);25;20 cs6~;-11;KND;KND;
d/b+4;m;12;16;-6;+5;+5;
d/b+4, 2;m, m;12,11;16;-11;0;0;
d/b+4, 2, 3;m, m, m;12,11,23;16;-16;KND;KND;
b+1;h;10;11~12;-9~-8;+2~+3;+9~+10;
b+1, 1;h, h;10,20;11;-3;+16k;+16k;Tail spin
b+1, 2;h, m;10,12;11;-5;+6;+6;
b+1, 2, 4;h, m, m;10,12,12;11;-10;+6;+6;
b+1, 2, 4, F;h, m (Special);10,12;11;-6;+5;+5;
b+1, 2, 4, 4;h, m, m, h;10,12,12,20;11;-5~-4;KND;KND;Wall bounce
b+2;h;17;14;+1;+7;Throw(KND);
b+2 (Counter hit);h, (throw);14,12,13;14;;;Throw(KND);
b+3;m;18;22~23;-6~-5;+13~+14kg;+13~+14kg;Homing
b+4;m;14;16;-5;+6;+6;
b+4, 3;m, m;14,14;16;-6;+5;+5;
b+4, 3, 4;m, m, m;14,14,25;16;-20~-16;KND;KND;
b+4, 3, d+4;m, m, l;14,14,12;16;-13;+3;+3;
