Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
In rage d/f+1+2;m (throw);10,45;20;-22;throw;throw;Rage art
In rage f+2+3;m, m;20,35;15;2; KND;KND;Rage drive
1;h;7;10;1;8;8;
1, 1;h, m;7,12;;-9;2;+2s;
1, 1, 1;h, m, m;7,12,20;;-14;KND;KND;
1, 1, 2;h, m m;7,12,20;;-9;KND;KND;
1, 2;h, h;7,10;;-1;5;5;
1, 2, 3 or 4;h, h (CES);7,10;;-9;-3;-3;
1, 2, 1;h, h, m;7,10,10;;-13;3;3;
1, 2, 1, 1;h, h, m, l;7,10,10,20;;-14;KND;KND;
2;h;10;10;-2;7;7;
2, B;h (special);10;12;-8;5;5;
(after back spin) 1+2;h;22;;;4;4;
3;h;17;14;-14;KND;KND;
4;h;15;11;-12;-3;JG;
4, 4;h, l (TC);15,12;;-16;-2;-2;
4, 4, 1;h, l, m;15,12,21;;-14;JG;JG;
4, 4, 1~2;h, l, m;15,12,20;;-9;KND;KND;
4, 4, 4;h, l, h;15,12,23;;-6;KND;KND;
4, 4, d+4;h, l, l;15,12,10;;-19;-8;-8;
4~2;lh;7,5;15;-12;-4;1;
4~2, 1;lh, m;7,5,21;;-16;KND;KND;
1+2;m;14;18;-5;1;6;
1+2, 4;m, h;14,12;;-12;-1;4;
1+2, 4, b,f+1+2;m, h, m;14,12,25;;-10;KND;KND;
1+2, 4, 4;m, h, m;14,12,20;;-20;KND;KND;
1+4;m, l;12,21;18;-26;KND;KND;
1+4, D;m;12;;-18;-7s;-7s;
f+2;h;10;12;-2;7;7;
f+2, B;h (special);10;;-8;5;5;
f+2, 1;h, h;10,14;;-1;5;10;
f+2, 1, 3;h, h (CES);10,14;;14;+20g;25;
f+2, 1, 2;h, h, m;10,14,20;;-10;KND;KND;
f+2, 4;h, m;10,17;;-8;5;KND;
f+4;m;13;15;-10;3;3;
f+4, 1;m, m;13,23;;-14;KND;KND;
f+4, 1, D;m (special);13;15s;-15;-2;-2;
f+1+2;m;25;18 pc8;-14;KND;KND;Wall bounce, Power crush
f+1+4;m;40;67;JG;JG;JG;
d/f+1;m;13;14;-5;1;1;
d/f+1 when hit crouching opponent;m;13;;;14;14;
d/f+2;m;8;15;-9;2;2;
d/f+2, 1;m, m;8,12;;-18;JG;JG;
d/f+2, 3;m (special);8;;16;27;27;
d/f+2, 4;m, h;8,18;;-6;5;5;
d/f+3;m;14;13;-7;4;4;
d/f+3, 1+2;m, m;14,27;;-13;KND;KND;
d/f+4;m;14;14;-10;1;1;
d/f+4, 2;m, m;14,10;;-13;-2;-2;
d/f+4, 2, 3;m, m, h;14,10,18;;-5;KND;KND;Tail spin
d/f+4, 2, 1;m, m, m;14,10,25;;-14;KND;KND;
d/f+4, 2, b, f+1;m, m, m;14, 10, 30;;-14;KND;KND;
d/f+3+4;sm, m;10,20;17;-7;9;9;
d+1;sm (TC);5;10 cs4;-5;6;6;
d+2;sm (TC);8;11 cs4;-4;7;7;
d+2, 3;sm, m;8,14;;-10;1;1;
d+3;l;10;13;-12;-1;+4s;
d+4;l (TC);12;20 cs6;-16;-2;-2;
d+4, 1;l, m;12,21;;-14; JG;JG;
d+4, 1~2;l, m;12,20;;-9;KND;KND;
d+4, 4;l, h;12,23;;-6;KND;KND;
d+4, d+4;l, l (TC);12,10;;-19;-8;-8;
d+1+2;m;27;16;-14;KND;KND;
d/b+1;m (TC);17;19 cs6~15;-12;5;KND;
d/b+2;m;13;15;-10;1;1;
d/b+2, 1;m, l;13,7;;-11;-4;0;
d/b+3;l (TC);12;16 cs4;-17;-6;-6;
d/b+4;l ;11;15;-12;-1;4;
d/b+4, 1;l, m;11,23;;-10;KND;KND;
b+1;m;18;18;-9;+5s;JG;
b+2;h;14;13;-10;1;1;
b+2, 3;h, h;14,15;;-12;4;4;
b+2, 3, 1+2;h, h, m;14,15,21;;-13;KND;KND;
b+3;l (TC);17;27 cs6;-13;+4s;KND;
b+3, 4;l, l (TC);17,10;;-8;KND;KND;
b+4;h;20;18;-2;KND;KND; Homing, Tail spin
b+1+2;m;23;21;-14;KND;KND;
u/b or u+1;m (TJ);12;18 js9;-12;-1;-1;
u/f+1;m;17;15;-8;4;KND;
u/b or u or u/f+2;h;17;15;-12;9;9;
u/b+3;m (TJ);14;15 js9;-22;-9;-9;
u+3;m (TJ);16;15 js9;-20;KND;KND;
u/f+3;m (TJ);18;15 js9;-16;KND;KND;
u/b+4;m (TJ);14;15 js9;-24;-13;-13;
u+4;m (TJ);16;15 js9;-20;KND;KND;
u/f+4;m (TJ);8;16 js9;-8;4;4;
u/f+4, 3;m, m;8,8;;-13;JG;JG;
u/f+4, 3, 1;m, m, m;8,8,25;;-6;KND;KND;
u/f+3+4 ;m (TJ);30;35 js7;-13;KND;KND;
u/f, N, 4;m (TJ);25;23 js9;-18;JG;JG;
f, F+1;m ;11;11;-2;4;7;
f, F+1, 4;m, h;11,17;;-4;+15k;KND;Tail spin
f, F+2;m;23;18;-13;KND;KND;
f, F+3;m;21;12;-14;KND;KND;
f, F+4;h;25;20~21;2;KND;KND;
f, F+1+2;m;23;13;-9;KND;KND;Wall bounce
d, d/f+1;m;14;12;-6;0;5;
d, d/f+1, 3 or 4;m (CES);14;;2;8;13;
d, d/f+1, 3 or 4 (no sequential move);m (CES);14;;-8;-2;3;
d, d/f+1, 2;m, m;14,25;;-14;KND;KND;
qcf+2;h;15;15;-8;JG;JG;
f, f, f+1 or WR+1;h;28;12;4;KND;KND;
f, f, f+2 or WR+2;m;12;14;-14;1;1;
f, f, f+2, 1;m, m;15,21;;-13;KND;KND;
f, f, f+3 or WR+3;m (TJ);30;23 js3;0;KND;KND;
FC+1;sm (TC);5;10;-5;6;6;
FC+2;sm (TC);8;11;-4;7;7;
FC+3;l (TC);12;16;-17;-3;-3;
FC+4;l (TC);10;12;-15;-4;-4;
WS+1;m;15;15;-13;JG;JG;
WS+1~2;m;20;32;-9;KND;KND;
WS+2;m;11;18;-17;-9;-6;
