template;https://gfycat.com/ifr/{url}
1, 1, 1;GlossyLivelyChinchilla
1, 1, 2;SnivelingUnselfishAfricanwilddog
1, 1, 3;RewardingJampackedKissingbug
1, 1, 4;InsidiousPleasantHochstettersfrog
1, 2;ColdSoupyAmericanwigeon
1, 4;IdealisticLavishFlyingfish
2, 2;ResponsibleNearBuffalo
3, 3, 3, 3, 3;BothColdHaddock
3, 4 (or WS+3, 4);DimCharmingFallowdeer
4, 4, 4, 4, 4;ThankfulPastIberianemeraldlizard
uf+3;JoyousWhoppingCommongonolek
uf+4, 4, 4, 4, 4, 4;WeakWavyIberianemeraldlizard
uf+3+4;UnsightlyUnsteadyGrunion
f+1+2;HandmadeActualEkaltadeta
f+3;TotalFatalAcornwoodpecker
GROUND BOUND;BrokenRichGyrfalcon
f, F+3;BruisedQueasyAmberpenshell
f, F+4;TeemingCookedHalibut
f, f, f+3 (or WR+3);EnragedSmugKinkajou
df+1, 1;RequiredBossyLamb
df+2, 2;ElegantShamelessHarlequinbug
df+2, 4;FloweryCelebratedGrouper
df+3, 3;OilyLightheartedAmericancreamdraft
df+4;WelloffPerkyGemsbuck
df+3+4;SnarlingBoringFlyingsquirrel
d+1;GenuineIgnorantGopher
d+2;ThickCraftyAmericancrocodile
d+3, 3;IllegalTenderIraniangroundjay
d+3, 4;NeatPrestigiousKingbird
db+3;GracefulDismalBass
db+4;DefensiveIndelibleAmericanriverotter
b+1, 1;IncomparableFilthyAmphiuma
b+1, 2;IdolizedBestHamster
b+2;FamiliarAromaticAfricanhornbill
b+3;LastYoungAmericanshorthair
b+4, 1+2;RareFelineBeetle
b+4, 3+4;ObeseReflectingChick
b+3+4;HatefulIllCavy
ub+4;SlightEasyAlbatross
FC+df+4;FreshUntimelyFrogmouth
WS+1, 1;HandmadeTanAchillestang
WS+2;LiveThickDutchsmoushond
Opponent down d+3+4;YellowishSeparateAlaskanhusky
f+4;CharmingEllipticalGreatwhiteshark
1, 1, F;VibrantGiftedGuanaco
3, 3, 3, F;OrnateImpressionableCatfish
4, 4, 4, F;FluffyHelplessBushbaby
uf+4, 4, 4, 4, F;UnhappyDearIndianringneckparakeet
df+1, 1, F;TestyBasicFrilledlizard
d+2, F;MatureQuarrelsomeKingbird
b+1, F;RashHauntingHarvestmouse
WS+1, 1, F;ShyUniformGuineapig
HAR 1;HandmadeTanAchillestang
HAR 2;SecondaryCluelessHyena
HAR 3;ShimmeringVastGannet
HAR 4;SarcasticImpoliteJapanesebeetle
HAR df+2, 3;BitesizedFrankGnu
HAR uf+3;BruisedQueasyAmberpenshell
f+3+4;ReadyGleamingKiskadee
in rage HAR 1+2;SarcasticCorruptArmedcrab
in rage 3+4;BelatedDizzyEquine
db+3+4;ShadowyFrightenedAsiaticmouflon
Approach enemy... 1+3;UniqueOptimisticDungbeetle
Approach enemy... 2+4;OldfashionedMasculineBuzzard
Approach enemy... f+1+3;UniqueOptimisticDungbeetle
Approach enemy... f+2+4;OldfashionedMasculineBuzzard
Approach enemy... df+1+2 (or During Harrier);WarlikeSpecificCommongonolek
Approach from left side... 1+3 (or 2+4);MaturePoliticalHorseshoecrab
Approach from right side...  1+3 (or 2+4);OptimalSphericalAlpaca
Approach from behind... 1+3 (or f+1+3);JaggedGregariousArchaeopteryx
1+2+3;IncompatibleBitesizedAlaskajingle
