Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage 3+4;m;55;20 pc8~17;-22;KND;KND;Rage art
in rage HAR 1+2;m (TJ)(, (throw));35,5,15;15~16 (30~);+5~+6s;Throw(KND);Throw(KND);Rage art
1;h;7;10;+1;+8;+8;
1, 1;h, h;7,10;10;-2~-1;+4~+5;+4~+5;
1, 1, F;h, h, (HAR);7,10;10;-1~0;+5~+6;+5~+6;
1, 1, 1;h, h, m;7,10,23;10;-5~-4;-1~0;KND;
1, 1, 2;h, h, h;7,10,17;10;+7;+9;CS;
1, 1, 3;h, h, m (TJ);7,10,20;js14~;0~+1s;KND;KND;
1, 1, 4;h, h, m;7,10,21;14~;-19~-17;Launch (JG?);Launch (JG?);
1, 2;h, h;7,10;14~;-3;+3;+3;
1, 4;h, l;7,10;14~;-12;+1;+1;
2 or f+2;h;10;12;-3;+8;+8;
2, 2;h, h;10,20;12;-12~-11;+10~+11kg;+10~+11kg;Tail spin
3 or WS+3;m;9;14;-5;+6;+6;
3, 3;m, m;9,4;14;-9;+2;+2;
3, 3, 3;m, m, m;9,4,4;14;-10;+1;+1;
3, 3, 3, f;m, m, m (HAR);9,4,4;14;+10;-1;-1;
3, 3, 3, 3;m, m, m, h;9,4,4,4;14;-11;0;0;
3, 3, 3, 3, 3;m, m, m, h, m;9,4,4,4,17;14;-14;+4s;KND;
3, 4 or WS+3, 4;m, h;9,20;14;-8;KND;Tail spin;Tail spin
4;h;17;11;-12;+8;Launch (JG?);
4, 4;h, m (TJ);17,15;11a;-10;+4;+4;
4, 4, 4;h, m (TJ), h;17,15,10;11;-10~-9;+4~+5;+4~+5;
4, 4, 4, f;h, m (TJ), h, (HAR);17,15,10;11;-1~0;+5~+6;+5~+6;
4, 4, 4, 4;h, m (TJ), h, h;17,15,10,21;11;-6~-5;+5~+6;+5~+6;
4, 4, 4, 4, 4;h, m (TJ), h, h, m;17,20,10,21,25;11;-9;KND;KND;Wall bounce
f+3;m (TJ);23;24~25 js6~;+1~+2s;+5~+6s;Launch;
f+1+2;h;20;23;+1s;KND;KND;
f+3+4;m;23;24 pc8~23;-13;KND;KND;Power crush
d/f+1;m;13;13;-2;+5;+5;
d/f+1, 1;m, h;13,8;13;-5;+6;+6;
d/f+1, 1, f;m, h, (HAR);13,8;13;-1;+10;+10;
d/f+2;m;17;17~18;-7~-6;+4~+5;+4~+5;
d/f+2, 2;m, m;17,21;17~18;-10;KND;KND;
d/f+2, 4;m, h;17,17;17~18;+1~+2;+17~+18kg;+17~+18kg;Tail spin
d/f+3;m;15;15~16;-6~-5;+2~+3;+2~+3;
d/f+3, 3;m, l (TC);15,24;cs19~;-21~-20;KND;KND;
d/f+3, 3, d (Cancel);m;15;19~s;-20~-19;-12~-11;-12~-11;
d/f+4;m;17;15;-9;+4;CS;
d/f+3+4;l (TC);21;25~26s cs6~;-14~-13s;+1~+2s;KND;
d+1;m;20;17;-7s;+3s;KND;
d+2;m?;18;20~21;-11~-10;0~+1;CS;
d+2, F;m?, (HAR);18;20~21;+3~+4;+14~+15g;CS;
d+3;l;12;16;-11;0;0;
d+3, 3;l, m;12,18;16;-13~-12;0~+1;0~+1;
d+3, 4;l, h;12,18;16;-1;+6;KND;
d/b+3;l (TC);24;24~25 cs6~;-26;KND;KND;
d/b+4;l (TC);24;29~30 cs6~;-26;KND;KND;Homing
d/b+3+4;! (TJ);60;68 js54~;KND;KND;KND;
b+1;m;13;14;-9;+2;+2;
b+1, f;m, (HAR);13;14;+3;+14g;+14g;
b+1, 1;m, m;13,20;14;-12~-11;KND;KND;
b+1, 2;m, m;13,10;14;-8;+5;+5;
b+2;m (TC);20 cs10;27~28;-14~-13;Launch;Launch;
b+3;m;17;12;-9;+2;+20g;
b+4;m;17;17~18;-15~-14;+8~+9;CS;
b+4, 1+2;m, h;17,20;17~18;+1s;KND;KND;
b+4, 3+4;m, mm;17,3,17;17~18;-12s;KND;KND;
b+3+4;mm;15,20;23~24, 31~32;-14~-13;KND;KND;
b+3+4 (Second hit only);m?;20;31~32;-17~-16;KND;KND;
u/b+4;m;23;16~18;-14~-12;KND;KND;
u/b or u or u/f+3;m;27;19~20 ar19~;-15~-14;Launch (JG?);Launch (JG?);
u or u/f+4;m;10;15~16 js9~;-15~-14;-4~-3;-4~-3;
u/f+4, 4;m, m;10,10;js1~21;-13~-12;BU;BU;
u/f+4, 4, 4;m, m, m (TJ);10,10,10;1~21a;-10~-9;+4~+5;+4~+5;
u/f+4, 4, 4, 4;m, m, m (TJ), h;10,10,10,10;1~21;-10~-11;+4~+5;+4~+5;
u/f+4, 4, 4, 4, F;m, m, m (TJ), h, (HAR);10,10,10,10;1~21;-1~0;+5~+6;+5~+6;
u/f+4, 4, 4, 4, 4;m, m, m (TJ), h, h;10,10,10,10,21;1~21;-6~-5;+5~+6;+5~+6;
u/f+4, 4, 4, 4, 4, 4;m, m, m (TJ), h, h, m;10,10,10,10,21,25;1~21;-9;KND;KND;Wall bounce
u/f+3+4;mm (TJ);10,20;17~18a ,39 js17~;-10;KND;KND;
f, F+2;h;13;12(13~);-5;+6;+6;
f, F+2, 4;h, h;13,20;12(13~);-9~-8;Tail spin;Tail spin;Tail spin
f, F+3;m (TJ);20;24~25a (25~) js9~;-9~-8s;KND;Launch;
f, F+4;m;27;17~18 (18~);-13~-12;KND;KND;Tail spin, Homing
f, f, f+3;m (TJ);30;26~28a (29~) js3~;+5s~+7s;KND;KND;
WS+1;m;15;13~14;-6~-5;+5~+6;+5~+6;
WS+1, 1;m, h;13,10;13~14;-5~-4;+6~+7;+6~+7;
WS+1, 1, f;m, h, (HAR);13,8;13~14;-1~0;+10~+11;+10~+11;
WS+2;m;20;15~16;-13~-12;Launch (JG?);Launch (JG?);
WS+3;m;14;16;-5;+6;+6;
WS+4;m;15;11~12;-3~-2;+8~+9;+8~+9;
FC+d/f+4;l (TC);24;17s cs1~;-16;+1s;KND;
Opponent Down d+3+4;On grounded opponent(l);28;26;-12;-1;-1;
1+2+3;(Special);;26;;;;
f+4;(HAR);;26;;;;
f+4, d;(Special) (TC)(HAR);;s;;;;
HAR 1;h (CS);12;12~13 (27~);-3~-2;+17~+18kg;KND;
HAR 2;m;20;18(33~);-6s;-2s;JG;
HAR 3;l;20;26~27a (41~) js6~25 cs26~;-25~-24;KND;KND;
HAR 4;m (TJ);27;15~16a (30~) ar15~;-9~-8;KND;KND;Wall bounce
HAR d/f+2;m;13;16;-13;-2;-2;
HAR d/f+2, 3;m, h;13,18;16;-3;+14k;+14k;Tail spin
HAR d/f+3;l;20;23;-12;+5;KND;
HAR u/f+3;m (TJ);20;27~28a (42~) js9~;-9~-8s;KND;Launch;
