Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage d+1+2;m;55;20 pc8~17;-22;KND;KND;Rage art
in rage f, F+1+2;m(, Sm);17,20;13(14~) ,35~;-12 (wl-6);Launch;Launch;Rage art
1;h;7;10;+1;+8;+8;
1, 1;h, h;7,6;10;-3~-2;+6~+7;+6~+7;
1, 1, 2;h, h, m;7,6,12;10;-17;KND;KND;
1, 2;h, h;7,8;10;-3;+5;+5;
1, 2, 2;h, h, h;7,8,12;10;-12;+4;+4;
2;h;10;12;-3;+8;+8;
2, 1;h, m;10,10;12;-5;+7;+7;
3;m;14;15~16;-8~-7;+8~+9;+8~+9;
3, 1;m, m;14,20;15~16;-13~-12;+8k;+8k;Tail spin
3, 2;m, h;14,15;15~16;-1~0s;KND;KND;
4;h;18;11~12;-9~-8;+5~+6;Launch (JG?);
1+2;mm(, Sm);3,7(,20);12,21~22 (,44);-14~-13;-8;-8;
1+2f;mm(, Sm);3,7(,20);12,21~22 (,44);-14~-13;+9
2+3;Sm;10;22~54;-44~-12;KND;KND;
f+2;h;25;17~18 pc8~16;-9~-8;KND;KND;Power crush
f+3;m;13;18;-8;0;0;
f+3, f;m, (Special) (TJ);13;18a;+5;+18g;+18g;
f+4;h;20;16~17;-8~-7;+11~+12kg;+11~+12kg;Tail spin, Homing
d/f+1;m;10;13~14;-3~-2;+6~+7;+6~+7;
d/f+1, 2;m, m;10,21;13~14;-13s;KND;KND;
d/f+2;m?(, Sm);20(,9);18a(,38);-24;Launch;Launch;
d/f+3;m;14;14;-9;+2;+2;
d/f+4;m;16;15;-5;+6;+6;
d+1;m;15;16~17;-9~-8;+2~+3;+5~+6s;
d+1, 2;m, m;15,25;16~17;-13~-12;Throw;Throw;
d+4;l;10;16~17s cs4~;-13~-12;-2~-1;-2~-1;
d+3+4;l;7;12 cs4~;-13;-2;-2;
d/b+2;l (TC);18;23s cs6~;-14s;-3;+6s;
d/b+2, 3;l, l;15,12;s cs1~;-14~-13s;0~+1;+6~+7s;
d/b+2, 3, 4;l, l, l (TC);15,12,12;s cs1~;-14~-13s;+5~+6s;KND;
d/b+3;l;14;17;-14;+2s;+2s;
d/b+4;l;17;20;-12;+4;+15g;
d/b+1+2;m;20;24~25;-4~-3;KND;KND;
b+1;h;17;20;-16;-5;-5;
b+1, 2;h, m;	17,20;20;-9~-10;+7~+8;+7~+8;
b+2;m;12;15~16;-9~-8;+4~5;+4~5;Tail spin, Homing
b+3;m;16;16;-8;+3;+3;
b+4;m?;20;19;-13;+9;CS;
b+1+2;Attack returned(, m, Sm);0,30;50~51, 76 pc6~;-13;TKF(+17);TKF(+17);Power crush
b+3+4 or RSS B;(Special) (TJ);;a;;;;
u/b or u or u/f+2;h(, Sm);12(,20);14(,37);-14;-8;-8;
u/b or u or u/f+2f;h(, Sm);12(,20);14(,37);-14;+9;+9;
u/f+3;m (TJ);20;28~29a js9~;-12~-11;KND;KND;
u/f+3, 4;m (TJ), m (TJ);20,12;js1~;-7~-6;KND;KND;
u/f+3, 4, 1;m (TJ), m (TJ), m;20,12,24;js1~24;-11~-6;-5~0s;-5~0s;
u/f+3, 4, 3;m (TJ), m (TJ), m;20,12,17;js1~29;-11~-10;+8~+9k;+8~+9k;Tail spin
u/b+4;m;11;15~16 js9~;-15~-14;-4~-3;-4~-3;
u+4;m;15;15~16 js9~;-13~-12;KND;Launch (JG?);
u/f+4;m;13;15~16 js13~;-13~-12;Launch (JG?);Launch (JG?);
