Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;10;10;0;+8;+8;
3;h;16;15;-12;+5;+5;
4;h;27;17~18;-7~-6;KND;KND;Tail spin
f+1;h;10;13;-5;+6;+6;
f+2;h;10;12;-6;+3;+3;
f+3 (to DEN);(DEN);;12;;;;
f+4;m;12;17;-9;+7;+7;
d/f+1;m;14;13;-1;+5;+5;
d/f+2;m?;15;16;-8;+3a;+3a;
d/f+3;m;15;16;-7;+3;+3;
d/f+4;m;16;15~16;-8~-7;+2~+3;+2~+3;
d+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d+2;m;17;18~19;0~+1s;+8~+9s;KND;
d+3;l;8;15;-14;-3;-3;
d+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;l (TC);9;17s cs6~;-12;-1;-1;
d/b+2;m;12;15;-8;+3;+3;
d/b+3;l (TC);12;16s cs4~;-17;-3;-3;
d/b+4;l (TC);17;21~22s cs6~;-26;+5~+6s;KND;
b+1;m;17;15~17;-9~-7;+4~+6;KND;Homing, Tail spin
b+2;m;12;16;-7;+4;+4;
b+3;m;14;17;-12;+4;+4;
b+4;m;23;15;-8;+8;Throw(KND);
u/b or u+1;m (TJ);12;18 js9~;-8;+3;+3;
u/f+1;h;12;13;-16;-5;-5;
u/b or u or u/f+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/b or u or u/f+3;m (TJ)(, m);12(,14);16~17s (,34) js12~;-26~-25 (13~6a);Launch;Launch;
u/b+4;m (TJ);20;25~27 js9~;-9~-7;KND;KND;
u or u/f+4;m (TJ);20;25~27 js9~;-9~-7;KND;KND;
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;16;15~16;-12~-11;Launch;Launch;
WS+2;m;10;13~14;-9~-8;+2~+3;+2~+3;
WS+3;h;30;20;+7;KND;KND;
WS+4;m;16;11~12;-6~-5;+5~+6;+5~+6;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;m;20;16~17 (25~);-7~-6;KND;KND;
SS+3;h;16;15(16~);-12;+5;+5;
SS+4;h;27;17~18 (18~);-7~-6;KND;KND;Tail spin
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
