Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
In rage d/f+3+4;m (Throw);55;20 pc8;-22;Throw;Throw;Rage art
In rage SNA 1+4;m;40;15;+9g;KND;KND;Rage drive
In rage DRG 1+4;m;40;15;+11g;KND;KND;Rage drive
In rage DRG 1+4, F;m (TGR);40;15;+10g;KND;KND;Rage drive
In rage PAN 1+4;l, h;10,15;12;-14;KND;KND;Rage drive
In rage TGR 1+4;m;30;14;+15g;JG;JG;Rage drive
In rage CRA 1+4;m (CRA);24;17;0;JG;JG;Rage drive
1;h;7;10;1;8;8;
1, 1;h, h;7,15(6);10;-6;5;5;
1, 1, F;h, h, (SNA);7,15;10;-5;6;6;
1, 2;h, h;7,12;10;-1;6;6;
2;h;10;10;0;6;6;
2, 1;h, m;10,13;10;-8;3;3;
2, 1, F;h, m (DRU);10,13;10;-11;0;0;
2, 1, 3+4;h, m, mm (TJ);10,13,12,14;10;-11;KND;KND;
3;h;30;15;-9;-4;-2;Tail spin
3, B;h (PHX);30;14;-1;4;6;Tail spin
3, 3;h, l;30,17;14;-13;KND;KND;
3~4;m (TJ) (TOR);25;39;3;6s;6s;
3~4, 4;m (TJ), m (TJ) (TOR);25,21;39;3;+6s;+6s;
3~4, 4, 4;m (TJ), m (TJ), m(TJ) (TOR);25,21,17;39;3;+6s;+6s;
TOR d;m;;;5;+8s;+8s;
TOR D;m;;;9;+12s;+12s;
4;h;16;12;-9;5;JG;
4~3;m (TJ) (Special);25;29 js17;-16;4k;4k;Tail spin
4~3, D;m (TJ) (Grounded);25;29 js17;-17;+3K;+3K;Tail spin
4~4 or FC+4~4;l (TC) (Special);7;15 cs6;-15;-4;6;
4~4 or FC+4~4, D;l (TC) (Grounded);7;15;-16;-5;5;
4~4, 3;l (TC), l;7,7;15;-2;9;9;
4~4, 3, D;l (TC), l (Grounded);7,7;15;-3;8;8;
4~4, 3, 3;l (TC), l, m (Special);7,7,24;15;-7;JG;JG;
4~4, 3, 3, D;l (TC), l, m (Grounded);7,7,24;15;-13;JG;JG;
1+2;h;16;14;-7;2;JG;
1+2, 1;h, h;16,12;14;-3;8;8;
1+2, 2;h, m;16,21;14;-10;KND;JG;
f+2;m;11;12;-8;3;3;
f+2,4;m,h (BT);11,18;12;-7;4;4;
f+3;m;20;16;-12;-1;-1;
f+3, 1;m, h;20,12;16;-3;8;8;
f+3, 1, 2;m, h, m;20,12,12;16;-12;JG;JG;
f+4;h (TC);26;23 cs4;-12;3;KND;
f+4, 2;h (TC);26,12;24 cs4;0;6;6;
f+4, 2, 1;h (TC), m, m;26,12,12;25 cs4;-12;-1;-1;
f+4, 2, 1, 2;h (TC), m, m, m;26,12,12,8;26 cs4;-12;-1;-1;
f+4, 2, 1, 2, 4;h (TC), m, m, m, m;26,12,12,8,12;27 cs4;-9;KND;KND;
f+4, 2, 1, 2, 4, u or d;h (TC), m, m, m, m (SS);26,12,12,8,12;28 cs4;-11;KND;KND;
f+4, 2, 1, 2, 3;h (TC), m, m, m l;26,12,12,8,12;29 cs4;-17;-6;KND;
f+1+2;hh;13,1;16;4;9;9;
f+1+2, F;hh (PAN);13,1;;-5;0;0;
d/f+1;m;13;13;-4;7;7;
d/f+1, 1;m, h;13,12;;-9;2;2;
d/f+1, 1, 1;m, h, m;13,12,21;;-10;KND;KND;
d/f+2;m;12;15;-7;JG;JG;
d/f+2, F;m (SNA);12;;-9;JG;JG;
d/f+3;m;27;21;-10;KND;KND;Homing
d/f+4;m;15;12;-4;7;7;
d/f+1+2;m;21;17;-7s;-4s;-4s;
d/f+1+2, f;m (TGR);21;;0;+3s;+3s;
d+1;sm (TC);5;10 cs4;-5;6;6;
d+2;m;18;18;-3s;+4s;+4s;
d+2, 2;m, m;18,21;;-10;KND;KND;
d+3;l;15;16;-14;-3;-3;
d+4;l;10;12;-12;0;0;
d+4, D;l;10;;-13;-1;-1;
d+4, 4;l, m;10,15;;-15;-2;-2;
d+4, 4, f;l, m (DRU);10,15;;-29;-16;-16;
d/b+1;l (TC) (SNA);14;22 cs6;-3;8;+12s;
d/b+2;sm (TC);8;11 cs4;-4;7;7;
d/b+3;l (TC);12;16 cs4;-17;-3;-3;
d/b+4 (clean);l (TC);12;20 cs11;-26;KND;KND;
d/b+4;l (TC);8;20 cs11;-26;-4s;-4s;
d/b+4, 4;l (TC), h (TJ);8,3;;-9;KND;KND;
d/b+4 (clean), u or d;l (TC) (SS);12;20 cs11;-26;KND;KND;
d/b+4, u or d;l (TC) (SS);8;20 cs11;-26;+8s;+8s;
d/b+4, F (clean);l (TC) (DRU);12;20 cs11;-26;KND;KND;
d/b+4, F;l (TC) (DRU);8;20 cs11;-26;+6s;+6s;
d/b+1+2;m;26;28;-12;KND;KND;
d/b+3+4;m (TJ) (Special);22;19 js12;-21;KND;KND;
d/b+3+4, D;m (TJ) (Special);22;19 js12;-23;KND;KND;
b+3;h;25;14;-14;-4;-2;Tail spin
b+2;m;15;17;-7;4;4;
b+2, f;m (DRA);15;;-9;2;2;
b+2, 4;m, h (TJ);15,23;;-9;KND;KNd;Tail spin
b+4;l;17;23;-12;-1s;3;
b+4, b;l (BT);17;;-6;+5s;9;
b+4, 1;l, h;17,23;;-10;KND;KND;Tail spin
b+1+2;m (TC);25;26 cs4;-2;6;+29g;
u/f+1;h;19;17;-3;7;7;
u/b or u+1;m (TJ);12;18 js9;-12;3;3;
u/b or u or u/f+2;m (TJ) (Special);25;35 js19;-14;-3s;-3s;
u/b or u or u/f+2 (down);m (TJ) (Special);25;35 js19;-15;-4s;-4s;
u/b+3;m (TJ) (CRA);12;16 js6;-7;KND;KND;
u+3;m (TJ) (CRA);21;16 js6;-4;9;JG;
