Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
1;h;7;10;+1;+8;+8;
2;h;9;11;-1;+5;+5;
3;h;15;14;-8;+4;+4;
4;h;17;12;-7;+6;Launch (JG?);
f+1;h;7;10;+1;+8;+8;
f+2;h;14;14~16;-5~-3;+6~+8;+6~+8;
f+3;h;23;20~21;0~+1;+4~+5;KND;
f+4;m, (KNK);14;17~18;+8~+9;+14~+15;+14~+15;
d/f+1;m;13;13~14;-1~0;+7~+8;+7~+8;
d/f+2;m;15;15~16;-13~-12;Launch(-2a);Launch;
d/f+3;m;22;17~19;-9~-7;KND;KND;Homing, Tail spin
d/f+4;m;14;13;-6;+5;+5;
d+1;m;18;18~19;-3~-2;+4~+5s;KND;
d+2;m;23;21;+4s;+9s;KND;
d+3;l (TC);12;16s cs4~;-17;-3;-3;
d+4;l;10;16~17;-12~-11;-1~0;-1~0;
d+3+4;l (TC);7;12s cs4~;-13;-2;-2;
d/b+1;Sm (TC);5;10s cs4~;-5;+6;+6;
d/b+2;h;11;14~15;-17~-16;+2~+3;+2~+3;
d/b+3;h;23;31~32;-8~-7;Launch;Launch;
d/b+4 (Close);l (TC);18;20~22 cs10~;-31;+2~+4 (KND);KND;
d/b+4;l (TC);12;20~22 cs10~;-31;+2~+4 (KND);KND;
b+1;m;17;18~19;-12~-11;+1~+2;+1~+2;
b+2;m;11;15;-11;0;0;
b+3;m;15;14~15;-7~-8;+4~+5;+4~+5;
b+4;m;15;18;-8;+5;+5;
u/b+1;(Special)(h or m punch parry);;18;;;;
u+1 or u/f+1+2;m (TJ);12;18 js9~;-8;+3;+3;
u/f+1;h;8;13;-1;+6;+6;
u/b or u+2;h;17;15~16;-12~-11;+9~+10g;+9~+10g;
u/f+2;m;15;18~21a;-14~-11;KND;KND;
u/f+2, D;m (BOK);15;18~21a;-15~-12;KND;KND;
u/b+3;m;25;21 js9~;-17;KND;KND;
u+3;m (TJ);20;17 js9~;-9;KND;KND;
u/f+3;m (TJ);21;17 js9~;-9;KND;KND;
u/b+4;m (TJ);11;15~16 js9~;-19~-18;-8~-7;-8~-7;
u+4;m (TJ);15;15~16 js9~;-13~-12;KND;Launch (JG?);
u/f+4;m (TJ);15;15~16 js9~;-13~-12;Launch;Launch;
u/f, n+4;m;25;23(29,35) js9~33;-11(-13);Launch (JG?);Launch (JG?);
WS+1;m;13;14~15;-8~-7;+4~+5;+4~+5;
WS+2;m;17;16~17;-13~-12;Launch;Launch;
WS+3;m;9;13~14;-6~-5;+5~+6;+5~+6;
WS+4;m;15;11~12;-10~-9;KND;KND;
FC+1;Sm (TC);5;10s cs1~;-5;+6;+6;
FC+2;Sm (TC);8;11s cs1~;-4;+7;+7;
FC+d/b or d+3;l (TC);12;16s cs1~;-17;-3;-3;
FC+4;l (TC);10;12s cs1~;-15;-4;-4;
SS+1;h;7;10(11~);+1;+8;+8;
SS+2;h;9;11(12~);-1;+5;+5;
SS+3;h;15;14(15~);-8;+4;+4;
SS+4;h;17;12(13~);-7;+6;Launch (JG?);
BT 1 or 2;h;15;8;-8;+3;+3;
BT 3 or 4;h;25;10;-8;KND;KND;
BT d+1 or 2;Sm;10;10s cs1~;-2;+9;+9;
BT d+3 or 4;l;12;10s cs1~;-11;+3;+3;
