template;https://gfycat.com/ifr/{url}
1, 2;ImpeccableBlushingBluet
1, 2, 1, 1;NextDeadHypsilophodon
1, 2, 1, 4;BouncyWhimsicalAdeliepenguin
1, 2, 4;AcrobaticAlarmingArrowana
1, 4;CavernousBrightButterfly
2, 1;DelayedElementaryCaterpillar
2, 2;FavorableImperfectJohndory
3, 2, 3;MedicalAchingGannet
2+3;EllipticalHopefulIcelandichorse
u+3+4;NastySimilarIberianmole
uf+1, 1;CooperativeFlatChihuahua
uf+1, 2;GiganticLastingGoose
uf+3;AccomplishedRawAmphiuma
uf+4;AbsoluteFrequentDogwoodtwigborer
f+2, 2;WeeklyLimitedCondor
f+3;GloomyDangerousAntbear
f+1+2;WaryExcellentAmphiuma
f+2+3;HeartyShadowyIndianspinyloach
f, F+2;AnimatedCanineEyra
f, F+3;PeskyGrossBlackrhino
f, F+4, 3, 4;WhirlwindScaryEider
df+1, 2;PowerlessBriskFlicker
df+2;WhisperedHardtofindBellfrog
df+3;ForsakenLiveGentoopenguin
df+2+3;RigidThornyCamel
d+1;EminentSomeJunebug
d+2;UnlawfulExcitableHagfish
d+4, 2;DigitalGrimIlladopsis
db+2, 2;OilyDifficultDolphin
db+3;SimpleInnocentAmericanindianhorse
db+4, 1;InfamousAdeptIberianbarbel
db+1+2, 1;FlusteredCalculatingAfricanrockpython
b+2, 1;FlimsyInsignificantAdder
b+2, 1+2;ImprobableMasculineIndianelephant
b+3, 1;AlarmedUnlawfulEarwig
b+4, 1+2;AmusedVibrantDuck
b+1+4;HeartyBriefIraniangroundjay
b, f+1+2, 1+2, 2;FrenchPolishedIchidna
f, f, f+3 (or WR+3);ImpureScientificArachnid
BT 1+2;SandyOrangeIaerismetalmark
FC+df+3;GrandioseAccurateBuzzard
SS+1+2;YoungPessimisticHog
WS+1, 4, 1;BoringTediousImperatorangel
WS+2;HorribleImmaterialAmericanriverotter
WS+3, 1, 2;BadLimitedAngelfish
WS+4, 1+2;SnarlingSpecificHart
WS+1+2;EarnestEsteemedDogwoodtwigborer
Opponent down d+3+4;SplendidWiltedArchaeopteryx
d+1+2 or (FC+db or d+1+2);LeanTautGosling
BOK 1, 2;UntriedCleverGoral
BOK 2;AdventurousRareDassierat
BOK 3;ShinyJubilantFinwhale
BOK 4;QueasyPeskyAbyssiniancat
BOK 1+2;GraciousMildDeer
qcf;NastyUglyChital
qcf+1;ImperfectRevolvingDogwoodclubgall
qcf+2;PastVagueBeardeddragon
qcf+2, 1;UnfinishedBiodegradableHippopotamus
qcf+3+4;ShortHarmlessHagfish
b+3+4;AdmirableDiligentKinkajou
f+4;QueasyPeskyAbyssiniancat
b+1, 4;HonoredTenseGelada
BOK 4;UnselfishMeaslyBeetle
KNK 1, 2;EasygoingAcclaimedAfricanjacana
KNK 2;IdleSaltyIbizanhound
KNK 3, 4;ImpassionedPerfumedGreendarnerdragonfly
KNK 4;FearlessDifferentBlobfish
KNK 1+2;KeyConstantEquine
1+2;IncredibleKindlyKillifish
BOK 1+2;GraciousMildDeer
in rage df+1+2;KaleidoscopicBeautifulBirdofparadise
in rage f, F+2*;EachHappygoluckyCommongonolek
b+2+3;AnimatedBogusLamprey
Approach enemy... 1+3;WeeEllipticalGordonsetter
Approach enemy... 2+4;SkeletalDifferentAdamsstaghornedbeetle
Approach enemy... f+1+3;WeeEllipticalGordonsetter
Approach enemy... f+2+4;SkeletalDifferentAdamsstaghornedbeetle
Approach enemy... f, F+1+2;WeepyMintyAmphibian
Approach from left side... 1+3 (or 2+4);GraciousGentleElephantbeetle
Approach from right side... 1+3 (or 2+4);PrestigiousImaginativeFirefly
Approach from behind... 1+3 (or 2+4);UncomfortableMindlessBernesemountaindog
Time with enemy attack... b+1+2;FamiliarFragrantArawana
Time with enemy punch... b+1+3 (or b+2+4);AgilePersonalCockerspaniel
Time with enemy kick... b+1+3 (or b+2+4);AgilePersonalCockerspaniel
Time with enemy high punch... ub+1;MeagerBlandJackrabbit
