Command;Hit level;Damage;Start up frame;Block frame;Hit frame;Counter hit frame;Notes
in rage d/f+1+2;m;55;20 pc8~17;-22;KND;KND;Rage art
in rage f, F+2*;m;35;13(14~);+6 ;KND;KND;Rage drive
1;h;7;10;+1;+8;+8;
1, 2;h, h;7,10;10;-1;+7;+7;
1, 2, B;h, h, (KNK);7,10;10;-10;-2;-2;
1, 2, 1;h, h, h;7,10,16;10;-5~-4;+6~+7;+9~+10;
1, 2, 1, 1;h, h, h, m;7,10,16,21;10;-13;KND;KND;
1, 2, 1, 4;h, h, h, h;7,10,16,30;10;-6~-4;KND;KND;
1, 2, 4;h, h, l;7,10,15;10;-13;+3;KND;
1, 4;h, h;7,17;10;-4;+5;Launch (JG?);
2;h;9;11;-1;+5;+5;
2, 1;h, h;9,12;11;-7~-6;+4~+5;+4~+5;
2, 2;h, m;9,20;11;-12;+6;+6;
3;h;15;14;-8;+4;+4;
3, 2;h, h;15,10;14;-2;+9;+9;
3, 2, D;h, h, (BOK);15,10;14;-6;+5;+5;
3, 2, 3;h, h, m;15,10,26;14a;-7~-6;KND;KND;
3, 2, 3, B (Cancel);h, h, (Special);15,10;14a;-15;-4;-4;
3, 2, 4;h, h, m, (KNK);15,10,14;14;+8~+9;+14~+15;+14~+15;
4;h;17;12;-7;+6;Launch (JG?);
1+2;m;25;25 pc8~24;-12;KND;KND;Power crush
2+3;m(Absorbs 1 h/m hit);21;30~31 (2~);-8~-7;+22g (KND on parry);KND;
f+2;h;14;14~16;-5~-3;+6~+8;+6~+8;
f+2, 2;h, m;14,21;14~16;-12~-11;+8~+9;KND;
f+3;h;23;20~21;0~+1;+4~+5;KND;
f+3, D;h, (BOK);23;20~21;+1~+2;+5~+6;KND;
f+1+2;m;32;17~18;-14~-13;KND;KND;Wall bounce
f+2+3;h;21;20~21;-9~-8;KND(KND);KND(KND);
d/f+1;m;13;13~14;-1~0;+7~+8;+7~+8;
d/f+1, 2;m, h;13,20;13~14;-6;KND;KND;
d/f+2;m;14;15~16;-13~-12;Launch (JG?)(-2a);Launch (JG?);
d/f+3;m;22;17~19;-9~-7;KND;KND;Homing, Tail spin
d/f+4;m;14;13;-6;+5;+5;
d/f+2+3;l (TC);20;23~24s cs6~;-12~-11;+5;KND;
d+1;m;18;18~19;-2~-1;+5~+6s;KND;
d+1, D;m;18;18~19s;-2~-1;+5~+6s;KND;
d+2;m;23;21;+4s;+9s;KND;
d+4;l;10;16~17;-12~-11;-1~0;-1~0;
d+4, 2;l, h;10,23;16~17;-5~-4;KND;KND;
d/b+2;h;11;14~15;-17~-16;+2~+3;+2~+3;
d/b+2, 2;h, m;11,17;14~15;-4~-3;+8~+9s;KND;
d/b+3;h;23;31~32;-8~-7;Launch;Launch;
d/b+4 (Close);l (TC);18;20~22 cs10~;-31;+2~+4 (KND);KND;
